group_type,group_value,rows,mean_delta_mph,median_delta_mph,std_delta_mph,zero_mae_mph,zero_rmse_mph,gain_rate,mean_baseline_speed_mph,median_baseline_speed_mph,mean_seconds_since_baseline,diagnostic_policy_hash
REGIME,ALL_PRIMARY,39,0.3736923076923102,0.1740000000000066,1.0381622212211565,0.5638461538461562,1.0907755650606275,0.6923076923076923,230.14441025641028,230.246,10153.923076923076,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
REGIME,NORMAL_VARIATION_DIAGNOSTIC,35,0.08462857142857437,0.0800000000000125,0.42132934482032264,0.29651428571428856,0.4238023798220786,0.6571428571428571,230.73288571428571,230.472,10418.485714285714,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
REGIME,LARGE_GAIN_DIAGNOSTIC,4,2.9029999999999987,2.7164999999999964,1.4612699955860236,2.9029999999999987,3.166842512661464,1.0,224.99525,225.6575,7839.0,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
YEAR,2020,11,0.42909090909091413,0.2150000000000034,0.6679365919824204,0.4554545454545472,0.7679193849735697,0.8181818181818182,228.86890909090909,229.884,9680.90909090909,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
YEAR,2021,16,0.267000000000003,0.0099999999999909,1.3048454314592177,0.6595000000000013,1.2913158986088549,0.5,229.5329375,229.793,10419.25,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
YEAR,2023,12,0.4651666666666661,0.2005000000000052,0.983437924586574,0.5356666666666712,1.0502068050309568,0.8333333333333334,232.12891666666667,232.62,10233.75,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
BASELINE_RELATIVE_TO_YEAR_MEDIAN,AT_OR_ABOVE_YEAR_MEDIAN,21,0.10876190476190573,0.0710000000000263,0.460668851211138,0.31761904761904974,0.4625358673350943,0.6666666666666666,231.2180476190476,230.841,10959.190476190477,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
BASELINE_RELATIVE_TO_YEAR_MEDIAN,BELOW_YEAR_MEDIAN,18,0.682777777777782,0.19900000000001225,1.40414921092309,0.8511111111111139,1.5258719547269417,0.7222222222222222,228.89183333333332,229.25549999999998,9214.444444444445,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
