fold_id,test_year,train_years,model_name,train_rows,test_rows,mae_mph,rmse_mph,r2,mean_error_pred_minus_actual_mph,median_absolute_error_mph,max_absolute_error_mph,gain_loss_sign_accuracy,actual_gain_rate,predicted_gain_rate,model_policy_hash
DELTA_LOYO_2020,2020,"2021,2023",ZERO_DELTA_BASELINE,28,11,0.4554545454545472,0.7679193849735697,-0.453963399363952,-0.42909090909091413,0.2150000000000034,1.9710000000000036,0.18181818181818182,0.8181818181818182,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2020,2020,"2021,2023",TRAIN_MEAN_DELTA,28,11,0.4317857142857132,0.6415100933790797,-0.014680233555585787,-0.07716233766234123,0.2809285714285466,1.6190714285714307,0.8181818181818182,0.8181818181818182,1.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2020,2020,"2021,2023",RIDGE,28,11,1.2185868825180988,1.5466042490541534,-4.897671931450112,1.2125434751116064,1.1562299024128537,3.4479241677822454,0.8181818181818182,0.8181818181818182,1.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2020,2020,"2021,2023",HUBER,28,11,0.4972866215599019,0.5646828436805672,0.21380297030740125,0.42116756404820116,0.44147956356167667,1.1603932602983127,0.7272727272727273,0.8181818181818182,0.9090909090909091,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2020,2020,"2021,2023",ELASTIC_NET,28,11,0.9080361243514065,1.1917582786449503,-2.501858289609837,0.9056216053892091,0.7270076918390512,2.785927532158224,0.8181818181818182,0.8181818181818182,1.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,"2020,2023",ZERO_DELTA_BASELINE,23,16,0.6595000000000013,1.2913158986088549,-0.04466147968521139,-0.267000000000003,0.23400000000000887,4.694999999999993,0.5,0.5,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,"2020,2023",TRAIN_MEAN_DELTA,23,16,0.8002065217391297,1.2762982720745804,-0.020504554811594744,0.18091304347825996,0.45891304347827283,4.247086956521731,0.5,0.5,1.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,"2020,2023",RIDGE,23,16,2.063135284037526,2.651431761965099,-3.404245242110486,-1.9400080818545236,1.9365110548379456,4.897371617506391,0.5,0.5,0.25,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,"2020,2023",HUBER,23,16,2.701137314774927,3.3730356139010524,-6.127749663316009,-2.691813700560626,2.5653781941421117,6.127815282028447,0.5,0.5,0.125,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,"2020,2023",ELASTIC_NET,23,16,1.8861129958828726,2.407572132404439,-2.63135912147431,-1.7642415019253541,1.5296937392636027,4.57775519963211,0.5,0.5,0.25,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,"2020,2021",ZERO_DELTA_BASELINE,27,12,0.5356666666666712,1.0502068050309568,-0.24406855442677577,-0.4651666666666661,0.2609999999999957,3.461999999999989,0.16666666666666666,0.8333333333333334,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,"2020,2021",TRAIN_MEAN_DELTA,27,12,0.49834567901234905,0.9507957428289288,-0.019692238723179045,-0.13212962962962516,0.25853703703704045,3.128962962962948,0.8333333333333334,0.8333333333333334,1.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,"2020,2021",RIDGE,27,12,1.6208997499165345,1.7988245964526763,-2.6498270986067394,-1.6208997499165345,1.5148772191913835,2.987427959827817,0.25,0.8333333333333334,0.08333333333333333,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,"2020,2021",HUBER,27,12,0.9964551355084191,1.2523635979487018,-0.7691128130996812,-0.9931447982045022,0.8945346052355767,3.1011146152326865,0.25,0.8333333333333334,0.08333333333333333,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,"2020,2021",ELASTIC_NET,27,12,1.1274253252193036,1.294004561529584,-0.8887143119902754,-1.1274253252193036,1.0673273766053948,2.6724685244352084,0.25,0.8333333333333334,0.08333333333333333,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
