constraint_id,year,car_number,driver_name,speed_mph,official_result_row,official_result_status,constraint_class,time_lower_utc,time_upper_utc,time_midpoint_utc,lower_bound_basis,upper_bound_basis,source_authority,chronology_usable,performance_environment_usable,queue_replay_usable,canonical_promoted,notes
R1G10-7660F6F7697EE929,2022,3,Scott McLaughlin,230.154,26,,DERIVED_BOUNDED_INTERVAL,2022-05-21T19:34:00Z,2022-05-21T20:00:00Z,,FIRST_WEATHER_HOLD_LIFTED,SECOND_WEATHER_STOP_LOWER_BOUND,REPUTABLE_SECONDARY+INDYCAR_OFFICIAL_RESULTS,True,False,False,False,Derived from adjudicated event window and ordering evidence. Not an observed attempt timestamp.
R1G10-90E6CB5CB29066AB,2022,2,Josef Newgarden,,42,No Attempt,DERIVED_BOUNDED_INTERVAL,2022-05-21T19:34:00Z,2022-05-21T20:02:00Z,,FIRST_WEATHER_HOLD_LIFTED,SECOND_WEATHER_STOP_UPPER_BOUND,REPUTABLE_SECONDARY+INDYCAR_OFFICIAL_RESULTS,True,False,False,False,Newgarden rerun began after restart and was stopped by the second weather event. Broad interval retained; exact lap/time not inferred.
