year,session_id,field_name,value_type,item_count,value_preview
2020,5771,EventName,str,,"""104th Running of the Indianapolis 500"""
2020,5771,SessionName,str,,"""Qualifications (Day 1)"""
2020,5771,SessionDate,str,,"""8/15/2020"""
2020,5771,SessionDateFormatted,str,,"""Saturday, August 15, 2020"""
2020,5771,SessionType,str,,"""Q"""
2020,5771,TrackType,str,,"""I"""
2020,5771,records,list,59,"[{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""98"", ""Difference"": null, ""DriverName"": ""Marco Andretti"", ""DriverOverrideID"": 3608, ""DriverUrl"": null, ""DriversID"": 3608, ""ElapsedTime"": ""02:35.6078"", ""EventsEntrylistID"": 33591, ""EventsSessionsDetailsID"": 99787, ""EventsSessionsID"": 5771, ""FirstName"": ""Marco"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Andretti"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.7635"", ""QualLap2"": "" 38.8670"", ""QualLap3"": "" 38.9664"", ""QualLap4"": "" 39.0109"", ""SpeedAvg"": 231.351, ""SpeedAvgFormatted"": ""231.351"", ""Status"": null, ""TeamName"": ""Andretti Herta w/ Marco & Curb-Agajanian"", ""TimesLed"": null}, {""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""28"", ""Difference"": null, ""DriverName"": ""Ryan Hunter-Reay"", ""DriverOverrideID"": 3645, ""DriverUrl"": ""/Drivers/Ryan-Hunter-Reay"", ""DriversID"": 3645, ""ElapsedTime"": ""02:35.6217"", ""EventsEntrylistID"": 33585, ""EventsSessionsDetailsID"": 99788, ""EventsSessionsID"": 5771, ""FirstName"": ""Ryan"", ""Gap"": null, ""InLap"": null, ""IsDelet"
2020,5771,SessionReports,list,3,"[{""DocumentID"": ""4fbad798-3ee3-49d6-b070-fd02e6503037"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1597525417973)/""}, {""DocumentID"": ""ce0534ee-9e62-43f1-9201-ce265d36fab3"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1597525434073)/""}, {""DocumentID"": ""a2487467-c790-4a6e-937b-9f6b58f5f4f8"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1597525452630)/""}]"
2021,5838,EventName,str,,"""105th Running of the Indianapolis 500"""
2021,5838,SessionName,str,,"""Qualifications - Day 1"""
2021,5838,SessionDate,str,,"""5/22/2021"""
2021,5838,SessionDateFormatted,str,,"""Saturday, May 22, 2021"""
2021,5838,SessionType,str,,"""Q"""
2021,5838,TrackType,str,,"""I"""
2021,5838,records,list,59,"[{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""9"", ""Difference"": null, ""DriverName"": ""Scott Dixon"", ""DriverOverrideID"": 3628, ""DriverUrl"": ""/Drivers/Scott-Dixon"", ""DriversID"": 3628, ""ElapsedTime"": ""02:35.2874"", ""EventsEntrylistID"": 33902, ""EventsSessionsDetailsID"": 101198, ""EventsSessionsID"": 5838, ""FirstName"": ""Scott"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Dixon"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.6973"", ""QualLap2"": "" 38.8329"", ""QualLap3"": "" 38.8581"", ""QualLap4"": "" 38.8991"", ""SpeedAvg"": 231.828, ""SpeedAvgFormatted"": ""231.828"", ""Status"": null, ""TeamName"": ""Chip Ganassi Racing"", ""TimesLed"": null}, {""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""26"", ""Difference"": null, ""DriverName"": ""Colton Herta"", ""DriverOverrideID"": 4511, ""DriverUrl"": null, ""DriversID"": 4511, ""ElapsedTime"": ""02:35.4081"", ""EventsEntrylistID"": 33910, ""EventsSessionsDetailsID"": 101199, ""EventsSessionsID"": 5838, ""FirstName"": ""Colton"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null,"
2021,5838,SessionReports,list,3,"[{""DocumentID"": ""d8245705-9ee9-4ba0-92d7-a954f8cc47f1"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1621721058220)/""}, {""DocumentID"": ""e877fdac-3953-4257-a782-52e177f76210"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1621721072553)/""}, {""DocumentID"": ""5c21d5b6-d685-45b4-8398-b70d69d7c465"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1621721091217)/""}]"
2022,6033,EventName,str,,"""106th Running of the Indianapolis 500"""
2022,6033,SessionName,str,,"""Qualifications - Day 1"""
2022,6033,SessionDate,str,,"""5/21/2022"""
2022,6033,SessionDateFormatted,str,,"""Saturday, May 21, 2022"""
2022,6033,SessionType,str,,"""Q"""
2022,6033,TrackType,str,,"""I"""
