session_id,canonical_attempts,performance_grade_timed_attempts,coverage_pct
INDY500_DAY1_2020,63,47,74.60317460317461
INDY500_DAY1_2021,60,54,90.0
INDY500_DAY1_2023,85,28,32.94117647058823
