metric,value,status
input_performance_rows,136,PASS
output_alignment_rows,136,PASS
same_issue_cycle_rows,136,PASS
leakage_safe_rows,136,PASS
valid_bracket_rows,136,PASS
interpolation_weight_valid_rows,136,PASS
aligned_DPT_2m_rows,136,PASS
aligned_DSWRF_surface_rows,136,PASS
aligned_GUST_surface_rows,136,PASS
aligned_PRES_surface_rows,136,PASS
aligned_TCDC_atmosphere_rows,136,PASS
aligned_TMP_2m_rows,136,PASS
aligned_UGRD_10m_rows,136,PASS
aligned_VGRD_10m_rows,136,PASS
aligned_cloud_cover_pct_rows,136,PASS
aligned_dewpoint_c_rows,136,PASS
aligned_gust_ms_rows,136,PASS
aligned_pressure_hpa_rows,136,PASS
aligned_relative_humidity_pct_rows,136,PASS
aligned_shortwave_radiation_wm2_rows,136,PASS
aligned_temp_c_rows,136,PASS
aligned_wind_direction_deg_rows,136,PASS
aligned_wind_speed_10m_ms_rows,136,PASS
