check,category,value
ALIGNMENT_CLASS_COUNT,NOT_ALIGNABLE,5
ALIGNMENT_CLASS_COUNT,OCCURRENCE_POINT_APPROXIMATION,1
ALIGNMENT_CLASS_COUNT,OCCURRENCE_WINDOW_ALIGNMENT,2
ALIGNMENT_CLASS_COUNT,RUN_INTERVAL_ALIGNMENT,1
PTSC_INTERP_STATUS_COUNT,LINEAR_INTERPOLATION,4
PTSC_INTERP_STATUS_COUNT,NO_TARGET_TIME,5
