current_attempt_id,baseline_attempt_id,year,car_number,driver_name,baseline_speed_mph,target_speed_delta_vs_best_prior_mph,diagnostic_recovery_like,baseline_below_year_median,diagnostic_branch,uncertainty_policy_hash
e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,954d29f8-6770-5c41-9322-b23c885935ef,2020,60,Jack Harvey,229.861,-0.103999999999985,False,True,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
33a57398-b346-53e3-b5e5-369a3ca71efc,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020,9,Scott Dixon,231.094,-0.0409999999999968,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
25ddda12-052a-5d71-ac52-6e96cf8edab9,518373d9-25de-58cf-8315-f6c215b6f672,2020,8,Marcus Ericsson,230.472,0.093999999999994,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
893c5471-df02-55c0-946f-0af9d0a835d9,9a2e168d-3dda-5e76-8daf-588c20d91341,2020,20,Ed Carpenter,229.811,0.4000000000000057,False,True,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
df3c02a3-9655-512c-a2e6-4ffe9eadc505,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020,47,Conor Daly,229.884,0.0710000000000263,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
0817e595-17c0-5e20-94bc-6778006bf613,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020,88,Colton Herta,230.56,0.2150000000000034,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
b4a08fbf-93db-50a2-9416-96b3b9d1b41a,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020,9,Scott Dixon,231.094,0.061000000000007,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
b58b5c13-1a21-50cf-ab5b-8962cc4486f0,a3016f3b-449e-576c-bf0f-284c71eddb34,2020,81,Ben Hanley,220.946,1.9710000000000036,True,True,RECOVERY_LIKE_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
7799cc62-18bb-568d-9de2-16cb3622a0de,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020,3,Helio Castroneves,228.115,0.2579999999999813,False,True,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
fb65c8cf-d1c6-583e-9563-6c22e29bb081,75519828-93ba-5485-a4bf-a06b93f7cec3,2020,59,Max Chilton,225.819,1.4840000000000089,True,True,RECOVERY_LIKE_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
757828a3-822d-5bd8-b9f0-681a6918b48b,194c9baa-3297-571e-82bf-ac3ba81e07fc,2020,5,Pato O'Ward,229.902,0.311000000000007,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
2493785c-dc47-5ba6-8d28-5398e7a11983,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021,2,Josef Newgarden,230.049,0.0219999999999913,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
c10dbae2-ca30-5e09-88ab-298fcf7fa163,407a503c-1695-5af6-9b88-28e9d802c8d1,2021,21,Rinus VeeKay,230.841,0.6419999999999959,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
b671a083-ccd6-5511-a882-53e7bf202c19,c2deab22-d3a0-5601-80f8-4cbf631c8f88,2021,98,Marco Andretti,229.261,0.6110000000000184,False,True,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
8ff02437-bce9-5d86-b3c7-906d93963538,7d5d82b7-9765-51c9-b149-cb7de00d3905,2021,60,Jack Harvey,225.496,4.694999999999993,True,True,RECOVERY_LIKE_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
09935cc4-f542-569f-b50c-7460e0663860,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,2021,25,Stefan Wilson,229.714,-0.0200000000000102,False,True,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
fb947c1e-3d51-506f-bbbc-12ecbcdce5da,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,2021,47,Conor Daly,230.427,-0.1539999999999963,False,False,NORMAL_DIAGNOSTIC,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
