metric,value,status
state_v3_target_exact,1,PASS
temporal_safe_state_flags,1,PASS
best_baseline_is_zero_delta,ZERO_DELTA_BASELINE,PASS
empirical_distribution_rows,10,PASS
recovery_probability_rows,3,PASS
recovery_sensitivity_rows,24,PASS
queue_wait_latent,1,PASS
queue_wait_scenario_count,4,PASS
hrrr_leakage_safe_rows,259,PASS
hrrr_alignment_safe_rows,136,PASS
ptsc_supported_rows,129,PASS
realized_future_weather_leak,0,PASS
historical_action_feature_leak,0,PASS
hard_recommendation_claim,0,PASS
service_rubber_tire_imputation,0,PASS
elapsed_time_used_as_track_evolution,0,PASS
protected_outputs_mutated,0,PASS
