source_id,source_name,source_class,url,fetch_status,raw_html_path,article_text_path,raw_sha256,text_sha256,error
THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,SUCCESS,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,d3f5b85b4a62f484b19e7175dce2239b81a4a921a001d546c616810ae8a163b1,6646ad52ca0fbad702766c9bc8c6f3ec9bb66ed78acf85c8851f89196a38b1c5,
RACER_2022_DAY1,RACER,REPUTABLE_SECONDARY_EDITORIAL,https://racer.com/2022/05/21/veekay-leads-saturday-indy-500-qualifying/,FAILED,,,,,HTTPError: HTTP Error 429: Too Many Requests
NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,SUCCESS,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,d1affd1b04bac24baa18e8acee631782a2190f038aa50f19fbabc27d7075b65b,7996fba94a9f9683ddf3414ed5358d3e5aaf888096e990e19097d8af0efc2e36,
