source_id,source_name,source_class,sentence_index,sentence,context,mentions_229_905,mentions_230_464,mentions_no_attempt,mentions_track_reopened,mentions_first_weather_stop,mentions_second_weather_stop,mentions_improve,explicit_speed_tokens,identity_promotion,notes
THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,20,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.","There is no bumping this year, as there are only 33 entries, meaning all cars were guaranteed to qualify. 13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session. When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",False,False,False,True,True,True,True,,False,Context discovery only. No attempt identity promoted automatically.
THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,21,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.","13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session. When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance. Well this place just kicked the #thirsty3s in the privates – ah well.",False,False,False,True,True,True,True,,False,Context discovery only. No attempt identity promoted automatically.
NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,98,"(24) Sage Karam, Chevrolet, 02:36.2064 (230.464) 23.","(15) Graham Rahal, Honda, 02:36.0022 (230.766) 22. (24) Sage Karam, Chevrolet, 02:36.2064 (230.464) 23. (98) Marco Andretti, Honda, 02:36.2875 (230.345) 24.",False,True,False,False,False,False,False,230.464,False,Context discovery only. No attempt identity promoted automatically.
