year,session_id,car_number,driver_name,rows_for_car,api_list_index,position_finish,position_start,events_sessions_details_id,events_entrylist_id,status,speed_avg,elapsed_time,qual_lap_1,qual_lap_2,qual_lap_3,qual_lap_4
2020,5771,9,Scott Dixon,4,5,5,,99791,33574,,231.155,02:35.7396,38.7626,38.9061,38.9957,39.0752
2020,5771,9,Scott Dixon,4,34,34,,99820,33574,,231.56,01:56.6005,38.7337,38.8790,38.9878,0.0000
2020,5771,9,Scott Dixon,4,35,35,,99821,33574,,231.094,02:35.7809,38.8287,38.9341,38.9760,39.0421
2020,5771,9,Scott Dixon,4,36,36,,99822,33574,,231.053,02:35.8085,38.8573,38.9246,39.0051,39.0215
2020,5771,12,Will Power,3,22,22,,99808,33576,,229.701,02:36.7252,39.0721,39.1698,39.2205,39.2628
2020,5771,12,Will Power,3,48,48,,99834,33576,,229.423,01:57.6866,39.1257,39.2011,39.3598,0.0000
2020,5771,12,Will Power,3,51,51,,99837,33576,,229.268,00:39.2553,39.2553,0.0000,0.0000,0.0000
2020,5771,26,Zach Veach,3,17,17,,99803,33583,,229.961,02:36.5484,39.0212,39.1183,39.1841,39.2248
2020,5771,26,Zach Veach,3,46,46,,99832,33583,,229.755,01:18.3443,39.0922,39.2521,0.0000,0.0000
2020,5771,26,Zach Veach,3,53,53,,99839,33583,,228.515,01:18.7693,39.1488,39.6205,0.0000,0.0000
2020,5771,30,Takuma Sato,3,9,9,,99795,33586,,230.792,02:35.9844,38.9200,39.0011,39.0100,39.0533
2020,5771,30,Takuma Sato,3,40,40,,99826,33586,,230.307,02:36.3134,38.9882,39.0783,39.0934,39.1535
2020,5771,30,Takuma Sato,3,43,43,,99829,33586,,229.852,02:36.6225,39.0670,39.1406,39.1826,39.2323
2020,5771,88,Colton Herta,3,10,10,,99796,33590,,230.775,02:35.9962,38.8374,38.9965,39.0561,39.1062
2020,5771,88,Colton Herta,3,37,37,,99823,33590,,230.56,02:36.1418,38.9383,39.0188,39.0771,39.1076
2020,5771,88,Colton Herta,3,39,39,,99825,33590,,230.429,01:57.1727,38.9688,39.0705,39.1334,0.0000
2020,5771,1,Josef Newgarden,2,13,13,,99799,33569,,230.296,02:36.3203,39.0573,39.0611,39.0767,39.1252
2020,5771,1,Josef Newgarden,2,47,47,,99833,33569,,229.543,00:39.2084,39.2084,0.0000,0.0000,0.0000
2020,5771,15,Graham Rahal,2,8,8,,99794,33578,,230.822,02:35.9641,38.9438,38.9820,39.0050,39.0333
2020,5771,15,Graham Rahal,2,58,58,,99844,33578,,210.582,00:42.7386,42.7386,0.0000,0.0000,0.0000
2020,5771,20,Ed Carpenter,2,16,16,,99802,33580,,230.211,02:36.3781,39.0060,39.0795,39.0909,39.2017
2020,5771,20,Ed Carpenter,2,44,44,,99830,33580,,229.811,02:36.6506,38.8954,39.0695,39.1484,39.5373
2020,5771,22,Simon Pagenaud,2,25,25,,99811,33582,,228.836,02:37.3180,39.2107,39.2620,39.2958,39.5495
2020,5771,22,Simon Pagenaud,2,50,50,,99836,33582,,229.326,00:39.2455,39.2455,0.0000,0.0000,0.0000
2020,5771,3,Helio Castroneves,2,28,28,,99814,33592,,228.373,02:37.6368,39.1851,39.4148,39.4799,39.5570
2020,5771,3,Helio Castroneves,2,54,54,,99840,33592,,228.115,02:37.8151,39.3612,39.4444,39.4754,39.5341
2020,5771,4,Charlie Kimball,2,29,29,,99815,33570,,227.758,02:38.0625,39.1855,39.2330,39.3048,40.3392
2020,5771,4,Charlie Kimball,2,59,59,,99845,33570,,0.0,00:00.0000,0.0000,0.0000,0.0000,0.0000
2020,5771,45,Spencer Pigot,2,12,12,,99798,33595,,230.539,02:36.1557,38.9063,38.9863,39.0861,39.1770
2020,5771,45,Spencer Pigot,2,55,55,,99841,33595,,227.979,01:18.9548,39.0965,39.8583,0.0000,0.0000
2020,5771,47,Conor Daly,2,18,18,,99804,33588,,229.955,02:36.5525,38.9642,39.1489,39.1972,39.2422
2020,5771,47,Conor Daly,2,42,42,,99828,33588,,229.884,02:36.6007,38.9521,39.0947,39.1567,39.3972
2020,5771,5,Pato O'Ward,2,15,15,,99801,33571,,230.213,02:36.3769,38.9932,39.0884,39.1237,39.1716
2020,5771,5,Pato O'Ward,2,41,41,,99827,33571,,229.902,02:36.5885,39.0097,39.1023,39.2290,39.2475
2020,5771,51,James Davison,2,27,27,,99813,33596,,228.747,02:37.3789,38.9683,39.0851,39.5133,39.8122
2020,5771,51,James Davison,2,52,52,,99838,33596,,228.744,01:58.0357,39.0161,39.4801,39.5395,0.0000
2020,5771,59,Max Chilton,2,30,30,,99816,33597,,227.303,02:38.3789,39.4663,39.6188,39.6221,39.6717
2020,5771,59,Max Chilton,2,56,56,,99842,33597,,225.819,02:39.4196,39.6096,39.8505,39.8760,40.0835
2020,5771,60,Jack Harvey,2,20,20,,99806,33589,,229.861,02:36.6161,39.0298,39.1558,39.2385,39.1920
2020,5771,60,Jack Harvey,2,45,45,,99831,33589,,229.757,02:36.6873,39.0968,39.1489,39.2200,39.2216
2020,5771,7,Oliver Askew,2,21,21,,99807,33572,,229.76,02:36.6852,39.0787,39.1552,39.2128,39.2385
2020,5771,7,Oliver Askew,2,49,49,,99835,33572,,229.363,01:18.4781,39.2015,39.2766,0.0000,0.0000
2020,5771,8,Marcus Ericsson,2,11,11,,99797,33573,,230.566,02:36.1374,38.9144,39.0450,39.0506,39.1274
2020,5771,8,Marcus Ericsson,2,38,38,,99824,33573,,230.472,02:36.2014,38.9508,39.0327,39.0797,39.1382
2020,5771,81,Ben Hanley,2,33,33,,99819,33600,,222.917,02:41.4948,40.1922,40.4381,40.5140,40.3505
2020,5771,81,Ben Hanley,2,57,57,,99843,33600,,220.946,02:42.9360,40.4282,40.5837,40.9160,41.0081
2021,5838,16,Simona De Silvestro,3,53,53,,101250,33924,,228.395,02:37.6214,39.0962,39.3756,39.4229,39.7267
2021,5838,16,Simona De Silvestro,3,54,54,,101251,33924,,228.173,02:37.7749,39.2807,39.3708,39.4342,39.6892
2021,5838,16,Simona De Silvestro,3,55,55,,101252,33924,,228.013,02:37.8860,39.4082,39.4810,39.4974,39.4994
2021,5838,24,Sage Karam,3,47,47,,101244,33926,,229.158,02:37.0967,39.2141,39.2662,39.2907,39.3257
2021,5838,24,Sage Karam,3,49,49,,101246,33926,,229.016,01:18.5972,39.1864,39.4108,0.0000,0.0000
2021,5838,24,Sage Karam,3,50,50,,101247,33926,,228.88,00:39.3219,39.3219,0.0000,0.0000,0.0000
2021,5838,25,Stefan Wilson,3,28,28,,101225,33927,,229.714,02:36.7166,39.1317,39.1613,39.2001,39.2235
2021,5838,25,Stefan Wilson,3,42,42,,101239,33927,,229.694,02:36.7303,39.0521,39.1513,39.2340,39.2929
2021,5838,25,Stefan Wilson,3,43,43,,101240,33927,,229.632,02:36.7724,39.1207,39.1455,39.2181,39.2881
2021,5838,98,Marco Andretti,3,25,25,,101222,33931,,229.872,02:36.6089,38.9983,39.1145,39.1969,39.2992
2021,5838,98,Marco Andretti,3,40,40,,101237,33931,,229.87,02:36.6104,39.0652,39.1385,39.2008,39.2059
2021,5838,98,Marco Andretti,3,44,44,,101241,33931,,229.261,02:37.0264,39.1234,39.2250,39.3321,39.3459
2021,5838,06,Helio Castroneves,2,6,6,,101203,33922,,231.164,02:35.7334,38.9270,38.8963,38.9237,38.9864
2021,5838,06,Helio Castroneves,2,51,51,,101248,33922,,228.453,01:18.7907,39.1826,39.6081,0.0000,0.0000
2021,5838,10,Alex Palou,2,7,7,,101204,33903,,231.145,02:35.7461,38.8283,38.9201,38.9818,39.0159
2021,5838,10,Alex Palou,2,31,31,,101228,33903,,231.623,01:17.7125,38.7999,38.9126,0.0000,0.0000
2021,5838,11,Charlie Kimball,2,52,52,,101249,33923,,228.401,02:37.6173,39.3012,39.3831,39.4362,39.4968
2021,5838,11,Charlie Kimball,2,58,58,,101255,33923,,227.053,01:19.2766,39.6135,39.6631,0.0000,0.0000
2021,5838,12,Will Power,2,46,46,,101243,33904,,229.228,02:37.0492,39.2341,39.2488,39.2581,39.3082
2021,5838,12,Will Power,2,48,48,,101245,33904,,229.052,02:37.1698,39.2087,39.2780,39.3620,39.3211
2021,5838,18,Ed Jones,2,11,11,,101208,33906,,231.044,02:35.8148,38.8547,38.9348,38.9856,39.0397
2021,5838,18,Ed Jones,2,37,37,,101234,33906,,230.246,02:36.3544,39.0029,39.0687,39.1231,39.1597
2021,5838,2,Josef Newgarden,2,21,21,,101218,33897,,230.071,02:36.4735,38.9871,39.0958,39.1540,39.2366
2021,5838,2,Josef Newgarden,2,39,39,,101236,33897,,230.049,02:36.4885,39.0591,39.1000,39.1668,39.1626
2021,5838,21,Rinus VeeKay,2,5,5,,101202,33908,,231.483,02:35.5192,38.7788,38.8558,38.9164,38.9682
2021,5838,21,Rinus VeeKay,2,32,32,,101229,33908,,230.841,02:35.9514,38.8531,38.9591,39.0462,39.0930
2021,5838,26,Colton Herta,2,2,2,,101199,33910,,231.648,02:35.4081,38.7324,38.8145,38.8901,38.9711
2021,5838,26,Colton Herta,2,38,38,,101235,33910,,230.229,02:36.3663,38.9613,39.0882,39.1389,39.1779
2021,5838,30,Takuma Sato,2,15,15,,101212,33913,,230.708,02:36.0417,38.8961,38.9852,39.0413,39.1191
2021,5838,30,Takuma Sato,2,33,33,,101230,33913,,230.714,01:18.0188,38.9571,39.0617,0.0000,0.0000
2021,5838,4,Dalton Kellett,2,30,30,,101227,33898,,228.323,02:37.6717,39.2360,39.2403,39.8710,39.3244
2021,5838,4,Dalton Kellett,2,45,45,,101242,33898,,229.25,02:37.0335,39.1720,39.2391,39.2929,39.3295
2021,5838,45,Santino Ferrucci,2,23,23,,101220,33928,,229.949,02:36.5563,39.0377,39.1550,39.1780,39.1856
2021,5838,45,Santino Ferrucci,2,34,34,,101231,33928,,230.571,00:39.0335,39.0335,0.0000,0.0000,0.0000
2021,5838,47,Conor Daly,2,19,19,,101216,33907,,230.427,02:36.2314,38.9765,39.0386,39.0866,39.1297
2021,5838,47,Conor Daly,2,36,36,,101233,33907,,230.273,02:36.3361,38.9336,39.0724,39.1409,39.1892
2021,5838,60,Jack Harvey,2,20,20,,101217,33916,,230.191,02:36.3922,39.0577,39.0887,39.1100,39.1358
2021,5838,60,Jack Harvey,2,59,59,,101256,33916,,225.496,02:39.6482,39.2952,39.9568,39.9035,40.4927
2021,5838,7,Felix Rosenqvist,2,14,14,,101211,33900,,230.744,02:36.0168,38.9197,38.9849,39.0435,39.0687
2021,5838,7,Felix Rosenqvist,2,35,35,,101232,33900,,230.498,02:36.1835,38.9960,39.0267,39.0726,39.0882
2021,5838,75,RC Enerson,2,56,56,,101253,33929,,227.41,01:19.1522,39.5314,39.6208,0.0000,0.0000
2021,5838,75,RC Enerson,2,57,57,,101254,33929,,227.283,02:38.3931,39.5355,39.5750,39.6273,39.6553
2021,5838,86,Juan Pablo Montoya,2,24,24,,101221,33930,,229.891,02:36.5961,38.9955,39.0898,39.2192,39.2916
2021,5838,86,Juan Pablo Montoya,2,41,41,,101238,33930,,229.737,02:36.7010,39.0456,39.1431,39.2235,39.2888
2022,6033,24,Sage Karam,3,22,22,,105065,34672,,230.464,02:36.2064,38.9436,39.0606,39.1276,39.0746
2022,6033,24,Sage Karam,3,38,38,,105081,34672,,229.905,02:36.5867,38.7005,38.8580,39.5910,39.4372
2022,6033,24,Sage Karam,3,44,44,,105087,34672,,0.0,00:00.0000,0.0000,0.0000,0.0000,0.0000
2022,6033,06,Helio Castroneves,2,27,27,,105070,34646,,229.63,02:36.7741,39.0784,39.1640,39.2037,39.3280
2022,6033,06,Helio Castroneves,2,40,40,,105083,34646,,225.482,02:39.6583,39.0275,39.0796,39.2705,42.2807
2022,6033,18,David Malukas,2,13,13,,105056,34655,,231.607,02:35.4356,38.7127,38.7587,39.0368,38.9274
2022,6033,18,David Malukas,2,36,36,,105079,34655,,231.233,02:35.6869,38.8599,38.9115,38.9481,38.9674
2022,6033,2,Josef Newgarden,2,14,14,,105057,34642,,231.58,02:35.4541,38.5920,38.7375,38.9300,39.1946
2022,6033,2,Josef Newgarden,2,42,42,,105085,34642,,0.0,00:00.0000,0.0000,0.0000,0.0000,0.0000
2022,6033,26,Colton Herta,2,25,25,,105068,34658,,230.235,02:36.3620,39.0264,39.0829,39.1570,39.0957
2022,6033,26,Colton Herta,2,41,41,,105084,34658,,0.0,00:00.0000,0.0000,0.0000,0.0000,0.0000
2022,6033,27,Alexander Rossi,2,20,20,,105063,34659,,230.812,02:35.9713,38.8973,38.9483,39.0431,39.0826
2022,6033,27,Alexander Rossi,2,35,35,,105078,34659,,231.341,02:35.6144,38.6797,38.7910,39.0844,39.0593
2022,6033,3,Scott McLaughlin,2,26,26,,105069,34643,,230.154,02:36.4167,39.0636,39.1096,39.1127,39.1308
2022,6033,3,Scott McLaughlin,2,34,34,,105077,34643,,231.543,02:35.4784,38.6547,38.8104,38.9606,39.0527
2022,6033,51,Takuma Sato,2,12,12,,105055,34665,,231.708,02:35.3679,38.7127,38.8115,38.9199,38.9238
