year,constraint_rows,chronology_usable_rows,unique_attempts_with_chronology,constraint_classes
2020,47,0,0,{}
2021,54,0,0,{}
2022,11,11,10,"{'BOUNDED_INTERVAL': 3, 'ORDERING_ONLY': 6, 'DERIVED_BOUNDED_INTERVAL': 2}"
2023,28,0,0,{}
2024,13,9,9,"{'APPROXIMATE_OBSERVED': 4, 'BOUNDED_INTERVAL': 4, 'ORDERING_ONLY': 1}"
