year,session_id,api_list_index,car_number,driver_name,status,position_finish,position_start,events_sessions_details_id,events_entrylist_id,qual_lap_1,qual_lap_2,qual_lap_3,qual_lap_4,elapsed_time,speed_avg
2020,5771,1,98,Marco Andretti,,1,,99787,33591,38.7635,38.8670,38.9664,39.0109,02:35.6078,231.351
2020,5771,2,28,Ryan Hunter-Reay,,2,,99788,33585,38.8512,38.8759,38.9241,38.9705,02:35.6217,231.33
2020,5771,3,27,Alexander Rossi,,3,,99789,33584,38.8122,38.8774,38.9814,38.9928,02:35.6638,231.268
2020,5771,4,29,James Hinchcliffe,,4,,99790,33601,38.8282,38.8948,38.9530,39.0366,02:35.7126,231.195
2020,5771,5,9,Scott Dixon,,5,,99791,33574,38.7626,38.9061,38.9957,39.0752,02:35.7396,231.155
2020,5771,6,21,Rinus VeeKay,,6,,99792,33581,38.8284,38.9562,38.9800,39.0028,02:35.7674,231.114
2020,5771,7,55,Alex Palou,,7,,99793,33587,38.8681,38.9254,38.9934,39.0344,02:35.8213,231.034
2020,5771,8,15,Graham Rahal,,8,,99794,33578,38.9438,38.9820,39.0050,39.0333,02:35.9641,230.822
2020,5771,9,30,Takuma Sato,,9,,99795,33586,38.9200,39.0011,39.0100,39.0533,02:35.9844,230.792
2020,5771,10,88,Colton Herta,,10,,99796,33590,38.8374,38.9965,39.0561,39.1062,02:35.9962,230.775
2020,5771,11,8,Marcus Ericsson,,11,,99797,33573,38.9144,39.0450,39.0506,39.1274,02:36.1374,230.566
2020,5771,12,45,Spencer Pigot,,12,,99798,33595,38.9063,38.9863,39.0861,39.1770,02:36.1557,230.539
2020,5771,13,1,Josef Newgarden,,13,,99799,33569,39.0573,39.0611,39.0767,39.1252,02:36.3203,230.296
2020,5771,14,10,Felix Rosenqvist,,14,,99800,33575,39.0221,39.0956,39.1045,39.1269,02:36.3491,230.254
2020,5771,15,5,Pato O'Ward,,15,,99801,33571,38.9932,39.0884,39.1237,39.1716,02:36.3769,230.213
2020,5771,16,20,Ed Carpenter,,16,,99802,33580,39.0060,39.0795,39.0909,39.2017,02:36.3781,230.211
2020,5771,17,26,Zach Veach,,17,,99803,33583,39.0212,39.1183,39.1841,39.2248,02:36.5484,229.961
2020,5771,18,47,Conor Daly,,18,,99804,33588,38.9642,39.1489,39.1972,39.2422,02:36.5525,229.955
2020,5771,19,18,Santino Ferrucci,,19,,99805,33579,39.0531,39.1176,39.2006,39.2023,02:36.5736,229.924
2020,5771,20,60,Jack Harvey,,20,,99806,33589,39.0298,39.1558,39.2385,39.1920,02:36.6161,229.861
2020,5771,21,7,Oliver Askew,,21,,99807,33572,39.0787,39.1552,39.2128,39.2385,02:36.6852,229.76
2020,5771,22,12,Will Power,,22,,99808,33576,39.0721,39.1698,39.2205,39.2628,02:36.7252,229.701
2020,5771,23,14,Tony Kanaan,,23,,99809,33577,39.1440,39.2427,39.3254,39.3872,02:37.0993,229.154
2020,5771,24,41,Dalton Kellett,,24,,99810,33594,39.2822,39.2943,39.3287,39.3828,02:37.2880,228.88
2020,5771,25,22,Simon Pagenaud,,25,,99811,33582,39.2107,39.2620,39.2958,39.5495,02:37.3180,228.836
2020,5771,26,66,Fernando Alonso,,26,,99812,33598,39.2297,39.3278,39.3838,39.4233,02:37.3646,228.768
2020,5771,27,51,James Davison,,27,,99813,33596,38.9683,39.0851,39.5133,39.8122,02:37.3789,228.747
2020,5771,28,3,Helio Castroneves,,28,,99814,33592,39.1851,39.4148,39.4799,39.5570,02:37.6368,228.373
2020,5771,29,4,Charlie Kimball,,29,,99815,33570,39.1855,39.2330,39.3048,40.3392,02:38.0625,227.758
2020,5771,30,59,Max Chilton,,30,,99816,33597,39.4663,39.6188,39.6221,39.6717,02:38.3789,227.303
2020,5771,31,24,Sage Karam,,31,,99817,33593,39.5415,39.6010,39.6580,39.7205,02:38.5210,227.099
2020,5771,32,67,JR Hildebrand,,32,,99818,33599,39.3711,39.9418,39.8265,39.9124,02:39.0518,226.341
2020,5771,33,81,Ben Hanley,,33,,99819,33600,40.1922,40.4381,40.5140,40.3505,02:41.4948,222.917
2020,5771,34,9,Scott Dixon,,34,,99820,33574,38.7337,38.8790,38.9878,0.0000,01:56.6005,231.56
2020,5771,35,9,Scott Dixon,,35,,99821,33574,38.8287,38.9341,38.9760,39.0421,02:35.7809,231.094
2020,5771,36,9,Scott Dixon,,36,,99822,33574,38.8573,38.9246,39.0051,39.0215,02:35.8085,231.053
2020,5771,37,88,Colton Herta,,37,,99823,33590,38.9383,39.0188,39.0771,39.1076,02:36.1418,230.56
2020,5771,38,8,Marcus Ericsson,,38,,99824,33573,38.9508,39.0327,39.0797,39.1382,02:36.2014,230.472
2020,5771,39,88,Colton Herta,,39,,99825,33590,38.9688,39.0705,39.1334,0.0000,01:57.1727,230.429
2020,5771,40,30,Takuma Sato,,40,,99826,33586,38.9882,39.0783,39.0934,39.1535,02:36.3134,230.307
2020,5771,41,5,Pato O'Ward,,41,,99827,33571,39.0097,39.1023,39.2290,39.2475,02:36.5885,229.902
2020,5771,42,47,Conor Daly,,42,,99828,33588,38.9521,39.0947,39.1567,39.3972,02:36.6007,229.884
2020,5771,43,30,Takuma Sato,,43,,99829,33586,39.0670,39.1406,39.1826,39.2323,02:36.6225,229.852
2020,5771,44,20,Ed Carpenter,,44,,99830,33580,38.8954,39.0695,39.1484,39.5373,02:36.6506,229.811
2020,5771,45,60,Jack Harvey,,45,,99831,33589,39.0968,39.1489,39.2200,39.2216,02:36.6873,229.757
2020,5771,46,26,Zach Veach,,46,,99832,33583,39.0922,39.2521,0.0000,0.0000,01:18.3443,229.755
2020,5771,47,1,Josef Newgarden,,47,,99833,33569,39.2084,0.0000,0.0000,0.0000,00:39.2084,229.543
2020,5771,48,12,Will Power,,48,,99834,33576,39.1257,39.2011,39.3598,0.0000,01:57.6866,229.423
2020,5771,49,7,Oliver Askew,,49,,99835,33572,39.2015,39.2766,0.0000,0.0000,01:18.4781,229.363
2020,5771,50,22,Simon Pagenaud,,50,,99836,33582,39.2455,0.0000,0.0000,0.0000,00:39.2455,229.326
2020,5771,51,12,Will Power,,51,,99837,33576,39.2553,0.0000,0.0000,0.0000,00:39.2553,229.268
2020,5771,52,51,James Davison,,52,,99838,33596,39.0161,39.4801,39.5395,0.0000,01:58.0357,228.744
2020,5771,53,26,Zach Veach,,53,,99839,33583,39.1488,39.6205,0.0000,0.0000,01:18.7693,228.515
2020,5771,54,3,Helio Castroneves,,54,,99840,33592,39.3612,39.4444,39.4754,39.5341,02:37.8151,228.115
2020,5771,55,45,Spencer Pigot,,55,,99841,33595,39.0965,39.8583,0.0000,0.0000,01:18.9548,227.979
2020,5771,56,59,Max Chilton,,56,,99842,33597,39.6096,39.8505,39.8760,40.0835,02:39.4196,225.819
2020,5771,57,81,Ben Hanley,,57,,99843,33600,40.4282,40.5837,40.9160,41.0081,02:42.9360,220.946
2020,5771,58,15,Graham Rahal,,58,,99844,33578,42.7386,0.0000,0.0000,0.0000,00:42.7386,210.582
2020,5771,59,4,Charlie Kimball,,59,,99845,33570,0.0000,0.0000,0.0000,0.0000,00:00.0000,0.0
2021,5838,1,9,Scott Dixon,,1,,101198,33902,38.6973,38.8329,38.8581,38.8991,02:35.2874,231.828
2021,5838,2,26,Colton Herta,,2,,101199,33910,38.7324,38.8145,38.8901,38.9711,02:35.4081,231.648
2021,5838,3,48,Tony Kanaan,,3,,101200,33920,38.7350,38.8191,38.8878,38.9721,02:35.4140,231.639
2021,5838,4,20,Ed Carpenter,,4,,101201,33925,38.7531,38.8305,38.9003,38.9455,02:35.4294,231.616
2021,5838,5,21,Rinus VeeKay,,5,,101202,33908,38.7788,38.8558,38.9164,38.9682,02:35.5192,231.483
2021,5838,6,06,Helio Castroneves,,6,,101203,33922,38.9270,38.8963,38.9237,38.9864,02:35.7334,231.164
2021,5838,7,10,Alex Palou,,7,,101204,33903,38.8283,38.9201,38.9818,39.0159,02:35.7461,231.145
2021,5838,8,28,Ryan Hunter-Reay,,8,,101205,33912,38.8731,38.9195,38.9663,38.9912,02:35.7501,231.139
2021,5838,9,8,Marcus Ericsson,,9,,101206,33901,38.8193,38.9254,39.0089,39.0203,02:35.7739,231.104
2021,5838,10,27,Alexander Rossi,,10,,101207,33911,38.8924,38.9412,38.9700,39.0096,02:35.8132,231.046
2021,5838,11,18,Ed Jones,,11,,101208,33906,38.8547,38.9348,38.9856,39.0397,02:35.8148,231.044
2021,5838,12,5,Pato O'Ward,,12,,101209,33899,38.8881,38.9559,39.0085,39.0835,02:35.9360,230.864
2021,5838,13,51,Pietro Fittipaldi,,13,,101210,33914,38.8699,38.9709,39.0289,39.0784,02:35.9481,230.846
2021,5838,14,7,Felix Rosenqvist,,14,,101211,33900,38.9197,38.9849,39.0435,39.0687,02:36.0168,230.744
2021,5838,15,30,Takuma Sato,,15,,101212,33913,38.8961,38.9852,39.0413,39.1191,02:36.0417,230.708
2021,5838,16,29,James Hinchcliffe,,16,,101213,33919,38.9431,39.0186,39.0795,39.0983,02:36.1395,230.563
2021,5838,17,3,Scott McLaughlin,,17,,101214,33918,38.9350,39.0120,39.0767,39.1198,02:36.1435,230.557
2021,5838,18,15,Graham Rahal,,18,,101215,33905,38.9950,39.0439,39.0582,39.0709,02:36.1680,230.521
2021,5838,19,47,Conor Daly,,19,,101216,33907,38.9765,39.0386,39.0866,39.1297,02:36.2314,230.427
2021,5838,20,60,Jack Harvey,,20,,101217,33916,39.0577,39.0887,39.1100,39.1358,02:36.3922,230.191
2021,5838,21,2,Josef Newgarden,,21,,101218,33897,38.9871,39.0958,39.1540,39.2366,02:36.4735,230.071
2021,5838,22,1,JR Hildebrand,,22,,101219,33921,39.0345,39.1107,39.2657,39.1245,02:36.5354,229.98
2021,5838,23,45,Santino Ferrucci,,23,,101220,33928,39.0377,39.1550,39.1780,39.1856,02:36.5563,229.949
2021,5838,24,86,Juan Pablo Montoya,,24,,101221,33930,38.9955,39.0898,39.2192,39.2916,02:36.5961,229.891
2021,5838,25,98,Marco Andretti,,25,,101222,33931,38.9983,39.1145,39.1969,39.2992,02:36.6089,229.872
2021,5838,26,22,Simon Pagenaud,,26,,101223,33909,39.0617,39.1499,39.2319,39.2297,02:36.6732,229.778
2021,5838,27,14,Sebastien Bourdais,,27,,101224,33917,39.0924,39.1742,39.1980,39.2318,02:36.6964,229.744
2021,5838,28,25,Stefan Wilson,,28,,101225,33927,39.1317,39.1613,39.2001,39.2235,02:36.7166,229.714
2021,5838,29,59,Max Chilton,,29,,101226,33915,39.0960,39.2092,39.2811,39.3332,02:36.9195,229.417
2021,5838,30,4,Dalton Kellett,,30,,101227,33898,39.2360,39.2403,39.8710,39.3244,02:37.6717,228.323
2021,5838,31,10,Alex Palou,,31,,101228,33903,38.7999,38.9126,0.0000,0.0000,01:17.7125,231.623
2021,5838,32,21,Rinus VeeKay,,32,,101229,33908,38.8531,38.9591,39.0462,39.0930,02:35.9514,230.841
2021,5838,33,30,Takuma Sato,,33,,101230,33913,38.9571,39.0617,0.0000,0.0000,01:18.0188,230.714
2021,5838,34,45,Santino Ferrucci,,34,,101231,33928,39.0335,0.0000,0.0000,0.0000,00:39.0335,230.571
2021,5838,35,7,Felix Rosenqvist,,35,,101232,33900,38.9960,39.0267,39.0726,39.0882,02:36.1835,230.498
2021,5838,36,47,Conor Daly,,36,,101233,33907,38.9336,39.0724,39.1409,39.1892,02:36.3361,230.273
2021,5838,37,18,Ed Jones,,37,,101234,33906,39.0029,39.0687,39.1231,39.1597,02:36.3544,230.246
2021,5838,38,26,Colton Herta,,38,,101235,33910,38.9613,39.0882,39.1389,39.1779,02:36.3663,230.229
2021,5838,39,2,Josef Newgarden,,39,,101236,33897,39.0591,39.1000,39.1668,39.1626,02:36.4885,230.049
2021,5838,40,98,Marco Andretti,,40,,101237,33931,39.0652,39.1385,39.2008,39.2059,02:36.6104,229.87
2021,5838,41,86,Juan Pablo Montoya,,41,,101238,33930,39.0456,39.1431,39.2235,39.2888,02:36.7010,229.737
2021,5838,42,25,Stefan Wilson,,42,,101239,33927,39.0521,39.1513,39.2340,39.2929,02:36.7303,229.694
2021,5838,43,25,Stefan Wilson,,43,,101240,33927,39.1207,39.1455,39.2181,39.2881,02:36.7724,229.632
2021,5838,44,98,Marco Andretti,,44,,101241,33931,39.1234,39.2250,39.3321,39.3459,02:37.0264,229.261
2021,5838,45,4,Dalton Kellett,,45,,101242,33898,39.1720,39.2391,39.2929,39.3295,02:37.0335,229.25
2021,5838,46,12,Will Power,,46,,101243,33904,39.2341,39.2488,39.2581,39.3082,02:37.0492,229.228
2021,5838,47,24,Sage Karam,,47,,101244,33926,39.2141,39.2662,39.2907,39.3257,02:37.0967,229.158
2021,5838,48,12,Will Power,,48,,101245,33904,39.2087,39.2780,39.3620,39.3211,02:37.1698,229.052
2021,5838,49,24,Sage Karam,,49,,101246,33926,39.1864,39.4108,0.0000,0.0000,01:18.5972,229.016
2021,5838,50,24,Sage Karam,,50,,101247,33926,39.3219,0.0000,0.0000,0.0000,00:39.3219,228.88
2021,5838,51,06,Helio Castroneves,,51,,101248,33922,39.1826,39.6081,0.0000,0.0000,01:18.7907,228.453
2021,5838,52,11,Charlie Kimball,,52,,101249,33923,39.3012,39.3831,39.4362,39.4968,02:37.6173,228.401
2021,5838,53,16,Simona De Silvestro,,53,,101250,33924,39.0962,39.3756,39.4229,39.7267,02:37.6214,228.395
2021,5838,54,16,Simona De Silvestro,,54,,101251,33924,39.2807,39.3708,39.4342,39.6892,02:37.7749,228.173
2021,5838,55,16,Simona De Silvestro,,55,,101252,33924,39.4082,39.4810,39.4974,39.4994,02:37.8860,228.013
2021,5838,56,75,RC Enerson,,56,,101253,33929,39.5314,39.6208,0.0000,0.0000,01:19.1522,227.41
2021,5838,57,75,RC Enerson,,57,,101254,33929,39.5355,39.5750,39.6273,39.6553,02:38.3931,227.283
2021,5838,58,11,Charlie Kimball,,58,,101255,33923,39.6135,39.6631,0.0000,0.0000,01:19.2766,227.053
2021,5838,59,60,Jack Harvey,,59,,101256,33916,39.2952,39.9568,39.9035,40.4927,02:39.6482,225.496
2022,6033,1,21,Rinus VeeKay,,1,,105044,34657,38.3465,38.4745,38.5681,38.6839,02:34.0730,233.655
2022,6033,2,5,Pato O'Ward,,2,,105045,34645,38.5602,38.5975,38.6591,38.6652,02:34.4820,233.037
2022,6033,3,7,Felix Rosenqvist,,3,,105046,34647,38.5419,38.6049,38.8046,38.7044,02:34.6558,232.775
2022,6033,4,10,Alex Palou,,4,,105047,34650,38.5293,38.5976,38.6919,38.8377,02:34.6565,232.774
