unit_id,original_evidence_id,source_type,source_class,source_name,source_path,parsing_mode,paragraph_local_text,exact_speed_hits,first_terms,second_terms,withdraw_terms,lane1_terms,lane2_terms,queue_terms,late_improver_terms,classification,repeat_promotable,action_promotable,lane_promotable,queue_promotable,automatic_promotion
R1G26B-U0001,R1G18-C0005,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0002,R1G18-C0006,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0003,R1G18-C0007,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0004,R1G18-C0008,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0005,R1G18-C0009,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0006,R1G18-C0010,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0007,R1G18-C0011,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0008,R1G18-C0012,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0009,R1G18-C0013,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
R1G26B-U0010,R1G18-C0014,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,PLAIN_SENTENCE_LOCAL,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,False,False
