baseline_group,required_gain_mph,full_data_probability,loyo_min_probability,loyo_max_probability,loyo_range,max_absolute_deviation_from_full,mean_absolute_deviation_from_full,most_sensitive_holdout_year,policy_hash
AT_OR_ABOVE_BASELINE_MEDIAN,0.1,0.4807453416149068,0.453125,0.5333333333333333,0.08020833333333333,0.05258799171842654,0.03089188713389483,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
AT_OR_ABOVE_BASELINE_MEDIAN,0.25,0.31677018633540377,0.296875,0.3933333333333333,0.09645833333333331,0.07656314699792954,0.03367044169953378,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
AT_OR_ABOVE_BASELINE_MEDIAN,0.5,0.15279503105590062,0.11333333333333334,0.20361990950226244,0.0902865761689291,0.050824878446361826,0.039059681704342826,2020,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
AT_OR_ABOVE_BASELINE_MEDIAN,1.0,0.043478260869565216,0.058823529411764705,0.06666666666666667,0.00784313725490196,0.02318840579710145,0.01918513782324524,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
LOW_BASELINE,0.1,0.5928571428571429,0.5692307692307692,0.6666666666666667,0.09743589743589753,0.07380952380952388,0.0393569393569394,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
LOW_BASELINE,0.25,0.4642857142857143,0.4153846153846154,0.5666666666666667,0.15128205128205124,0.10238095238095235,0.05518925518925518,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
LOW_BASELINE,0.5,0.33571428571428574,0.3230769230769231,0.36666666666666664,0.043589743589743546,0.030952380952380898,0.022069597069597047,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
LOW_BASELINE,1.0,0.25,0.2,0.3333333333333333,0.1333333333333333,0.08333333333333331,0.04999999999999999,2021,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
