metric,value,status
primary_rows_equal_39,1,PASS
normal_rows_equal_35,1,PASS
recovery_rows_equal_4,1,PASS
all_recovery_rows_low_baseline,1,PASS
low_baseline_rows_equal_18,1,PASS
high_baseline_rows_equal_21,1,PASS
low_baseline_recovery_count_equal_4,1,PASS
high_baseline_recovery_count_equal_0,1,PASS
distribution_output_nonempty,1,PASS
probability_output_has_three_groups,1,PASS
bootstrap_output_has_two_groups,1,PASS
all_policy_hashes_present,1,PASS
normal_mean_delta_mph,0.08462857142857437,INFO
normal_median_delta_mph,0.0800000000000125,INFO
normal_zero_mae_mph,0.29651428571428856,INFO
normal_prob_gain,0.6571428571428571,INFO
recovery_mean_delta_mph,2.9029999999999987,INFO
recovery_median_delta_mph,2.7164999999999964,INFO
policy_hash,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89,INFO
