metadata_key,metadata_value
policy_version,FINAL_INTEGRATED_DECISION_OUTPUT_V1
policy_hash,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
profile_rows,480
normal_empirical_rows,35
recovery_like_empirical_rows,4
historical_queue_wait_observed,False
historical_exact_queue_position_observed,False
robustness_interval_type,DESCRIPTIVE_SENSITIVITY_ENVELOPE
confidence_interval_claim,False
recommendation_enabled,False
historical_leaderboard_target_assumed,False
deployment_note,BASELINE_GROUP_REQUIRES_PRE_DECISION_OBSERVABLE_MAPPING_BEFORE_LIVE_USE
