year,session_id,record_index,raw_json,field__BestLapTime,field__BestSpeed,field__BestSpeedFormatted,field__CarNumber,field__Difference,field__DriverName,field__DriverOverrideID,field__DriverUrl,field__DriversID,field__ElapsedTime,field__EventsEntrylistID,field__EventsSessionsDetailsID,field__EventsSessionsID,field__FirstName,field__Gap,field__InLap,field__IsDeleted,field__LapsComplete,field__LapsDown,field__LapsLed,field__LastName,field__PitStops,field__PointsEarned,field__PositionFinish,field__PositionStart,field__QualLap1,field__QualLap2,field__QualLap3,field__QualLap4,field__SpeedAvg,field__SpeedAvgFormatted,field__Status,field__TeamName,field__TimesLed
2020,5771,11,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""8"", ""Difference"": null, ""DriverName"": ""Marcus Ericsson"", ""DriverOverrideID"": 4905, ""DriverUrl"": ""/Drivers/Marcus-Ericsson"", ""DriversID"": 4905, ""ElapsedTime"": ""02:36.1374"", ""EventsEntrylistID"": 33573, ""EventsSessionsDetailsID"": 99797, ""EventsSessionsID"": 5771, ""FirstName"": ""Marcus"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Ericsson"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 11, ""PositionStart"": null, ""QualLap1"": "" 38.9144"", ""QualLap2"": "" 39.0450"", ""QualLap3"": "" 39.0506"", ""QualLap4"": "" 39.1274"", ""SpeedAvg"": 230.566, ""SpeedAvgFormatted"": ""230.566"", ""Status"": null, ""TeamName"": ""Chip Ganassi Racing"", ""TimesLed"": null}",,,,8,,Marcus Ericsson,4905,/Drivers/Marcus-Ericsson,4905,02:36.1374,33573,99797,5771,Marcus,,,False,,,,Ericsson,,,11,, 38.9144, 39.0450, 39.0506, 39.1274,230.566,230.566,,Chip Ganassi Racing,
2020,5771,12,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""45"", ""Difference"": null, ""DriverName"": ""Spencer Pigot"", ""DriverOverrideID"": 4232, ""DriverUrl"": null, ""DriversID"": 4232, ""ElapsedTime"": ""02:36.1557"", ""EventsEntrylistID"": 33595, ""EventsSessionsDetailsID"": 99798, ""EventsSessionsID"": 5771, ""FirstName"": ""Spencer"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Pigot"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 12, ""PositionStart"": null, ""QualLap1"": "" 38.9063"", ""QualLap2"": "" 38.9863"", ""QualLap3"": "" 39.0861"", ""QualLap4"": "" 39.1770"", ""SpeedAvg"": 230.539, ""SpeedAvgFormatted"": ""230.539"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport"", ""TimesLed"": null}",,,,45,,Spencer Pigot,4232,,4232,02:36.1557,33595,99798,5771,Spencer,,,False,,,,Pigot,,,12,, 38.9063, 38.9863, 39.0861, 39.1770,230.539,230.539,,Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport,
2020,5771,13,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""1"", ""Difference"": null, ""DriverName"": ""Josef Newgarden"", ""DriverOverrideID"": 4215, ""DriverUrl"": ""/Drivers/Josef-Newgarden"", ""DriversID"": 4215, ""ElapsedTime"": ""02:36.3203"", ""EventsEntrylistID"": 33569, ""EventsSessionsDetailsID"": 99799, ""EventsSessionsID"": 5771, ""FirstName"": ""Josef"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Newgarden"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 13, ""PositionStart"": null, ""QualLap1"": "" 39.0573"", ""QualLap2"": "" 39.0611"", ""QualLap3"": "" 39.0767"", ""QualLap4"": "" 39.1252"", ""SpeedAvg"": 230.296, ""SpeedAvgFormatted"": ""230.296"", ""Status"": null, ""TeamName"": ""Team Penske"", ""TimesLed"": null}",,,,1,,Josef Newgarden,4215,/Drivers/Josef-Newgarden,4215,02:36.3203,33569,99799,5771,Josef,,,False,,,,Newgarden,,,13,, 39.0573, 39.0611, 39.0767, 39.1252,230.296,230.296,,Team Penske,
2020,5771,14,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""10"", ""Difference"": null, ""DriverName"": ""Felix Rosenqvist"", ""DriverOverrideID"": 4588, ""DriverUrl"": ""/Drivers/Felix-Rosenqvist"", ""DriversID"": 4588, ""ElapsedTime"": ""02:36.3491"", ""EventsEntrylistID"": 33575, ""EventsSessionsDetailsID"": 99800, ""EventsSessionsID"": 5771, ""FirstName"": ""Felix"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rosenqvist"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 14, ""PositionStart"": null, ""QualLap1"": "" 39.0221"", ""QualLap2"": "" 39.0956"", ""QualLap3"": "" 39.1045"", ""QualLap4"": "" 39.1269"", ""SpeedAvg"": 230.254, ""SpeedAvgFormatted"": ""230.254"", ""Status"": null, ""TeamName"": ""Chip Ganassi Racing"", ""TimesLed"": null}",,,,10,,Felix Rosenqvist,4588,/Drivers/Felix-Rosenqvist,4588,02:36.3491,33575,99800,5771,Felix,,,False,,,,Rosenqvist,,,14,, 39.0221, 39.0956, 39.1045, 39.1269,230.254,230.254,,Chip Ganassi Racing,
2020,5771,15,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""5"", ""Difference"": null, ""DriverName"": ""Pato O'Ward"", ""DriverOverrideID"": 4559, ""DriverUrl"": ""/Drivers/Pato-OWard"", ""DriversID"": 4559, ""ElapsedTime"": ""02:36.3769"", ""EventsEntrylistID"": 33571, ""EventsSessionsDetailsID"": 99801, ""EventsSessionsID"": 5771, ""FirstName"": ""Pato"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""O'Ward"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 15, ""PositionStart"": null, ""QualLap1"": "" 38.9932"", ""QualLap2"": "" 39.0884"", ""QualLap3"": "" 39.1237"", ""QualLap4"": "" 39.1716"", ""SpeedAvg"": 230.213, ""SpeedAvgFormatted"": ""230.213"", ""Status"": null, ""TeamName"": ""Arrow McLaren"", ""TimesLed"": null}",,,,5,,Pato O'Ward,4559,/Drivers/Pato-OWard,4559,02:36.3769,33571,99801,5771,Pato,,,False,,,,O'Ward,,,15,, 38.9932, 39.0884, 39.1237, 39.1716,230.213,230.213,,Arrow McLaren,
2020,5771,16,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""20"", ""Difference"": null, ""DriverName"": ""Ed Carpenter"", ""DriverOverrideID"": 3620, ""DriverUrl"": ""/Drivers/Ed-Carpenter"", ""DriversID"": 3620, ""ElapsedTime"": ""02:36.3781"", ""EventsEntrylistID"": 33580, ""EventsSessionsDetailsID"": 99802, ""EventsSessionsID"": 5771, ""FirstName"": ""Ed"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Carpenter"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 16, ""PositionStart"": null, ""QualLap1"": "" 39.0060"", ""QualLap2"": "" 39.0795"", ""QualLap3"": "" 39.0909"", ""QualLap4"": "" 39.2017"", ""SpeedAvg"": 230.211, ""SpeedAvgFormatted"": ""230.211"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null}",,,,20,,Ed Carpenter,3620,/Drivers/Ed-Carpenter,3620,02:36.3781,33580,99802,5771,Ed,,,False,,,,Carpenter,,,16,, 39.0060, 39.0795, 39.0909, 39.2017,230.211,230.211,,ECR,
2020,5771,17,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""26"", ""Difference"": null, ""DriverName"": ""Zach Veach"", ""DriverOverrideID"": 4235, ""DriverUrl"": null, ""DriversID"": 4235, ""ElapsedTime"": ""02:36.5484"", ""EventsEntrylistID"": 33583, ""EventsSessionsDetailsID"": 99803, ""EventsSessionsID"": 5771, ""FirstName"": ""Zach"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Veach"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 17, ""PositionStart"": null, ""QualLap1"": "" 39.0212"", ""QualLap2"": "" 39.1183"", ""QualLap3"": "" 39.1841"", ""QualLap4"": "" 39.2248"", ""SpeedAvg"": 229.961, ""SpeedAvgFormatted"": ""229.961"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,,,26,,Zach Veach,4235,,4235,02:36.5484,33583,99803,5771,Zach,,,False,,,,Veach,,,17,, 39.0212, 39.1183, 39.1841, 39.2248,229.961,229.961,,Andretti Autosport,
2020,5771,18,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""47"", ""Difference"": null, ""DriverName"": ""Conor Daly"", ""DriverOverrideID"": 4218, ""DriverUrl"": ""/Drivers/Conor-Daly"", ""DriversID"": 4218, ""ElapsedTime"": ""02:36.5525"", ""EventsEntrylistID"": 33588, ""EventsSessionsDetailsID"": 99804, ""EventsSessionsID"": 5771, ""FirstName"": ""Conor"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Daly"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 18, ""PositionStart"": null, ""QualLap1"": "" 38.9642"", ""QualLap2"": "" 39.1489"", ""QualLap3"": "" 39.1972"", ""QualLap4"": "" 39.2422"", ""SpeedAvg"": 229.955, ""SpeedAvgFormatted"": ""229.955"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null}",,,,47,,Conor Daly,4218,/Drivers/Conor-Daly,4218,02:36.5525,33588,99804,5771,Conor,,,False,,,,Daly,,,18,, 38.9642, 39.1489, 39.1972, 39.2422,229.955,229.955,,ECR,
2020,5771,19,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""18"", ""Difference"": null, ""DriverName"": ""Santino Ferrucci"", ""DriverOverrideID"": 4897, ""DriverUrl"": ""/Drivers/Santino-Ferrucci"", ""DriversID"": 4897, ""ElapsedTime"": ""02:36.5736"", ""EventsEntrylistID"": 33579, ""EventsSessionsDetailsID"": 99805, ""EventsSessionsID"": 5771, ""FirstName"": ""Santino"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Ferrucci"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 19, ""PositionStart"": null, ""QualLap1"": "" 39.0531"", ""QualLap2"": "" 39.1176"", ""QualLap3"": "" 39.2006"", ""QualLap4"": "" 39.2023"", ""SpeedAvg"": 229.924, ""SpeedAvgFormatted"": ""229.924"", ""Status"": null, ""TeamName"": ""Dale Coyne Racing with Vasser-Sullivan"", ""TimesLed"": null}",,,,18,,Santino Ferrucci,4897,/Drivers/Santino-Ferrucci,4897,02:36.5736,33579,99805,5771,Santino,,,False,,,,Ferrucci,,,19,, 39.0531, 39.1176, 39.2006, 39.2023,229.924,229.924,,Dale Coyne Racing with Vasser-Sullivan,
2020,5771,20,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""60"", ""Difference"": null, ""DriverName"": ""Jack Harvey"", ""DriverOverrideID"": 4505, ""DriverUrl"": ""/Drivers/Jack-Harvey"", ""DriversID"": 4505, ""ElapsedTime"": ""02:36.6161"", ""EventsEntrylistID"": 33589, ""EventsSessionsDetailsID"": 99806, ""EventsSessionsID"": 5771, ""FirstName"": ""Jack"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Harvey"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 20, ""PositionStart"": null, ""QualLap1"": "" 39.0298"", ""QualLap2"": "" 39.1558"", ""QualLap3"": "" 39.2385"", ""QualLap4"": "" 39.1920"", ""SpeedAvg"": 229.861, ""SpeedAvgFormatted"": ""229.861"", ""Status"": null, ""TeamName"": ""Meyer Shank Racing"", ""TimesLed"": null}",,,,60,,Jack Harvey,4505,/Drivers/Jack-Harvey,4505,02:36.6161,33589,99806,5771,Jack,,,False,,,,Harvey,,,20,, 39.0298, 39.1558, 39.2385, 39.1920,229.861,229.861,,Meyer Shank Racing,
