path,file_type,read_ok,row_count,field_count,years,time_like_fields,identity_like_fields,has_time_like_field,error
weather/output/attempt_performance_baseline_fold_metrics_v1.csv,.csv,True,20,14,,[],"[""test_year"", ""train_years""]",False,
weather/output/attempt_performance_baseline_model_diagnostics_v1.csv,.csv,True,144,8,,[],"[""test_year""]",False,
weather/output/attempt_performance_baseline_predictions_v1.csv,.csv,True,615,13,,"[""session_id""]","[""test_year"", ""attempt_id"", ""session_id"", ""car_number"", ""driver_name"", ""actual_speed_mph"", ""predicted_speed_mph""]",True,
weather/output/attempt_performance_baseline_v1_qa.csv,.csv,True,16,3,,[],"[""status""]",False,
weather/output/attempt_performance_feature_manifest_v1.csv,.csv,True,12,8,,[],[],False,
weather/output/attempt_performance_model_matrix_v1.csv,.csv,True,123,22,"2020,2021,2023,2024","[""session_id"", ""validation_protocol_id"", ""validation_protocol_hash""]","[""attempt_id"", ""session_id"", ""year"", ""car_number"", ""driver_name"", ""forecast_wind_speed_10m_ms"", ""prior_supported_attempt_count"", ""seconds_since_prior_supported_attempt"", ""best_prior_supported_average_speed_mph"", ""has_prior_supported_attempt"", ""four_lap_average_speed_mph""]",True,
weather/output/attempt_performance_modeling_column_audit.csv,.csv,True,118,12,,[],[],False,
weather/output/attempt_performance_modeling_correlation_audit.csv,.csv,True,120,5,,[],[],False,
weather/output/attempt_performance_modeling_readiness_summary.csv,.csv,True,13,3,,[],"[""status""]",False,
weather/output/attempt_performance_prior_speed_diagnostics_v1.csv,.csv,True,5,10,,[],"[""year"", ""corr_current_vs_best_prior_speed"", ""mean_current_minus_best_prior_speed_mph"", ""median_current_minus_best_prior_speed_mph"", ""std_current_minus_best_prior_speed_mph""]",False,
weather/output/attempt_performance_repeat_delta_context_v1.csv,.csv,True,40,41,"2020,2021,2023,2024","[""session_id"", ""current_performance_time_utc"", ""baseline_performance_time_utc""]","[""current_attempt_id"", ""baseline_attempt_id"", ""session_id"", ""year"", ""car_number"", ""driver_name"", ""seconds_since_baseline_attempt"", ""prior_supported_attempt_count"", ""prior_complete_attempt_count"", ""baseline_is_immediately_previous_supported_attempt"", ""baseline_speed_mph"", ""current_speed_mph"", ""target_speed_delta_vs_best_prior_mph"", ""current_wind_speed_10m_ms"", ""baseline_wind_speed_10m_ms"", ""delta_wind_speed_10m_ms""]",True,
weather/output/attempt_performance_repeat_delta_context_v1_qa.csv,.csv,True,18,3,,[],"[""status""]",False,
weather/output/attempt_performance_residual_diagnostics_v1.csv,.csv,True,615,34,"2020,2021,2023,2024","[""session_id""]","[""test_year"", ""attempt_id"", ""session_id"", ""car_number_prediction"", ""driver_name_prediction"", ""actual_speed_mph"", ""predicted_speed_mph"", ""year"", ""car_number_matrix"", ""driver_name_matrix"", ""four_lap_average_speed_mph"", ""forecast_wind_speed_10m_ms"", ""prior_supported_attempt_count"", ""seconds_since_prior_supported_attempt"", ""best_prior_supported_average_speed_mph"", ""has_prior_supported_attempt"", ""_resolved_year"", ""_resolved_car_number"", ""_resolved_driver_name""]",True,
weather/output/attempt_performance_residual_feature_correlations_v1.csv,.csv,True,60,9,,[],"[""within_year_corr_feature_vs_residual"", ""abs_within_year_corr_feature_vs_residual"", ""within_year_corr_feature_vs_actual_target""]",False,
weather/output/attempt_performance_residual_group_summary_v1.csv,.csv,True,61,10,,[],"[""mean_actual_speed_mph"", ""mean_predicted_speed_mph""]",False,
weather/output/attempt_performance_residual_stability_qa_v1.csv,.csv,True,22,3,,[],"[""status""]",False,
weather/output/attempt_performance_target_structure_v1.csv,.csv,True,5,12,,[],"[""year"", ""mean_speed_mph"", ""median_speed_mph"", ""std_speed_mph"", ""min_speed_mph"", ""max_speed_mph"", ""primary_year_mean_range_mph"", ""eta_squared_descriptive_year""]",False,
weather/output/attempt_performance_v1_design_qa.csv,.csv,True,17,3,,[],"[""status""]",False,
weather/output/attempt_performance_validation_folds_v1.csv,.csv,True,4,9,,"[""validation_protocol_id"", ""validation_protocol_hash""]","[""train_years"", ""test_year""]",True,
weather/output/large_gain_event_evidence_audit_qa_v1.csv,.csv,True,16,3,,[],"[""status""]",False,
weather/output/large_gain_event_evidence_audit_v1.csv,.csv,True,4,35,"2020,2021,2023","[""baseline_result_counted_at_session_end"", ""current_result_counted_at_session_end""]","[""year"", ""car_number"", ""driver_name"", ""baseline_attempt_id"", ""current_attempt_id"", ""baseline_speed_mph"", ""current_speed_mph"", ""delta_speed_mph"", ""baseline_below_year_median"", ""seconds_since_baseline_attempt"", ""baseline_result_status"", ""current_result_status"", ""baseline_attempt_class"", ""current_attempt_class"", ""baseline_result_counted_at_session_end"", ""current_result_counted_at_session_end"", ""baseline_status_suspicious"", ""baseline_lap_rows"", ""current_lap_rows"", ""comparable_lap_speed_rows"", ""positive_lap_gain_count"", ""negative_lap_gain_count"", ""mean_lap_speed_gain_mph"", ""min_lap_speed_gain_mph"", ""max_lap_speed_gain_mph"", ""std_lap_speed_gain_mph"", ""lap_improvement_morphology"", ""baseline_attempt_metadata_json"", ""current_attempt_metadata_json""]",True,
weather/output/large_gain_event_lap_audit_v1.csv,.csv,True,16,14,"2020,2021,2023","[""baseline_lap_time_seconds"", ""current_lap_time_seconds""]","[""year"", ""car_number"", ""driver_name"", ""baseline_attempt_id"", ""current_attempt_id"", ""lap_order"", ""baseline_lap_speed_mph"", ""current_lap_speed_mph"", ""lap_speed_delta_mph"", ""baseline_lap_time_seconds"", ""current_lap_time_seconds"", ""baseline_source_report_lap_index"", ""current_source_report_lap_index""]",True,
