source,row_count,column_count,driver_column,year_column,attempt_column,action_column,lane_column,rank_column,cutoff_column,queue_column,all_columns
eligibility,10,9,driver_name,,,,,,,,driver_name|broad_repeat_attempt_count|attempt_ids|attempt_statuses|status_only_excluded_objects|legacy_denominator_included|eligibility_class|decision_relevant_denominator|rationale
chronology,164,36,driver_name,year,attempt_id,action,lane,,,,year|attempt_id|session_id|car_number|driver_name|car_attempt_index|constraint_class|time_point_utc|time_lower_utc|time_upper_utc|time_midpoint_utc|time_quality|source_layer|source_semantic|source_event_id|anchor_event_type|result_status|chronology_usable|performance_environment_usable|queue_replay_usable|notes|evidence_id|evidence_stage|source_authority|source_title|source_url|official_result_row|ordering_relation|evidence_summary|related_attempt_id|ordering_role|evidence_type|action|lane|source_candidate_id|evidence_quality
action_lane,8,24,driver_name,year,,action,lane,,,,evidence_id|year|subject_attempt_id|related_attempt_id|session_id|car_number|driver_name|action|lane|relation|source_name|source_class|source_candidate_id|evidence_quality|chronology_usable|queue_position_known|queue_wait_known|canonical_mutated|notes|subject_speed_mph|related_speed_mph|official_subject_status|source_evidence_id|promotion_status
decision_state,7,23,driver_name,year,,action,lane,rank,cutoff_rank,,state_id|year|driver_name|subject_attempt_id|related_attempt_id|state_stage|rank|rank_lower_bound|rank_upper_bound|top12_state|cutoff_rank|cutoff_speed_mph|action|lane|time_quality|exact_timestamp|source_name|source_class|source_semantic|promotion_status|notes|cutoff_speed_derivation|cutoff_speed_quality
queue,5,24,driver_name,year,,,,,,queue_membership,queue_state_id|year|driver_name|subject_attempt_id|related_attempt_id|evidence_family|state_semantic|queue_membership|queue_lane|queue_position|relative_run_order|related_driver|existing_rank|queue_wait_seconds|queue_wait_lower_bound_seconds|queue_wait_upper_bound_seconds|time_quality|exact_timestamp|source_name|source_class|source_reference|source_text|promotion_status|notes
queue_wait_policy,1,19,,year,,,,,,,phase|year|queue_wait_status|exact_queue_wait_identifiable|bounded_queue_wait_identifiable|queue_membership_support|queue_position_support|lane_support|run_order_support|priority_time_anchor_count|exact_queue_wait_row_count|bounded_queue_wait_row_count|inter_attempt_gap_as_queue_wait|simulator_queue_wait_policy|sensitivity_values_are_observed_truth|exact_queue_replay_ready|queue_wait_model_calibration_ready|queue_wait_sensitivity_analysis_ready|notes
service_policy,1,21,,year,,,,,,,phase|year|service_identifiability_status|pit_return_support|service_between_attempts_support|refuel_support|cooling_service_support|tire_service_support|adjustment_support|repair_support|technical_state_support|technical_issue_driver|technical_issue_type|technical_issue_stage|downstream_service_policy|not_observed_means_none|later_attempt_proves_repair|queue_wait_can_infer_cooling|exact_service_reconstruction_ready|service_feature_calibration_ready|notes
interruption_policy,1,19,,year,,,,,,,phase|year|interruption_chronology_support|wet_terminal_state_support|day1_rain_arrival_grip_effect|day1_rain_arrival_speed_effect|post_restart_grip_state|drying_trajectory|track_cleaning_support|track_reset_support|day1_rubber_washoff_support|green_track_support|post_restart_quantitative_grip_ready|rubber_reset_feature_ready|elapsed_time_as_track_evolution|rain_implies_full_reset|reopen_implies_known_grip|downstream_track_state_policy|notes
rubber_grip_policy,1,18,,year,,,,,,,phase|year|day1_rubber_state_status|day1_grip_evolution_status|direct_rubber_grip_evidence_rows|direct_track_evolution_grip_rows|green_track_evidence_rows|rain_rubber_mechanism_day1_rows|adjacent_mechanism_support|adjacent_mechanism|adjacent_mechanism_context|adjacent_to_day1_promotion_allowed|quantitative_rubber_feature_ready|quantitative_grip_feature_ready|elapsed_time_as_track_evolution|downstream_rubber_policy|downstream_grip_evolution_policy|notes
tire_policy,1,20,,year,,,,,,,phase|year|tire_state_identifiability_status|tire_temperature_status|tire_pressure_status|thermal_state_status|fresh_tire_between_runs_status|direct_temperature_rows|direct_pressure_rows|direct_thermal_rows|fresh_tire_between_runs_rows|generic_tire_review_rows|quantitative_temperature_ready|quantitative_pressure_ready|queue_wait_can_infer_temperature|second_run_can_imply_fresh_tires|pit_service_can_imply_pressure_adjustment|elapsed_time_can_imply_thermal_state|downstream_tire_state_policy|notes
