resource_id,source_authority,historical_scope,raw_evidence_path,json_path,field_name,data_type,sample_value,lane_signal,priority_signal,queue_signal,line_signal,withdraw_signal,attempt_signal,timestamp_signal,position_signal,rank_signal,cutoff_signal,bump_signal,status_signal,race_control_signal,message_signal,semantic_assessment,notes
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records,records,array,"[{""BestLapTime"":null,""BestSpeed"":null,""BestSpeedFormatted"":null,""CarNumber"":""98"",""Difference"":null,""DriverName"":""Marco Andretti"",""DriverOverrideID"":3608,""DriverUrl"":null,""DriversID"":3608,""ElapsedTime"":""02:35.6078"",""EventsEntrylistID"":33591,",NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].BestLapTime,BestLapTime,null,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].BestSpeed,BestSpeed,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].BestSpeedFormatted,BestSpeedFormatted,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].CarNumber,CarNumber,string,98,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].Difference,Difference,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].DriverName,DriverName,string,Marco Andretti,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].DriverOverrideID,DriverOverrideID,integer,3608,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].DriverUrl,DriverUrl,string,/Drivers/Ryan-Hunter-Reay,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].DriversID,DriversID,integer,3608,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].ElapsedTime,ElapsedTime,string,02:35.6078,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].EventsEntrylistID,EventsEntrylistID,integer,33591,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].EventsSessionsDetailsID,EventsSessionsDetailsID,integer,99787,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].EventsSessionsID,EventsSessionsID,integer,5771,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].FirstName,FirstName,string,Marco,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
