attempt_id,session_id,car_number,driver_name,car_attempt_index,performance_time_utc,availability_lag_minutes,eligible_snapshot_count,has_any_eligible_snapshot,nearest_snapshot_id,nearest_issue_time_utc,nearest_valid_time_utc,nearest_forecast_lead_hours,nearest_valid_offset_minutes,nearest_valid_relation,latest_available_issue_time_utc,latest_available_issue_age_minutes,same_cycle_bracket_available,same_cycle_before_snapshot_id,same_cycle_after_snapshot_id,same_cycle_before_valid_offset_minutes,same_cycle_after_valid_offset_minutes
16cb7863-a6d0-5895-93e4-a76ac2c6c71f,INDY500_DAY1_2020,15,Graham Rahal,1.0,2020-08-15T15:00:45Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-0.75,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,60.75,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-0.75,59.25
a6295479-1996-5baa-b116-ab56a03c118d,INDY500_DAY1_2020,41,Dalton Kellett,1.0,2020-08-15T15:11:35Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-11.583333333333334,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,71.58333333333333,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-11.583333333333334,48.416666666666664
e132bf44-6808-5d6b-819c-a993af279439,INDY500_DAY1_2020,21,Rinus VeeKay,1.0,2020-08-15T15:16:35Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-16.583333333333332,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,76.58333333333333,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-16.583333333333332,43.416666666666664
954d29f8-6770-5c41-9322-b23c885935ef,INDY500_DAY1_2020,60,Jack Harvey,1.0,2020-08-15T15:20:45Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-20.75,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,80.75,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-20.75,39.25
25f997a4-1a33-565b-b2b0-1c30d3a0f19c,INDY500_DAY1_2020,9,Scott Dixon,1.0,2020-08-15T15:25:45Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-25.75,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,85.75,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-25.75,34.25
e2df4919-a45f-5b41-916e-55908e4f1abb,INDY500_DAY1_2020,45,Spencer Pigot,1.0,2020-08-15T15:29:55Z,60,16,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z,1.0,-29.916666666666668,VALID_TIME_BEFORE_TARGET,2020-08-15T14:00:00Z,89.91666666666667,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-29.916666666666668,30.083333333333332
194c9baa-3297-571e-82bf-ac3ba81e07fc,INDY500_DAY1_2020,5,Pato O'Ward,1.0,2020-08-15T15:34:55Z,60,16,True,bcf4cb70-3078-5db0-a63d-6eff547f92bb,2020-08-15T14:00:00Z,2020-08-15T16:00:00Z,2.0,25.083333333333332,VALID_TIME_AFTER_TARGET,2020-08-15T14:00:00Z,94.91666666666667,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-34.916666666666664,25.083333333333332
00d1c34a-f916-5fa9-803b-2cc6962f2595,INDY500_DAY1_2020,1,Josef Newgarden,1.0,2020-08-15T15:39:55Z,60,16,True,bcf4cb70-3078-5db0-a63d-6eff547f92bb,2020-08-15T14:00:00Z,2020-08-15T16:00:00Z,2.0,20.083333333333332,VALID_TIME_AFTER_TARGET,2020-08-15T14:00:00Z,99.91666666666667,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-39.916666666666664,20.083333333333332
3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,INDY500_DAY1_2020,24,Sage Karam,1.0,2020-08-15T15:49:55Z,60,16,True,bcf4cb70-3078-5db0-a63d-6eff547f92bb,2020-08-15T14:00:00Z,2020-08-15T16:00:00Z,2.0,10.083333333333334,VALID_TIME_AFTER_TARGET,2020-08-15T14:00:00Z,109.91666666666667,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-49.916666666666664,10.083333333333334
81f0c457-15fb-5f7f-9649-8663a142764d,INDY500_DAY1_2020,27,Alexander Rossi,1.0,2020-08-15T15:54:05Z,60,16,True,bcf4cb70-3078-5db0-a63d-6eff547f92bb,2020-08-15T14:00:00Z,2020-08-15T16:00:00Z,2.0,5.916666666666667,VALID_TIME_AFTER_TARGET,2020-08-15T14:00:00Z,114.08333333333333,True,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb,-54.083333333333336,5.916666666666667
