metric,value,status
model_matrix_rows_equal_123,1,PASS
primary_years_exact,1,PASS
primary_matrix_rows_equal_116,1,PASS
expected_five_models_present,1,PASS
each_model_has_116_primary_predictions,1,PASS
aggregate_best_model_present,1,PASS
target_structure_created,1,PASS
feature_correlation_rows_equal_60,1,PASS
repeat_prior_diagnostic_nonempty,1,PASS
all_best_primary_residuals_finite,1,PASS
year_eta_squared_finite,1,PASS
year_mean_range_finite,1,PASS
resolved_car_column_present,1,PASS
resolved_driver_column_present,1,PASS
aggregate_best_model,MEAN_BASELINE,INFO
primary_year_mean_range_mph,3.046793040293011,INFO
descriptive_year_eta_squared,0.35276627985298636,INFO
max_abs_mean_baseline_year_bias_mph,2.703198051948054,INFO
repeat_target_rows,40,INFO
corr_current_vs_best_prior_speed,0.9051122499948467,INFO
best_prior_naive_mae_mph_on_repeat_rows,0.5524250000000024,INFO
diagnostic_policy_hash,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a,INFO
