category,count
FULL_SHADOW_INFERENCE_SUPPORTED,0
CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,9
ILLUSTRATIVE_ONLY,1
ABSTAINED_INSUFFICIENT_TIMESTAMP,31
ABSTAINED_OUT_OF_SUPPORT,0
ABSTAINED_FORECAST_UNAVAILABLE,0
REASON:HORIZON_OUT_OF_SUPPORT,9
REASON:INSUFFICIENT_ATTEMPT_TIMESTAMP,31
REASON:NON_ANCHOR_EVALUATION_NOT_APPROVED,1
