year,session_id,session_name,session_type,track_type,session_date,event_name,DriverUrl,DriversID,FirstName,LastName,CarNumber,EventsSessionsDetailsID,EventsSessionsID,EventsEntrylistID,DriverOverrideID,PositionStart,PositionFinish,ElapsedTime,LapsComplete,LapsDown,BestLapTime,BestSpeed,InLap,Difference,Gap,SpeedAvg,TimesLed,LapsLed,PitStops,Status,PointsEarned,IsDeleted,QualLap1,QualLap2,QualLap3,QualLap4,DriverName,SpeedAvgFormatted,BestSpeedFormatted,TeamName
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Will-Power,3667,Will,Power,12,92063,5225,31369,3667,3.0,1,02:59:42.6365,200.0,0.0,00:40.3035,223.306,,--.----,,166.935,4.0,59.0,5.0,Running,108.0,False,,,,,Will Power,166.935,223.306,Team Penske
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Ed-Carpenter,3620,Ed,Carpenter,20,92064,5225,31374,3620,1.0,2,02:59:45.7954,200.0,0.0,00:40.2368,223.676,,3.1589,,166.886,6.0,65.0,5.0,Running,92.0,False,,,,,Ed Carpenter,166.886,223.676,ECR
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Scott-Dixon,3628,Scott,Dixon,9,92065,5225,31367,3628,9.0,3,02:59:47.2293,200.0,0.0,00:40.6543,221.379,,4.5928,,166.864,,,5.0,Running,71.0,False,,,,,Scott Dixon,166.864,221.379,Chip Ganassi Racing
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Alexander-Rossi,4587,Alexander,Rossi,27,92066,5225,31379,4587,32.0,4,02:59:47.8602,200.0,0.0,00:40.3275,223.173,,5.2237,,166.854,1.0,1.0,5.0,Running,65.0,False,,,,,Alexander Rossi,166.854,223.173,Andretti Autosport
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Ryan-Hunter-Reay,3645,Ryan,Hunter-Reay,28,92067,5225,31380,3645,14.0,5,02:59:49.3552,200.0,0.0,00:40.4560,222.464,,6.7187,,166.831,1.0,1.0,5.0,Running,61.0,False,,,,,Ryan Hunter-Reay,166.831,222.464,Andretti Autosport
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,,4276,Simon,Pagenaud,22,92068,5225,31376,4276,2.0,6,02:59:49.8722,200.0,0.0,00:40.4933,222.259,,7.2357,,166.823,1.0,1.0,5.0,Running,65.0,False,,,,,Simon Pagenaud,166.823,222.259,Team Penske
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,,4429,Carlos,Munoz,29,92069,5225,31392,4429,21.0,7,02:59:50.4742,200.0,0.0,00:40.1956,223.905,,7.8377,,166.814,2.0,4.0,6.0,Running,53.0,False,,,,,Carlos Munoz,166.814,223.905,Andretti Autosport
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Josef-Newgarden,4215,Josef,Newgarden,1,92070,5225,31363,4215,4.0,8,02:59:51.3282,200.0,0.0,00:40.5625,221.88,,8.6917,,166.801,2.0,3.0,6.0,Running,55.0,False,,,,,Josef Newgarden,166.801,221.880,Team Penske
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,,4641,Robert,Wickens,6,92071,5225,31366,4641,18.0,9,02:59:51.9477,200.0,0.0,00:40.5861,221.751,,9.3112,,166.791,1.0,2.0,7.0,Running,45.0,False,,,,,Robert Wickens,166.791,221.751,Arrow McLaren
2018,5225,Race,R,I,"Sunday, May 27, 2018",102nd Running of the Indianapolis 500,/Drivers/Graham-Rahal,3668,Graham,Rahal,15,92072,5225,31371,3668,30.0,10,02:59:53.9733,200.0,0.0,00:40.4614,222.434,,11.3368,,166.76,2.0,12.0,6.0,Running,41.0,False,,,,,Graham Rahal,166.760,222.434,Rahal Letterman Lanigan Racing
