ablation,model,n,mae_mph,rmse_mph,bias_mph
A_NO_CHANGE,BASELINE,27,0.6912222222,1.291137497,-0.4776666667
C_PHYSICS_NO_TRACK,ABLATION_PHYSICS_NO_TRACK,27,1.979749193,2.289014824,1.270682612
D_PHYSICS_NO_SOLAR,ABLATION_PHYSICS_NO_SOLAR,27,1.832464474,2.21342849,0.7111427463
E_FINAL_PHYSICS,M1_TRACK_LINEAR,27,0.9828447049,1.320729989,0.215493812
B_LEGACY_FAST_FRIDAY_CENTERED,R4F7_ONLINE_SHRUNK_FIELD_MEAN_DIFFERENCE,27,0.7367943299,1.302269482,-0.5422441699
