fused_decision_id,regime,feasible_action,status,mc_draws,mean_wait_minutes,mean_future_track_temp_c,mean_expected_delta_speed_mph,mean_attempt_speed_mph,mean_final_speed_mph,p_beat_current,p_cross_benchmark,p_downside,parameter_scope
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.254,230.254,0,1,0,
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.795,47.89176917,1.603153594,231.7418991,231.7698578,0.9215,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.4525,47.90244942,1.60113397,231.7833099,231.7833099,0.9075,0.9075,0.0925,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.154,229.154,0,0,0,
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.865,51.42119862,1.671127007,230.7484692,230.7734011,0.9245,0.3695,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.1975,51.40491901,1.674205464,230.6719569,230.6719569,0.9215,0.3625,0.0785,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.811,229.811,0,0,0,
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.83,47.91801662,1.598190229,231.3075006,231.3358192,0.9105,0.837,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.7425,47.87329154,1.606647695,231.3401068,231.3401068,0.9175,0.8495,0.0825,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.836,228.836,0,0,0,
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.7675,50.92574244,1.659762277,230.3598009,230.3830816,0.9305,0.2525,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.3275,50.90351008,1.663966393,230.3559521,230.3559521,0.9155,0.252,0.0845,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,227.099,227.099,0,1,0,
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6675,42.98185619,1.586118231,228.5587683,228.5919639,0.9115,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.8875,43.06062171,1.571223751,228.5941044,228.5941044,0.9055,0.9055,0.0945,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.268,231.268,0,1,0,
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0375,43.01599419,1.57966277,232.660424,232.697897,0.9065,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0425,43.00835709,1.581106937,232.7292176,232.7292176,0.903,1,0.097,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.33,231.33,0,1,0,
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6925,44.65884198,1.584166894,232.7365367,232.7722057,0.903,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.03,44.67949952,1.580260574,232.7435916,232.7435916,0.895,0.999,0.105,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.195,231.195,0,1,0,
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.83,48.99029541,1.605533381,232.6690028,232.6981536,0.924,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.71,48.97109932,1.609163341,232.6937196,232.6937196,0.9195,0.9985,0.0805,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.115,228.115,0,0,0,
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.035,52.43447167,1.689628084,229.6471868,229.6742869,0.9195,0.129,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,22.8125,52.41421439,1.693458714,229.6077141,229.6077141,0.927,0.1115,0.073,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.884,229.884,0,0,0,
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.97,49.81966198,1.658810984,231.4779848,231.5057585,0.9225,0.8385,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.9375,49.9176612,1.640279432,231.403069,231.403069,0.921,0.8265,0.079,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.747,228.747,0,0,0,
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,22.925,48.88992757,1.624512835,230.2253859,230.2577627,0.9075,0.2635,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.2875,48.93696009,1.615619035,230.2398714,230.2398714,0.914,0.2725,0.086,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.034,231.034,0,1,0,
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.3725,49.96136557,1.632014982,232.5137211,232.5436959,0.917,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.685,50.01991336,1.620943653,232.4632018,232.4632018,0.9075,0.9835,0.0925,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,225.819,225.819,0,0,0,
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6875,51.34857795,1.684859501,227.3925376,227.4160755,0.928,0.0955,0,LOYO_EXCLUDING_2020
