fused_decision_id,lane1_priority_wait_minutes,lane2_retain_wait_minutes,wait_advantage_minutes,lane1_future_track_temp_mean_c,lane2_future_track_temp_mean_c,lane1_expected_delta_speed_mph,lane2_expected_delta_speed_mph,priority_thermal_performance_difference_mph,scenario_semantics
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,5,15,10,47.28249903,47.65006848,1.718365955,1.648858947,0.06950700768,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,5,30,25,47.28249903,48.1515456,1.718365955,1.554030137,0.1643358184,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,5,45,40,47.28249903,48.59216987,1.718365955,1.470708537,0.2476574174,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,15,30,15,47.65006848,48.1515456,1.648858947,1.554030137,0.09482881067,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,15,45,30,47.65006848,48.59216987,1.648858947,1.470708537,0.1781504097,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,30,45,15,48.1515456,48.59216987,1.554030137,1.470708537,0.08332159907,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,5,15,10,51.15480707,51.33509317,1.721501377,1.687409459,0.03409191789,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,5,30,25,51.15480707,51.55327561,1.721501377,1.646151383,0.07534999373,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,5,45,40,51.15480707,51.70865225,1.721501377,1.616769819,0.1047315576,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,15,30,15,51.33509317,51.55327561,1.687409459,1.646151383,0.04125807584,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,15,45,30,51.33509317,51.70865225,1.687409459,1.616769819,0.07063963975,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,30,45,15,51.55327561,51.70865225,1.646151383,1.616769819,0.02938156391,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,5,15,10,47.27596373,47.63030981,1.719601773,1.652595292,0.06700648131,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,5,30,25,47.27596373,48.11161729,1.719601773,1.561580538,0.1580212348,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,5,45,40,47.27596373,48.53174735,1.719601773,1.482134374,0.2374673988,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,15,30,15,47.63030981,48.11161729,1.652595292,1.561580538,0.09101475348,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,15,45,30,47.63030981,48.53174735,1.652595292,1.482134374,0.1704609175,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,30,45,15,48.11161729,48.53174735,1.561580538,1.482134374,0.07944616402,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,5,15,10,50.60211818,50.81010301,1.720959294,1.681629575,0.0393297191,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,5,30,25,50.60211818,51.07002196,1.720959294,1.632479166,0.08848012801,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,5,45,40,50.60211818,51.26720226,1.720959294,1.595192572,0.1257667218,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,15,30,15,50.81010301,51.07002196,1.681629575,1.632479166,0.04915040892,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,15,45,30,50.81010301,51.26720226,1.681629575,1.595192572,0.08643700274,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,30,45,15,51.07002196,51.26720226,1.632479166,1.595192572,0.03728659382,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,5,15,10,42.22823745,42.68214123,1.728626765,1.642794023,0.08583274173,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,5,30,25,42.22823745,43.31119101,1.728626765,1.523841352,0.2047854127,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,5,45,40,42.22823745,43.88219558,1.728626765,1.415864971,0.3127617934,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,15,30,15,42.68214123,43.31119101,1.642794023,1.523841352,0.1189526709,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,15,45,30,42.68214123,43.88219558,1.642794023,1.415864971,0.2269290517,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,30,45,15,43.31119101,43.88219558,1.523841352,1.415864971,0.1079763807,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,5,15,10,42.22314009,42.66411763,1.729590671,1.646202267,0.08338840401,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,5,30,25,42.22314009,43.27720309,1.729590671,1.530268433,0.1993222379,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,5,45,40,42.22314009,43.83181683,1.729590671,1.425391541,0.3041991301,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,15,30,15,42.66411763,43.27720309,1.646202267,1.530268433,0.1159338339,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,15,45,30,42.66411763,43.83181683,1.646202267,1.425391541,0.2208107261,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,30,45,15,43.27720309,43.83181683,1.530268433,1.425391541,0.1048768921,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,5,15,10,43.90708252,44.32222786,1.726323841,1.64782028,0.07850356112,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,5,30,25,43.90708252,44.89649739,1.726323841,1.539226499,0.187097342,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,5,45,40,43.90708252,45.4113507,1.726323841,1.441868264,0.2844555777,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,15,30,15,44.32222786,44.89649739,1.64782028,1.539226499,0.1085937808,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,15,45,30,44.32222786,45.4113507,1.64782028,1.441868264,0.2059520166,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,30,45,15,44.89649739,45.4113507,1.539226499,1.441868264,0.09735823579,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,5,15,10,48.39981762,48.73580504,1.717192126,1.653657249,0.06353487714,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,5,30,25,48.39981762,49.18249416,1.717192126,1.569188793,0.1480033336,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,5,45,40,48.39981762,49.53246128,1.717192126,1.503010368,0.214181758,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,15,30,15,48.73580504,49.18249416,1.653657249,1.569188793,0.08446845646,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,15,45,30,48.73580504,49.53246128,1.653657249,1.503010368,0.1506468809,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,30,45,15,49.18249416,49.53246128,1.569188793,1.503010368,0.06617842441,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,5,15,10,52.27015408,52.41511271,1.720700373,1.693288844,0.02741152929,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,5,30,25,52.27015408,52.56932828,1.720700373,1.664126836,0.05657353684,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,5,45,40,52.27015408,52.63177654,1.720700373,1.652317934,0.06838243902,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,15,30,15,52.41511271,52.56932828,1.693288844,1.664126836,0.02916200756,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,15,45,30,52.41511271,52.63177654,1.693288844,1.652317934,0.04097090973,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,30,45,15,52.56932828,52.63177654,1.664126836,1.652317934,0.01180890218,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,5,15,10,49.48893315,49.72683614,1.721351469,1.676364256,0.04498721328,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,5,30,25,49.48893315,50.03194914,1.721351469,1.6186677,0.1026837687,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,5,45,40,49.48893315,50.27453145,1.721351469,1.572795632,0.1485558368,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,15,30,15,49.72683614,50.03194914,1.676364256,1.6186677,0.0576965554,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,15,45,30,49.72683614,50.27453145,1.676364256,1.572795632,0.1035686235,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,30,45,15,50.03194914,50.27453145,1.6186677,1.572795632,0.04587206814,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,5,15,10,48.38761641,48.69896329,1.719499364,1.660623986,0.05887537828,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,5,30,25,48.38761641,49.08250645,1.719499364,1.588096367,0.1314029979,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,5,45,40,48.38761641,49.39454019,1.719499364,1.529091105,0.1904082595,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,15,30,15,48.69896329,49.08250645,1.660623986,1.588096367,0.0725276196,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,15,45,30,48.69896329,49.39454019,1.660623986,1.529091105,0.1315328813,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,30,45,15,49.08250645,49.39454019,1.588096367,1.529091105,0.05900526167,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,5,15,10,49.51498296,49.81294135,1.716425477,1.66008185,0.05634362727,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,5,30,25,49.51498296,50.16977871,1.716425477,1.59260427,0.1238212077,NON_EMPIRICAL_ACTION_SPECIFIC_WAIT_PAIR; sensitivity only
