fused_decision_id,regime,feasible_action,cutoff_policy_id,assumed_time_remaining_minutes,p_complete,p_cross_benchmark,p_no_result,mean_final_speed_mph
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,1,0,230.254
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.25,1,0,230.6608337
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.25,1,0,230.6608337
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.5,1,0,231.039952
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.5,1,0,231.039952
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.747,1,0,231.4047599
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,231.7698578
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.249,0.225,0.751,231.8913932
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.249,0.225,0.751,231.8913932
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.508,0.466,0.492,231.8537308
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.508,0.466,0.492,231.8537308
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7625,0.694,0.2375,231.8080268
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.9075,0,231.7833099
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,229.154
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2565,0.093,0,229.5735615
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2565,0.093,0,229.5735615
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.491,0.1795,0,229.945152
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.491,0.1795,0,229.945152
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.747,0.2725,0,230.3544953
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.3695,0,230.7734011
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2715,0.089,0.7285,230.6310359
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2715,0.089,0.7285,230.6310359
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.522,0.1855,0.478,230.6736867
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.522,0.1855,0.478,230.6736867
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7505,0.2715,0.2495,230.6829914
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.3625,0,230.6719569
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,229.811
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.251,0.2155,0,230.2077256
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.251,0.2155,0,230.2077256
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.5,0.4345,0,230.6106274
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.5,0.4345,0,230.6106274
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.744,0.6345,0,230.964359
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.837,0,231.3358192
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2455,0.219,0.7545,231.442074
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2455,0.219,0.7545,231.442074
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.507,0.4455,0.493,231.4157259
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.507,0.4455,0.493,231.4157259
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7465,0.6505,0.2535,231.4033929
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.8495,0,231.3401068
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,228.836
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.243,0.0665,0,229.2220154
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.243,0.0665,0,229.2220154
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.5075,0.1325,0,229.6398249
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.5075,0.1325,0,229.6398249
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.746,0.1915,0,230.0058143
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.2525,0,230.3830816
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2555,0.0555,0.7445,230.2912975
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2555,0.0555,0.7445,230.2912975
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.513,0.123,0.487,230.3377656
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.513,0.123,0.487,230.3377656
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7615,0.188,0.2385,230.3573437
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.252,0,230.3559521
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,1,0,227.099
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2635,1,0,227.5249891
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2635,1,0,227.5249891
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.5015,1,0,227.9051627
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.5015,1,0,227.9051627
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.745,1,0,228.2614225
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,228.5919639
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2535,0.232,0.7465,228.782175
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2535,0.232,0.7465,228.782175
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.492,0.4525,0.508,228.727201
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.492,0.4525,0.508,228.727201
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7465,0.681,0.2535,228.674258
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.9055,0,228.5941044
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,1,0,231.268
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.258,1,0,231.7031695
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.258,1,0,231.7031695
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.4865,1,0,232.0324042
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.4865,1,0,232.0324042
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.739,1,0,232.3892864
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,232.697897
