held_out_year,model,term,coefficient
2020,M5_ONLINE_STATE,delta_solar_radiation_wm2,0.0006206028463
2020,M5_ONLINE_STATE,delta_solar_elevation_deg,0.04983962361
2020,M5_ONLINE_STATE,elapsed_minutes,0.001509960912
2020,M5_ONLINE_STATE,before_attempt_index,-0.9281110785
2021,M5_ONLINE_STATE,intercept,1.998068036
2021,M5_ONLINE_STATE,delta_track_temp_c,0.1517958663
2021,M5_ONLINE_STATE,delta_track_temp_centered_sq_c2,-0.003610370999
2021,M5_ONLINE_STATE,delta_air_temp_c,-1.011704769
2021,M5_ONLINE_STATE,delta_solar_radiation_wm2,-0.0009276466054
2021,M5_ONLINE_STATE,delta_solar_elevation_deg,-0.0006194253473
2021,M5_ONLINE_STATE,elapsed_minutes,0.01023499359
2021,M5_ONLINE_STATE,before_attempt_index,-0.8025191361
2023,M5_ONLINE_STATE,intercept,1.791972074
2023,M5_ONLINE_STATE,delta_track_temp_c,-0.09727582639
2023,M5_ONLINE_STATE,delta_track_temp_centered_sq_c2,0.00482333674
2023,M5_ONLINE_STATE,delta_air_temp_c,-0.02849084942
2023,M5_ONLINE_STATE,delta_solar_radiation_wm2,0.001974084724
2023,M5_ONLINE_STATE,delta_solar_elevation_deg,-0.01744362276
2023,M5_ONLINE_STATE,elapsed_minutes,-0.00279649706
2023,M5_ONLINE_STATE,before_attempt_index,-0.5688996668
2020,M_PHYSICS_PLUS_FF,intercept,94.04783571
2020,M_PHYSICS_PLUS_FF,delta_track_temp_c,-0.143382274
2020,M_PHYSICS_PLUS_FF,fast_friday_reference_mph_before,-0.4012665364
2021,M_PHYSICS_PLUS_FF,intercept,48.6932607
2021,M_PHYSICS_PLUS_FF,delta_track_temp_c,-0.009524552924
2021,M_PHYSICS_PLUS_FF,fast_friday_reference_mph_before,-0.2085659086
2023,M_PHYSICS_PLUS_FF,intercept,40.94924815
2023,M_PHYSICS_PLUS_FF,delta_track_temp_c,-0.04805096127
2023,M_PHYSICS_PLUS_FF,fast_friday_reference_mph_before,-0.1747915957
2020,ABLATION_PHYSICS_NO_TRACK,intercept,2.036338168
2020,ABLATION_PHYSICS_NO_TRACK,elapsed_minutes,0.002773275503
2020,ABLATION_PHYSICS_NO_TRACK,delta_air_temp_c,-0.4032536441
2020,ABLATION_PHYSICS_NO_TRACK,delta_solar_radiation_wm2,0.0008483593755
2020,ABLATION_PHYSICS_NO_TRACK,delta_solar_elevation_deg,0.07067509401
2020,ABLATION_PHYSICS_NO_TRACK,delta_wind_speed_ms,-0.6819770467
2021,ABLATION_PHYSICS_NO_TRACK,intercept,0.6372015518
2021,ABLATION_PHYSICS_NO_TRACK,elapsed_minutes,0.009589969407
2021,ABLATION_PHYSICS_NO_TRACK,delta_air_temp_c,-0.4208466128
2021,ABLATION_PHYSICS_NO_TRACK,delta_solar_radiation_wm2,-0.001738511197
2021,ABLATION_PHYSICS_NO_TRACK,delta_solar_elevation_deg,0.0039971813
2021,ABLATION_PHYSICS_NO_TRACK,delta_wind_speed_ms,2.897050541
2023,ABLATION_PHYSICS_NO_TRACK,intercept,0.8959553625
2023,ABLATION_PHYSICS_NO_TRACK,elapsed_minutes,-0.004748343845
2023,ABLATION_PHYSICS_NO_TRACK,delta_air_temp_c,0.07017079014
2023,ABLATION_PHYSICS_NO_TRACK,delta_solar_radiation_wm2,0.001667768156
2023,ABLATION_PHYSICS_NO_TRACK,delta_solar_elevation_deg,-0.01437014667
2023,ABLATION_PHYSICS_NO_TRACK,delta_wind_speed_ms,-0.6404715915
2020,ABLATION_PHYSICS_NO_SOLAR,intercept,2.263789902
2020,ABLATION_PHYSICS_NO_SOLAR,elapsed_minutes,-0.00830598115
2020,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_c,-0.02373443253
2020,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_centered_sq_c2,-0.00976228063
2020,ABLATION_PHYSICS_NO_SOLAR,delta_air_temp_c,0.007676848961
2020,ABLATION_PHYSICS_NO_SOLAR,delta_wind_speed_ms,-0.1423753911
2021,ABLATION_PHYSICS_NO_SOLAR,intercept,0.662430489
2021,ABLATION_PHYSICS_NO_SOLAR,elapsed_minutes,0.01160523983
2021,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_c,-0.0356801974
2021,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_centered_sq_c2,0.002886946724
2021,ABLATION_PHYSICS_NO_SOLAR,delta_air_temp_c,-0.5502029052
2021,ABLATION_PHYSICS_NO_SOLAR,delta_wind_speed_ms,2.892999452
2023,ABLATION_PHYSICS_NO_SOLAR,intercept,0.8937689177
2023,ABLATION_PHYSICS_NO_SOLAR,elapsed_minutes,-0.00328161864
2023,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_c,-0.03798328675
2023,ABLATION_PHYSICS_NO_SOLAR,delta_track_temp_centered_sq_c2,-0.00107987542
2023,ABLATION_PHYSICS_NO_SOLAR,delta_air_temp_c,0.1472253615
2023,ABLATION_PHYSICS_NO_SOLAR,delta_wind_speed_ms,-0.3387907078
FINAL_ALL_DATA,M1_TRACK_LINEAR,intercept,0.9376978659
FINAL_ALL_DATA,M1_TRACK_LINEAR,delta_track_temp_c,-0.07142976448
