bootstrap_iteration,beta_track_mph_per_c,intercept_mph
0,-0.053479514978601636,0.6962199714693332
1,-0.12095261194029701,1.3009166666666574
2,-0.022232914903945647,0.6227472778972162
3,-0.025980854521124058,0.474269212387695
4,-0.07041007481296598,0.8735690773067233
5,-0.029878952336007774,0.44278496145981633
6,-0.028385061870804716,0.80568660864094
7,-0.08723253588516672,0.8441345029239771
8,-0.044511677534083784,0.8105946123954452
9,-0.07040005254860689,0.8637534594499915
10,-0.022476920631557123,0.35104651902088535
11,-0.09061262151022566,1.1328083832335316
12,-0.1761113133697804,1.5253570452286254
13,-0.0910521653275221,0.8345021789459354
14,-0.035127341772150614,0.39531139240505914
15,-0.05736451271186323,1.1986657838982993
16,-0.04101401290103497,0.7892337039551864
17,-0.05357277386290782,0.6741085842408738
18,-0.11743433823529362,1.4545763480392169
19,-0.06801149128469972,0.9485143820385953
20,-0.1575019212919982,1.7746411731947251
21,-0.0690709677419347,0.9057586618876938
22,-0.2564578595317719,2.679814567075436
23,-0.0813530832143324,1.0328121511099642
24,-0.07455834522111196,1.1158817562212682
25,-0.050015299049748184,0.6601659027389644
26,-0.2735769230769216,2.14123789173789
27,-0.06211335290384068,0.9683312440495151
28,-0.1295902904564315,1.4877975103734489
29,-0.06191454934093316,0.443683078019243
30,-0.053359044684129,0.4922191063174129
31,-0.015240627177700044,0.6270702284165711
32,-0.05487931512386687,0.8463746607380115
33,-0.04859987438062593,0.847517830972152
34,-0.04591093749999983,0.7635298032407425
35,-0.06802576469009963,0.9113767440300605
36,-0.07253969151670898,0.9225571836618104
37,-0.046320544480808044,0.7296869979172838
38,-0.12979241811846737,1.4816491986062812
39,-0.13933758296806323,1.577673137132113
40,-0.03319528385570733,0.6570900354819736
41,-0.13351428843589272,1.2921946084968639
42,-0.13780164271047146,1.5473828428017302
43,-0.05267314131951289,0.56660633844927
44,-0.3109640530217913,3.0388133003819275
45,-0.08206790335357726,0.9002687483496166
46,-0.07441846530612213,0.9709312653061262
47,-0.08949506538131087,1.0624264579555238
48,-0.049256722689075265,0.5644332399626555
49,-0.07286196958039831,0.8187057761732832
50,-0.08674579737471898,1.0938893320762983
51,-0.12070015209125459,1.1772171102661662
52,-0.05051390374331609,0.5878161021984656
53,-0.10726510580575098,1.343513374932177
54,0.0020989880304672346,0.5164071273123039
55,-0.04945808839860776,0.7377115569704611
56,-0.08893068194157891,1.2566453197958571
57,-0.09658396220980382,1.3039554697851221
58,-0.028303873288145993,0.8261635080924188
59,-0.04799912880562124,0.4654255737705044
60,-0.06803440310938406,1.0507293725708027
61,-0.12246771255060766,1.3234227395411673
62,-0.016969683915781186,0.32965435356199696
63,-0.0337001673640163,0.4549518363551838
64,-0.11246197566321527,1.444022976343439
65,-0.06632791116446685,0.7572269907963356
66,-0.15124461864406646,1.9096353813559266
67,-0.07801556889102165,1.147082477196351
68,-0.1537032088598598,1.5221533437455612
69,-0.107449757113116,1.3257174415914963
70,-0.09990312391530722,0.8363333911836244
71,-0.11811057477838036,1.2017994280812077
72,-0.10342649846871761,1.513684555928248
73,-0.035140317063544514,0.4781725759768529
74,-0.1063194342808891,1.0901908246552234
75,-0.06254750017579606,0.663975669784127
76,-0.04888954769831247,0.5440626793709171
77,-0.06877366996775598,0.8182437816674322
78,-0.10622374206155298,1.2301734245236933
79,-0.05755733919222139,0.6435021503365799
80,-0.09756826299775054,1.364230387617409
81,-0.05802666882696053,0.7327791639663059
82,-0.031178034646061097,0.5345015578265175
83,-0.09183402985074636,1.1167942509673883
84,-0.15218989689245171,1.8162955749677707
85,-0.11765800637567377,1.590977623835212
86,-0.15571256067961042,1.6612010517799307
87,-0.1156634537620139,1.5327962877030106
88,-0.06772806981413729,1.0008054625958906
89,-0.0920871247829328,0.9936735301414128
90,-0.07775038764497966,0.8749210134590385
91,-0.0846314410480347,1.0645233705321049
92,-0.09383047001620887,1.3047941653160575
93,-0.06688355297838648,0.6724654425115697
94,-0.08641424783591914,0.8678272245184395
95,-0.10676164851393775,1.1962844286505523
96,-0.021471159818441842,0.11426519947444046
97,-0.07797781779174014,1.0420190023752998
98,-0.05534008313073441,0.9194491412438236
99,-0.12436320000000017,1.6155392592592634
100,-0.02263228251593785,0.7113045529842904
101,-0.06217772637144729,1.2145771829331005
102,-0.010617778394120404,0.6357387324920314
103,-0.11706566356354173,1.1861279497726795
104,-0.10031417690417697,0.7515119164619191
