fused_decision_id,regime,feasible_action,wait_minutes,wait_probability,decision_time_utc,current_speed_mph,future_attempt_time_utc,future_state_status,track_observation_time_utc,track_observation_age_minutes,current_track_temp_c,track_dynamics_training_years,future_track_temp_mean_c,future_track_temp_sd_c,current_air_temp_c,future_air_temp_c,current_solar_radiation_wm2,future_solar_radiation_wm2,current_solar_elevation_deg,future_solar_elevation_deg,current_solar_azimuth_deg,future_solar_azimuth_deg,current_wind_speed_ms,future_wind_speed_ms,current_relative_humidity_pct,future_relative_humidity_pct,current_dewpoint_c,future_dewpoint_c,current_cloud_cover_fraction,future_cloud_cover_fraction,selected_hrrr_cycle_utc,forecast_time_method,hrrr_availability_lag_minutes
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,30,0.25,2020-08-15T17:19:05+00:00,229.154,2020-08-15T17:49:05+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:15:00+00:00,4.083333333,50.55555556,2021|2022|2023|2024,51.55327561,1.650138026,29.20139402,29.79717344,904.4527778,911.4527778,63.27283219,64.11809886,163.3662861,179.7313177,0.6436382784,0.5913359183,53.02461508,50.35945076,18.63128196,18.3619033,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,45,0.25,2020-08-15T17:19:05+00:00,229.154,2020-08-15T18:04:05+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:15:00+00:00,4.083333333,50.55555556,2021|2022|2023|2024,51.70865225,2.020998084,29.20139402,30.09506315,904.4527778,914.9527778,63.27283219,63.9193893,163.3662861,188.0349863,0.6436382784,0.5651847382,53.02461508,49.02686861,18.63128196,18.22721397,0,0,2020-08-15T15:00:00+00:00,SHORT_LINEAR_EXTRAPOLATION_MAX_60MIN,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,STOP,0,1,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:27:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,46.66666667,0.3012726066,27.822086,27.822086,850.6098611,850.6098611,58.47617261,58.47617261,139.3585447,139.3585447,0.90419905,0.90419905,60.21266954,60.21266954,19.3634235,19.3634235,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,5,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:32:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,47.27596373,0.6736660281,27.822086,27.94953249,850.6098611,857.2681944,58.47617261,59.08794691,139.3585447,141.3805189,0.90419905,0.8929010876,60.21266954,59.51612459,19.3634235,19.29562361,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,15,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:42:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,47.63030981,1.166823788,27.822086,28.20442547,850.6098611,870.5848611,58.47617261,60.22905154,139.3585447,145.621833,0.90419905,0.8703051628,60.21266954,58.12303467,19.3634235,19.16002384,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,30,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:57:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,48.11161729,1.650138026,27.822086,28.58676495,850.6098611,890.5598611,58.47617261,61.70927858,139.3585447,152.480178,0.90419905,0.8364112756,60.21266954,56.03339979,19.3634235,18.95662418,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,45,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T17:12:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,48.53174735,2.020998084,27.822086,28.96910443,850.6098611,910.5348611,58.47617261,62.87063602,139.3585447,159.905321,0.90419905,0.8025173884,60.21266954,53.94376492,19.3634235,18.75322452,0,0,2020-08-15T14:00:00+00:00,SHORT_LINEAR_EXTRAPOLATION_MAX_60MIN,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,5,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:32:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,47.27596373,0.6736660281,27.822086,27.94953249,850.6098611,857.2681944,58.47617261,59.08794691,139.3585447,141.3805189,0.90419905,0.8929010876,60.21266954,59.51612459,19.3634235,19.29562361,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,15,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:42:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,47.63030981,1.166823788,27.822086,28.20442547,850.6098611,870.5848611,58.47617261,60.22905154,139.3585447,145.621833,0.90419905,0.8703051628,60.21266954,58.12303467,19.3634235,19.16002384,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,30,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T16:57:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,48.11161729,1.650138026,27.822086,28.58676495,850.6098611,890.5598611,58.47617261,61.70927858,139.3585447,152.480178,0.90419905,0.8364112756,60.21266954,56.03339979,19.3634235,18.95662418,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,45,0.25,2020-08-15T16:27:25+00:00,229.811,2020-08-15T17:12:25+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T16:15:00+00:00,12.41666667,46.66666667,2021|2022|2023|2024,48.53174735,2.020998084,27.822086,28.96910443,850.6098611,910.5348611,58.47617261,62.87063602,139.3585447,159.905321,0.90419905,0.8025173884,60.21266954,53.94376492,19.3634235,18.75322452,0,0,2020-08-15T14:00:00+00:00,SHORT_LINEAR_EXTRAPOLATION_MAX_60MIN,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,STOP,0,1,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:09:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,50,0.3012726066,29.00313187,29.00313187,902.1233333,902.1233333,62.64361678,62.64361678,158.2182624,158.2182624,0.6610433416,0.6610433416,53.91152254,53.91152254,18.72092519,18.72092519,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
