transition_id,year,model,observed_delta_speed_mph,predicted_delta_speed_mph,error_mph,residual_mph
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,M_PHYSICS_PLUS_FF,0.4,1.374288071,0.9742880708,-0.9742880708
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,M_PHYSICS_PLUS_FF,1.971,4.135587507,2.164587507,-2.164587507
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,M_PHYSICS_PLUS_FF,0.071,0.5798019744,0.5088019744,-0.5088019744
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,M_PHYSICS_PLUS_FF,0.215,1.116512201,0.9015122011,-0.9015122011
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,M_PHYSICS_PLUS_FF,1.484,2.157961616,0.6739616165,-0.6739616165
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,M_PHYSICS_PLUS_FF,0.258,2.139123735,1.881123735,-1.881123735
33a57398-b346-53e3-b5e5-369a3ca71efc__TO__b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020,M_PHYSICS_PLUS_FF,0.102,0.6783183205,0.5763183205,-0.5763183205
c2deab22-d3a0-5601-80f8-4cbf631c8f88__TO__b671a083-ccd6-5511-a882-53e7bf202c19,2021,M_PHYSICS_PLUS_FF,0.611,0.6056093912,-0.005390608752,0.005390608752
4e9e7c88-ddeb-5840-93be-4f539f6eaf04__TO__4085390f-e83a-5315-8def-464aeb920059,2021,M_PHYSICS_PLUS_FF,0.798,0.274159204,-0.523840796,0.523840796
8c31470a-6324-527c-bfc3-fe19d8c1dc4d__TO__09935cc4-f542-569f-b50c-7460e0663860,2021,M_PHYSICS_PLUS_FF,-0.02,0.4399615682,0.4599615682,-0.4599615682
c4c9ba22-d28c-5937-b36c-72fffbbb67b5__TO__2493785c-dc47-5ba6-8d28-5398e7a11983,2021,M_PHYSICS_PLUS_FF,0.022,0.5914501553,0.5694501553,-0.5694501553
407a503c-1695-5af6-9b88-28e9d802c8d1__TO__c10dbae2-ca30-5e09-88ab-298fcf7fa163,2021,M_PHYSICS_PLUS_FF,0.642,0.4044205601,-0.2375794399,0.2375794399
11bd473d-0cf3-56e2-9aa9-fb4487870c59__TO__f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2021,M_PHYSICS_PLUS_FF,-0.154,0.5462296652,0.7002296652,-0.7002296652
6992580a-0371-5eda-b01d-2adaca099ff4__TO__5aa71106-e201-5143-bb9a-21ccf4063a9e,2021,M_PHYSICS_PLUS_FF,0.176,0.6862238815,0.5102238815,-0.5102238815
4bfd7a23-3f35-5bcf-9655-c286d7ee30ed__TO__595096e7-98a7-552c-a5f8-f2f3eeb54d68,2021,M_PHYSICS_PLUS_FF,0.246,0.5318851091,0.2858851091,-0.2858851091
099ab32a-d351-5011-931c-148b9f3d7921__TO__a5d8e516-48e0-58b8-ac13-213c753fc12d,2021,M_PHYSICS_PLUS_FF,-0.927,0.6185172318,1.545517232,-1.545517232
11be8bd4-5c39-5bd2-b24f-b6c87f0d885a__TO__fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2021,M_PHYSICS_PLUS_FF,-0.154,0.5182510545,0.6722510545,-0.6722510545
7d5d82b7-9765-51c9-b149-cb7de00d3905__TO__8ff02437-bce9-5d86-b3c7-906d93963538,2021,M_PHYSICS_PLUS_FF,4.695,0.5055750257,-4.189424974,4.189424974
e9da8645-6367-51bf-8601-3670e9e76c5e__TO__90108456-7f40-5313-a9ff-43273b65d2f0,2021,M_PHYSICS_PLUS_FF,-1.419,0.0419172983,1.460917298,-1.460917298
8f660bff-74bd-551e-9007-95b730f87e7d__TO__adc26df0-920d-5dc7-a952-03b3fb57700a,2021,M_PHYSICS_PLUS_FF,0.222,0.7581018493,0.5361018493,-0.5361018493
b671a083-ccd6-5511-a882-53e7bf202c19__TO__cb6ab391-510a-562a-a1bc-a173959477a0,2021,M_PHYSICS_PLUS_FF,-0.002,0.5950265547,0.5970265547,-0.5970265547
09935cc4-f542-569f-b50c-7460e0663860__TO__8ac7badc-828c-5c70-bbf4-d92f136c2564,2021,M_PHYSICS_PLUS_FF,-0.062,0.4770014962,0.5390014962,-0.5390014962
f7e8b948-2fd0-5183-971b-aaea5c66c226__TO__333cf68d-54d9-5559-ac70-c73c27086892,2023,M_PHYSICS_PLUS_FF,3.462,0.6651608532,-2.796839147,2.796839147
954d29f8-6770-5c41-9322-b23c885935ef__TO__e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,ABLATION_PHYSICS_NO_TRACK,-0.104,2.182625488,2.286625488,-2.286625488
25f997a4-1a33-565b-b2b0-1c30d3a0f19c__TO__33a57398-b346-53e3-b5e5-369a3ca71efc,2020,ABLATION_PHYSICS_NO_TRACK,-0.041,2.124173574,2.165173574,-2.165173574
194c9baa-3297-571e-82bf-ac3ba81e07fc__TO__757828a3-822d-5bd8-b9f0-681a6918b48b,2020,ABLATION_PHYSICS_NO_TRACK,0.311,0.7995668794,0.4885668794,-0.4885668794
518373d9-25de-58cf-8315-f6c215b6f672__TO__25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,ABLATION_PHYSICS_NO_TRACK,0.094,2.013367302,1.919367302,-1.919367302
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,ABLATION_PHYSICS_NO_TRACK,0.4,1.810205397,1.410205397,-1.410205397
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,ABLATION_PHYSICS_NO_TRACK,1.971,1.246005856,-0.7249941441,0.7249941441
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,ABLATION_PHYSICS_NO_TRACK,0.071,1.500195827,1.429195827,-1.429195827
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,ABLATION_PHYSICS_NO_TRACK,0.215,1.41579687,1.20079687,-1.20079687
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,ABLATION_PHYSICS_NO_TRACK,1.484,0.7091183058,-0.7748816942,0.7748816942
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,ABLATION_PHYSICS_NO_TRACK,0.258,1.089401594,0.8314015942,-0.8314015942
33a57398-b346-53e3-b5e5-369a3ca71efc__TO__b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020,ABLATION_PHYSICS_NO_TRACK,0.102,1.404131377,1.302131377,-1.302131377
c2deab22-d3a0-5601-80f8-4cbf631c8f88__TO__b671a083-ccd6-5511-a882-53e7bf202c19,2021,ABLATION_PHYSICS_NO_TRACK,0.611,2.229140168,1.618140168,-1.618140168
4e9e7c88-ddeb-5840-93be-4f539f6eaf04__TO__4085390f-e83a-5315-8def-464aeb920059,2021,ABLATION_PHYSICS_NO_TRACK,0.798,4.339927701,3.541927701,-3.541927701
8c31470a-6324-527c-bfc3-fe19d8c1dc4d__TO__09935cc4-f542-569f-b50c-7460e0663860,2021,ABLATION_PHYSICS_NO_TRACK,-0.02,2.480398234,2.500398234,-2.500398234
c4c9ba22-d28c-5937-b36c-72fffbbb67b5__TO__2493785c-dc47-5ba6-8d28-5398e7a11983,2021,ABLATION_PHYSICS_NO_TRACK,0.022,1.113809653,1.091809653,-1.091809653
407a503c-1695-5af6-9b88-28e9d802c8d1__TO__c10dbae2-ca30-5e09-88ab-298fcf7fa163,2021,ABLATION_PHYSICS_NO_TRACK,0.642,0.7988989851,0.1568989851,-0.1568989851
11bd473d-0cf3-56e2-9aa9-fb4487870c59__TO__f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2021,ABLATION_PHYSICS_NO_TRACK,-0.154,1.601676824,1.755676824,-1.755676824
6992580a-0371-5eda-b01d-2adaca099ff4__TO__5aa71106-e201-5143-bb9a-21ccf4063a9e,2021,ABLATION_PHYSICS_NO_TRACK,0.176,1.45678593,1.28078593,-1.28078593
4bfd7a23-3f35-5bcf-9655-c286d7ee30ed__TO__595096e7-98a7-552c-a5f8-f2f3eeb54d68,2021,ABLATION_PHYSICS_NO_TRACK,0.246,3.152734239,2.906734239,-2.906734239
099ab32a-d351-5011-931c-148b9f3d7921__TO__a5d8e516-48e0-58b8-ac13-213c753fc12d,2021,ABLATION_PHYSICS_NO_TRACK,-0.927,2.306969272,3.233969272,-3.233969272
11be8bd4-5c39-5bd2-b24f-b6c87f0d885a__TO__fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2021,ABLATION_PHYSICS_NO_TRACK,-0.154,2.248014445,2.402014445,-2.402014445
7d5d82b7-9765-51c9-b149-cb7de00d3905__TO__8ff02437-bce9-5d86-b3c7-906d93963538,2021,ABLATION_PHYSICS_NO_TRACK,4.695,0.01321722225,-4.681782778,4.681782778
e9da8645-6367-51bf-8601-3670e9e76c5e__TO__90108456-7f40-5313-a9ff-43273b65d2f0,2021,ABLATION_PHYSICS_NO_TRACK,-1.419,2.198264177,3.617264177,-3.617264177
8f660bff-74bd-551e-9007-95b730f87e7d__TO__adc26df0-920d-5dc7-a952-03b3fb57700a,2021,ABLATION_PHYSICS_NO_TRACK,0.222,0.6999210061,0.4779210061,-0.4779210061
b671a083-ccd6-5511-a882-53e7bf202c19__TO__cb6ab391-510a-562a-a1bc-a173959477a0,2021,ABLATION_PHYSICS_NO_TRACK,-0.002,3.49334823,3.49534823,-3.49534823
09935cc4-f542-569f-b50c-7460e0663860__TO__8ac7badc-828c-5c70-bbf4-d92f136c2564,2021,ABLATION_PHYSICS_NO_TRACK,-0.062,2.7064762,2.7684762,-2.7684762
f7e8b948-2fd0-5183-971b-aaea5c66c226__TO__333cf68d-54d9-5559-ac70-c73c27086892,2023,ABLATION_PHYSICS_NO_TRACK,3.462,0.07125978085,-3.390740219,3.390740219
954d29f8-6770-5c41-9322-b23c885935ef__TO__e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,ABLATION_PHYSICS_NO_SOLAR,-0.104,-1.057170612,-0.9531706121,0.9531706121
25f997a4-1a33-565b-b2b0-1c30d3a0f19c__TO__33a57398-b346-53e3-b5e5-369a3ca71efc,2020,ABLATION_PHYSICS_NO_SOLAR,-0.041,-0.2176393607,-0.1766393607,0.1766393607
194c9baa-3297-571e-82bf-ac3ba81e07fc__TO__757828a3-822d-5bd8-b9f0-681a6918b48b,2020,ABLATION_PHYSICS_NO_SOLAR,0.311,-1.77934065,-2.09034065,2.09034065
518373d9-25de-58cf-8315-f6c215b6f672__TO__25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,ABLATION_PHYSICS_NO_SOLAR,0.094,0.01575458348,-0.07824541652,0.07824541652
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,ABLATION_PHYSICS_NO_SOLAR,0.4,0.4378231158,0.03782311582,-0.03782311582
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,ABLATION_PHYSICS_NO_SOLAR,1.971,-0.4271072441,-2.398107244,2.398107244
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,ABLATION_PHYSICS_NO_SOLAR,0.071,0.934265982,0.863265982,-0.863265982
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,ABLATION_PHYSICS_NO_SOLAR,0.215,1.451734151,1.236734151,-1.236734151
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,ABLATION_PHYSICS_NO_SOLAR,1.484,-0.0802137207,-1.564213721,1.564213721
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,ABLATION_PHYSICS_NO_SOLAR,0.258,0.807885174,0.549885174,-0.549885174
33a57398-b346-53e3-b5e5-369a3ca71efc__TO__b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020,ABLATION_PHYSICS_NO_SOLAR,0.102,1.421572711,1.319572711,-1.319572711
c2deab22-d3a0-5601-80f8-4cbf631c8f88__TO__b671a083-ccd6-5511-a882-53e7bf202c19,2021,ABLATION_PHYSICS_NO_SOLAR,0.611,2.566936149,1.955936149,-1.955936149
4e9e7c88-ddeb-5840-93be-4f539f6eaf04__TO__4085390f-e83a-5315-8def-464aeb920059,2021,ABLATION_PHYSICS_NO_SOLAR,0.798,4.38106715,3.58306715,-3.58306715
8c31470a-6324-527c-bfc3-fe19d8c1dc4d__TO__09935cc4-f542-569f-b50c-7460e0663860,2021,ABLATION_PHYSICS_NO_SOLAR,-0.02,2.505426108,2.525426108,-2.525426108
c4c9ba22-d28c-5937-b36c-72fffbbb67b5__TO__2493785c-dc47-5ba6-8d28-5398e7a11983,2021,ABLATION_PHYSICS_NO_SOLAR,0.022,1.121806602,1.099806602,-1.099806602
407a503c-1695-5af6-9b88-28e9d802c8d1__TO__c10dbae2-ca30-5e09-88ab-298fcf7fa163,2021,ABLATION_PHYSICS_NO_SOLAR,0.642,0.7809835555,0.1389835555,-0.1389835555
11bd473d-0cf3-56e2-9aa9-fb4487870c59__TO__f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2021,ABLATION_PHYSICS_NO_SOLAR,-0.154,1.555131326,1.709131326,-1.709131326
6992580a-0371-5eda-b01d-2adaca099ff4__TO__5aa71106-e201-5143-bb9a-21ccf4063a9e,2021,ABLATION_PHYSICS_NO_SOLAR,0.176,1.392496009,1.216496009,-1.216496009
4bfd7a23-3f35-5bcf-9655-c286d7ee30ed__TO__595096e7-98a7-552c-a5f8-f2f3eeb54d68,2021,ABLATION_PHYSICS_NO_SOLAR,0.246,3.033190522,2.787190522,-2.787190522
099ab32a-d351-5011-931c-148b9f3d7921__TO__a5d8e516-48e0-58b8-ac13-213c753fc12d,2021,ABLATION_PHYSICS_NO_SOLAR,-0.927,2.133230777,3.060230777,-3.060230777
11be8bd4-5c39-5bd2-b24f-b6c87f0d885a__TO__fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2021,ABLATION_PHYSICS_NO_SOLAR,-0.154,2.217410662,2.371410662,-2.371410662
7d5d82b7-9765-51c9-b149-cb7de00d3905__TO__8ff02437-bce9-5d86-b3c7-906d93963538,2021,ABLATION_PHYSICS_NO_SOLAR,4.695,0.02003972593,-4.674960274,4.674960274
e9da8645-6367-51bf-8601-3670e9e76c5e__TO__90108456-7f40-5313-a9ff-43273b65d2f0,2021,ABLATION_PHYSICS_NO_SOLAR,-1.419,2.132400627,3.551400627,-3.551400627
8f660bff-74bd-551e-9007-95b730f87e7d__TO__adc26df0-920d-5dc7-a952-03b3fb57700a,2021,ABLATION_PHYSICS_NO_SOLAR,0.222,0.5457357247,0.3237357247,-0.3237357247
b671a083-ccd6-5511-a882-53e7bf202c19__TO__cb6ab391-510a-562a-a1bc-a173959477a0,2021,ABLATION_PHYSICS_NO_SOLAR,-0.002,3.267373788,3.269373788,-3.269373788
09935cc4-f542-569f-b50c-7460e0663860__TO__8ac7badc-828c-5c70-bbf4-d92f136c2564,2021,ABLATION_PHYSICS_NO_SOLAR,-0.062,2.677227347,2.739227347,-2.739227347
f7e8b948-2fd0-5183-971b-aaea5c66c226__TO__333cf68d-54d9-5559-ac70-c73c27086892,2023,ABLATION_PHYSICS_NO_SOLAR,3.462,0.2598339483,-3.202166052,3.202166052
