target,model,features,nonlinear,n,loyo_mae,loyo_rmse,loyo_bias
speed_residual_vs_same_year_first_run_median_mph,SEQ_ONLY,sequence_fraction,False,70,1.1611728265928642,1.6963034786186448,0.04887037154250231
speed_residual_vs_same_year_first_run_median_mph,TRACK_ONLY,track_temp_c,False,71,1.4166323033324213,1.9046849737474691,0.37555258887516957
speed_residual_vs_same_year_first_run_median_mph,TRACK_NONLINEAR,track_temp_c,True,71,1.46739439096103,1.9777289933258815,0.4436676757863088
speed_residual_vs_same_year_first_run_median_mph,TRACK_PLUS_SOLAR,track_temp_c|shortwave_radiation_wm2,False,71,1.340738651622004,1.7984638716735282,-0.0036498118811716237
speed_residual_vs_same_year_first_run_median_mph,TRACK_PLUS_SOLAR_CLOUD,track_temp_c|shortwave_radiation_wm2|cloud_cover_pct,False,71,1.3387888759344397,1.7972381623186342,0.27939416349384955
lap1_to_lap4_delta_mph,SEQ_ONLY,sequence_fraction,False,70,0.6943866048564152,1.0666998623753887,0.02846535645715983
lap1_to_lap4_delta_mph,TRACK_ONLY,track_temp_c,False,71,0.6352989771635786,1.0141778761017424,0.002373521656654176
lap1_to_lap4_delta_mph,TRACK_NONLINEAR,track_temp_c,True,71,0.6367373861576918,1.0150111790295029,0.009660892874140474
lap1_to_lap4_delta_mph,TRACK_PLUS_SOLAR,track_temp_c|shortwave_radiation_wm2,False,71,0.647672587665553,1.051690042495848,-0.1911689965690289
lap1_to_lap4_delta_mph,TRACK_PLUS_SOLAR_CLOUD,track_temp_c|shortwave_radiation_wm2|cloud_cover_pct,False,71,1.0619845715614329,1.470043083806926,-0.7984630963562981
