year,id,json_path,key,value_preview
2018,74622252638746b2821d6822ae31527a,$.lap,lap,"{'60': [None, 1526742814], '64': [None, 1526744789], '66': [None, 1526756589], '25': [None, 1526755484], '26': [None, 1526757124], '27': [None, 1526756314], '21': [None, 1526743419], '22': [None, 1526745109], '28': [None, 1526742544], '3': [None, 1526743124], '5': [None, 1526753809], '4': [None, 1526755779], '7': [None, 1526743964], '6': [None, 1526757269], '9': [None, 1526743694], '98': [None, 1526756864], '59': [None, 1526755204], '10': [None, 1526744249], '13': [None, 1526754639], '15': [None..."
2019,5250b13f10ce468d85c6ed97731ec2e3,$.service.startTime,startTime,1558207053.814313
2019,5250b13f10ce468d85c6ed97731ec2e3,$.driver,driver,"{'28': ['Ryan Hunter-Reay', ' '], '60': ['Jack Harvey', ' '], '88': ['Colton Herta', ' '], '63': [' '], '66': ['Fernando Alonso'], '81': ['Ben Hanley', ' '], '24': [' '], '25': ['Conor Daly', ' '], '26': ['Zach Veach'], '27': ['Alexander Rossi', ' '], '20': ['Ed Carpenter'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '23': ['Charlie Kimball'], '42': ['Jordan King'], '3': [' '], '2': ['Josef Newgarden'], '5': [' '], '4': ['Matheus Leist'], '7': ['Marcus Ericsson', ' '], '9': ['Scott Dixon..."
2019,5250b13f10ce468d85c6ed97731ec2e3,$.state.cars,cars,"[['63', 'PIT', ' ', '', '5', '', ['0', ''], '', '', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.5439, ''], '227.595', [38.9585, 'sb'], '231.015', '0'], ['98', 'PIT', ' ', '', '9', '', ['0', ''], '0.2356', '0.0072', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.5281, ''], '227.686', [39.1941, ''], '229.626', '0'], ['3', 'PIT', ' ', '', '5', '', ['0', ''], '0.2498', '0.0142', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ..."
2019,5250b13f10ce468d85c6ed97731ec2e3,$.state.session,session,"{'lapsRemain': 0, 'timeRemain': 9145, 'flagState': 'green', 'timeElapsed': 15457}"
2019,5250b13f10ce468d85c6ed97731ec2e3,$.state.session.lapsRemain,lapsRemain,0
2019,5250b13f10ce468d85c6ed97731ec2e3,$.state.session.timeRemain,timeRemain,9145
2019,5250b13f10ce468d85c6ed97731ec2e3,$.state.session.timeElapsed,timeElapsed,15457
2019,5250b13f10ce468d85c6ed97731ec2e3,$.session,session,"{'currentTimestamp': 1558207048.738597, 'flagStats': [[1, 0, 1558207053.732603, None, None]], 'leaderLap': 0}"
2019,5250b13f10ce468d85c6ed97731ec2e3,$.session.currentTimestamp,currentTimestamp,1558207048.738597
