regime_code,year,n_transitions,n_car_clusters,delta_track_ambient_correlation,design_condition_number,delta_track_sd_c,delta_ambient_sd_c,delta_speed_sd_mph
A,2019,10,8,0.9256582303937613,8.852222348173525,6.317356136498309,1.5416830475853205,0.5755499881755641
C,2025,23,19,0.6154862204864217,2.5810430857062405,3.6180050650242213,0.8886605752200809,0.577941084569355
