year,file,json_path,key,normalized_key,value_type,value_preview
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.service.startTime,startTime,starttime,int,1526741675
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.driver,driver,driver,dict,"{'60': ['Jack Harvey'], '64': ['Oriol Servia'], '66': ['JR Hildebrand'], '25': ['Stefan Wilson'], '26': ['Zach Veach'], '27': ['Alexander Rossi'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '28': ['Ryan Hunter-Reay'], '3': ['Helio Castroneves'], '5': ['James Hinchcliffe'], '4': ['Matheus Leist'], '7': ['Jay Howard'], '6': ['Robert Wickens'], '9': ['Scott Dixon'], '98': ['Marco Andretti'], '59': ['Max Chilton'], '10': ['Ed Jones'], '13': ['Danica Patrick'], '15': ['Graham Rahal'], '17': ['Conor Daly'], '19': ['Zachary Claman De Melo'], '18': ['Sebastien Bourdais'], '33': ['James Davison'], '32': ['Kyle Kaiser']}"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.cars,cars,cars,list,"[['3', 'PIT', 'Helio Castroneves', '4', ['P', 'tyre-medium'], ['0', ''], '', '', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], [39.3444, ''], '228.749', [39.2828, 'sb'], '229.108', '0'], ['22', 'PIT', 'Simon Pagenaud', '4', ['P', 'tyre-medium'], ['0', ''], '0.1149', '0.1149', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], [39.4477, ''], '228.150', [39.3977, ''], '228.440', '0'], ['18', 'PIT', 'Sebastien Bourdais', '4', ['P', 'tyre-medium'], ['0', ''], '0.1328', '0.0179', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], [39.4941, ''], '227.882', [39.4156, ''], '228.336', '0'], ['21', 'PIT', 'Spencer Pigot', '4', ['P', 'tyre-medium'], ['0', ''], '0.1411', '0.0083', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], [39.5394, ''], '227.621', [39.4239, ''], '228.288', '0'], ['13', 'PIT'..."
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.session,session,session,dict,"{'lapsRemain': 4, 'timeRemain': 6204, 'flagState': 'caution', 'timeElapsed': 18392}"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.session.lapsRemain,lapsRemain,lapsremain,int,4
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.session.timeRemain,timeRemain,timeremain,int,6204
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.session.timeElapsed,timeElapsed,timeelapsed,int,18392
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.session,session,session,dict,"{'currentTimestamp': 1526766029, 'flagStats': [[0, 0, 1526741675, 0, 1526742009], [9, 0, 1526742009, 0, 1526742159], [1, 0, 1526742159, 4.0, 1526742294], [9, 4.0, 1526742294, 4.0, 1526742429], [1, 4.0, 1526742429, 4.0, 1526742564], [9, 4.0, 1526742564, 4.0, 1526742694], [1, 4.0, 1526742694, 4.0, 1526742829], [9, 4.0, 1526742829, 4.0, 1526743009], [1, 4.0, 1526743009, 4.0, 1526743144], [9, 4.0, 1526743144, 4.0, 1526743304], [1, 4.0, 1526743304, 4.0, 1526743439], [9, 4.0, 1526743439, 4.0, 1526743579], [1, 4.0, 1526743579, 4.0, 1526743714], [9, 4.0, 1526743714, 4.0, 1526743849], [1, 4.0, 1526743849, 4.0, 1526743984], [9, 4.0, 1526743984, 4.0, 1526744134], [1, 4.0, 1526744134, 4.0, 1526744264], [9, 4.0, 1526744264, 4.0, 1526744399], [1, 4.0, 1526744399, 4.0, 1526744534], [9, 4.0, 1526744534, 4..."
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.session.currentTimestamp,currentTimestamp,currenttimestamp,int,1526766029
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.session.leaderLap,leaderLap,leaderlap,float,4.0
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap,lap,lap,dict,"{'60': [None, 1526742814], '64': [None, 1526744789], '66': [None, 1526756589], '25': [None, 1526755484], '26': [None, 1526757124], '27': [None, 1526756314], '21': [None, 1526743419], '22': [None, 1526745109], '28': [None, 1526742544], '3': [None, 1526743124], '5': [None, 1526753809], '4': [None, 1526755779], '7': [None, 1526743964], '6': [None, 1526757269], '9': [None, 1526743694], '98': [None, 1526756864], '59': [None, 1526755204], '10': [None, 1526744249], '13': [None, 1526754639], '15': [None, 1526744514], '17': [None, 1526756044], '19': [None, 1526742279], '18': [None, 1526754359], '33': [None, 1526754074], '32': [None, 1526754909]}"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint,stint,stint,dict,"{'60': [[1, 1526742694, 4.0, 1526742844, False, 0, 39.9438, 0, 39.9739, [[39.9438, 1], [39.9739, 1], [40.0065, 1]]]], '64': [[1, 1526744699, 3.0, 1526754104, False, 0, 45.851, 0, None, [[45.851, 1], [46.2987, 1]]]], '66': [[1, 1526756374, 4.0, 1526756619, False, 0, 39.6848, 0, 39.71183333333334, [[40.926, 1], [39.6965, 1], [39.6848, 1], [39.7542, 1], [39.8054, 1]]]], '25': [[1, 1526755269, 4.0, 1526755514, False, 0, 39.7846, 1, 40.1014, [[40.0926, 0], [41.2732, 9], [39.7846, 1], [39.7846, 1], [39.8047, 1], [39.8599, 1], [39.9069, 1]]]], '26': [[1, 1526756909, 4.0, 1526757164, False, 0, 39.7337, 0, 39.82396666666667, [[40.6724, 1], [39.7337, 1], [39.818, 1], [39.9202, 1], [39.9579, 1]]]], '27': [[1, 1526756099, 4.0, 1526756344, False, 0, 39.5854, 1, 39.909, [[40.6099, 0], [40.5862, 9], [39...."
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.startTime,startTime,starttime,float,1558212583.821156
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver,driver,driver,dict,"{'28': ['Ryan Hunter-Reay'], '60': ['Jack Harvey'], '88': ['Colton Herta'], '63': ['Ed Jones'], '66': ['Fernando Alonso'], '81': ['Ben Hanley'], '24': ['Sage Karam'], '25': [' '], '26': ['Zach Veach'], '27': ['Alexander Rossi'], '20': ['Ed Carpenter'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '23': ['Charlie Kimball'], '42': ['Jordan King'], '3': ['Helio Castroneves'], '2': ['Josef Newgarden'], '5': ['James Hinchcliffe'], '4': ['Matheus Leist'], '7': ['Marcus Ericsson'], '5T': ['James Hinchcliffe'], '9': ['Scott Dixon'], '77': ['Oriol Servia'], '98': ['Marco Andretti'], '15': ['Graham Rahal'], '32': ['Kyle Kaiser'], '10': ['Felix Rosenqvist'], '39': ['Pippa Mann'], '12': ['Will Power'], '59': [' '], '14': ['Tony Kanaan'], '19': [' '], '18': ['Sebastien Bourdais'], '31': [' '], '3..."
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.cars,cars,cars,list,"[['25', 'PIT', ' ', '', '11', '', ['0', ''], '0.3041', '0.0036', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.4143, ''], '228.344', [39.2626, 'sb'], '229.226', '0'], ['48', 'PIT', ' ', '', '11', '', ['0', ''], '0.3066', '0.0025', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.7751, ''], '226.272', [39.2651, ''], '229.211', '0'], ['19', 'PIT', ' ', '', '5', '', ['0', ''], '0.4645', '0.0020', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.622, ''], '227.147', [39.423, ''], '228.293', '0'], ['31', 'PIT', ' ', '', '11', '', ['0', ''], '0.5766', '0.0390', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.7585, ''], '226.367', [39.5351, ''], '227.646', '0'], ['59', 'PIT', ' ', '', '11', '',..."
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session,session,session,dict,"{'timeRemain': 3616, 'flagState': 'caution', 'timeElapsed': 20983}"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session.timeRemain,timeRemain,timeremain,int,3616
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session.timeElapsed,timeElapsed,timeelapsed,int,20983
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session,session,session,dict,"{'currentTimestamp': 1558212578.960259, 'flagStats': [[9, 0, 1558212583.737262, None, None]], 'leaderLap': 0}"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session.currentTimestamp,currentTimestamp,currenttimestamp,float,1558212578.960259
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session.leaderLap,leaderLap,leaderlap,int,0
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap,lap,lap,dict,"{'77': [[1, 1558199513.870232, 5.0, 1558199723.87043, True, 0, 39.3764, 1, 39.63096, [[46.1755, 0], [40.2539, 9], [39.3764, 1], [39.4116, 1], [39.5047, 1], [39.6082, 1]]], 1558199728.873499], '10': [[1, 1558208258.954807, 0.0, 1558208503.960087, True, 0, 39.4707, 3, 39.657183333333336, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]], 1558208508.963711], '28': [[1, 1558202578.860761, 5.0, 1558202793.853216, True, 0, 39.3605, 0, 39.53979999999999, [[39.3605, 1], [39.4598, 1], [39.5725, 1], [39.5871, 1]]], 1558202798.851762], '26': [None, 1558212313.958337], '15': [[1, 1558209443.960129, 0.0, 1558209683.955886, True, 0, 39.3793, 2, 39.851800000000004, [[39.6605, 9], [41.6076, 9], [39.6605, 1], [39.3793, 1], [39.3793, 1], [39.6078, 1], [39...."
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint,stint,stint,dict,"{'77': [], '10': [[1, 1558208258.954807, 0.0, 1558212573.956534, False, 0, 39.4707, 3, 39.6518, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]]], '28': [], '26': [[1, 1558210008.96037, 11.0, 1558212573.956534, False, 0, 39.4838, 40, 39.67393372093022, [[6273.6338, 9], [39.6825, 9], [39.6825, 9], [39.6825, 1], [39.4838, 1], [39.649, 1], [39.646, 1], [39.6825, 1], [39.6825, 1], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39..."
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.service.startTime,startTime,starttime,int,1558212588
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.driver,driver,driver,dict,"{'28': ['Ryan Hunter-Reay'], '60': ['Jack Harvey'], '88': ['Colton Herta'], '63': ['Ed Jones'], '66': ['Fernando Alonso'], '81': ['Ben Hanley'], '24': ['Sage Karam'], '25': ['Conor Daly'], '26': ['Zach Veach'], '27': ['Alexander Rossi'], '20': ['Ed Carpenter'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '23': ['Charlie Kimball'], '42': ['Jordan King'], '3': ['Helio Castroneves'], '2': ['Josef Newgarden'], '5': ['James Hinchcliffe'], '4': ['Matheus Leist'], '7': ['Marcus Ericsson'], '5T': ['James Hinchcliffe'], '9': ['Scott Dixon'], '77': ['Oriol Servia'], '98': ['Marco Andretti'], '15': ['Graham Rahal'], '32': ['Kyle Kaiser'], '10': ['Felix Rosenqvist'], '39': ['Pippa Mann'], '12': ['Will Power'], '59': ['Max Chilton'], '14': ['Tony Kanaan'], '19': ['Santino Ferrucci'], '18': ['Seb..."
