year,file,json_path,depth,key_count,keys
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$,0,7,service | driver | state | session | static | lap | stint
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.service,1,13,description | colSpec | trackDataSpec | serviceClass | uuid | source | version | hasAnalysis | startTime | duration | hidden | pollInterval | name
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.driver,1,25,60 | 64 | 66 | 25 | 26 | 27 | 21 | 22 | 28 | 3 | 5 | 4 | 7 | 6 | 9 | 98 | 59 | 10 | 13 | 15 | 17 | 19 | 18 | 33 | 32
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state,1,4,cars | session | messages | highlight
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.state.session,2,4,lapsRemain | timeRemain | flagState | timeElapsed
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.session,1,3,currentTimestamp | flagStats | leaderLap
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.static,1,25,60 | 64 | 66 | 25 | 26 | 27 | 21 | 22 | 28 | 3 | 5 | 4 | 7 | 6 | 9 | 98 | 59 | 10 | 13 | 15 | 17 | 19 | 18 | 33 | 32
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap,1,25,60 | 64 | 66 | 25 | 26 | 27 | 21 | 22 | 28 | 3 | 5 | 4 | 7 | 6 | 9 | 98 | 59 | 10 | 13 | 15 | 17 | 19 | 18 | 33 | 32
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint,1,25,60 | 64 | 66 | 25 | 26 | 27 | 21 | 22 | 28 | 3 | 5 | 4 | 7 | 6 | 9 | 98 | 59 | 10 | 13 | 15 | 17 | 19 | 18 | 33 | 32
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$,0,7,service | driver | state | session | static | lap | stint
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service,1,12,description | colSpec | serviceClass | uuid | name | source | version | hasAnalysis | startTime | hidden | pollInterval | trackDataSpec
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver,1,37,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 5T | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state,1,4,cars | session | messages | highlight
