year,file,json_path,depth,value_type
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.27,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.21,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.22,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.28,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.3,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.5,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.4,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.7,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.6,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.9,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.98,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.59,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.10,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.13,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.15,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.17,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.19,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.18,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.33,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.lap.32,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint,1,dict
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.60,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.64,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.66,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.25,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.26,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.27,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.21,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.22,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.28,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.3,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.5,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.4,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.7,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.6,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.9,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.98,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.59,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.10,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.13,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.15,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.17,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.19,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.18,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.33,2,list
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,$.stint.32,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.description,2,str
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.colSpec,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.serviceClass,2,str
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.uuid,2,str
