case_id,driver_name,car_number,actual_wait_min,before_speed_mph,after_speed_mph,actual_delta_speed_mph,current_track_c,current_ambient_c,model_expected_delta_speed_mph,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,p_improve,absolute_error_mph,direction_correct,inside_80,inside_90
2025_23_Andretti_Marco,"Andretti, Marco",98,39.023225,229.475,229.859,0.384,40.0976848765,22.7777777778,-0.0499843050,-0.7906360421,0.6835756316,-1.2696552918,1.1464162969,0.45735,0.4339843050,False,True,True
2025_06_Rossi_Alexander,"Rossi, Alexander",20,81.4826,231.349,231.701,0.352,43.4672061728,21.6666666667,0.0513412846,-0.7133507517,0.8291703987,-1.1952730133,1.3070700814,0.54115,0.3006587154,True,True,True
2025_07_Rossi_Alexander,"Rossi, Alexander",20,90.7968916667,231.701,231.673,-0.028,42.2222222222,22.2222222222,0.0416308805,-0.7152135816,0.8076570576,-1.1880549141,1.2840291328,0.53490,0.0696308805,False,True,True
2025_22_Andretti_Marco,"Andretti, Marco",98,115.2685833333,229.356,229.475,0.119,43.7337833333,22.2222222222,0.0402509000,-0.7385605142,0.8098186902,-1.2028664699,1.2740999680,0.52795,0.0787491000,True,True,True
