year,file,page,line_no,section,section_length_miles,section_rank,car_number,driver_name,cet,session_elapsed,session_elapsed_s,reported_section_value,lap_number,raw_line,driver_key,car_key,entrant_key,elapsed_order_within_year
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,28,Lap,2.5,21,23,"Kimball, Charlie",D/C/F,00:39.7501,39.7501,226.415,0,"21 23 Kimball, Charlie D/C/F 00:39.7501 226.415 0",kimballcharlie,23,kimballcharlie__23,770
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,29,Lap,2.5,22,30,"Sato, Takuma",D/H/F,00:39.7577,39.7577,226.371,0,"22 30 Sato, Takuma D/H/F 00:39.7577 226.371 0",satotakuma,30,satotakuma__30,771
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,30,Lap,2.5,23,7,"Howard, Jay",D/H/F,00:39.7591,39.7591,226.363,0,"23 7 Howard, Jay D/H/F 00:39.7591 226.363 0",howardjay,7,howardjay__7,772
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,31,Lap,2.5,24,24,"Karam, Sage",D/C/F,00:39.7629,39.7629,226.342,1,"24 24 Karam, Sage D/C/F 00:39.7629 226.342 1",karamsage,24,karamsage__24,773
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,32,Lap,2.5,25,25,"Wilson, Stefan",D/H/F,00:39.7846,39.7846,226.218,0,"25 25 Wilson, Stefan D/H/F 00:39.7846 226.218 0",wilsonstefan,25,wilsonstefan__25,774
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,33,Lap,2.5,26,88,"Chaves, Gabby",D/C/F,00:39.7941,39.7941,226.164,0,"26 88 Chaves, Gabby D/C/F 00:39.7941 226.164 0",chavesgabby,88,chavesgabby__88,775
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,34,Lap,2.5,27,60,"Harvey, Jack",D/H/F,00:39.7996,39.7996,226.133,5,"27 60 Harvey, Jack D/H/F 00:39.7996 226.133 5",harveyjack,60,harveyjack__60,776
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,35,Lap,2.5,28,19,"Claman De Melo, Zachary (R)",D/H/F,00:39.8091,39.8091,226.079,0,"28 19 Claman De Melo, Zachary (R) D/H/F 00:39.8091 226.079 0",clamandemelozachary,19,clamandemelozachary__19,777
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,36,Lap,2.5,29,59,"Chilton, Max",D/C/F,00:39.8524,39.8524,225.833,1,"29 59 Chilton, Max D/C/F 00:39.8524 225.833 1",chiltonmax,59,chiltonmax__59,778
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,37,Lap,2.5,30,33,"Davison, James",D/C/F,00:39.9033,39.9033,225.545,0,"30 33 Davison, James D/C/F 00:39.9033 225.545 0",davisonjames,33,davisonjames__33,779
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,38,Lap,2.5,31,15,"Rahal, Graham",D/H/F,00:39.9082,39.9082,225.518,3,"31 15 Rahal, Graham D/H/F 00:39.9082 225.518 3",rahalgraham,15,rahalgraham__15,780
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,39,Lap,2.5,32,64,"Servia, Oriol",D/H/F,00:39.9216,39.9216,225.442,8,"32 64 Servia, Oriol D/H/F 00:39.9216 225.442 8",serviaoriol,64,serviaoriol__64,781
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,40,Lap,2.5,33,5,"Hinchcliffe, James",D/H/F,00:39.9378,39.9378,225.35,0,"33 5 Hinchcliffe, James D/H/F 00:39.9378 225.350 0",hinchcliffejames,5,hinchcliffejames__5,782
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,41,Lap,2.5,34,17,"Daly, Conor",D/H/F,00:39.9498,39.9498,225.283,5,"34 17 Daly, Conor D/H/F 00:39.9498 225.283 5",dalyconor,17,dalyconor__17,783
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,42,Lap,2.5,35,63,"Mann, Pippa",D/H/F,00:40.0303,40.0303,224.83,0,"35 63 Mann, Pippa D/H/F 00:40.0303 224.830 0",mannpippa,63,mannpippa__63,784
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,7,SF to T1,0.187121,1,20,"Carpenter, Ed",D/C/F,00:02.8962,2.8962,232.593,0,"1 20 Carpenter, Ed D/C/F 00:02.8962 232.593 0",carpentered,20,carpentered__20,150
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,8,SF to T1,0.187121,2,18,"Bourdais, Sebastien",D/H/F,00:02.8975,2.8975,232.489,1,"2 18 Bourdais, Sebastien D/H/F 00:02.8975 232.489 1",bourdaissebastien,18,bourdaissebastien__18,151
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,9,SF to T1,0.187121,3,13,"Patrick, Danica",D/C/F,00:02.9023,2.9023,232.104,0,"3 13 Patrick, Danica D/C/F 00:02.9023 232.104 0",patrickdanica,13,patrickdanica__13,152
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,10,SF to T1,0.187121,4,1,"Newgarden, Josef",D/C/F,00:02.9032,2.9032,232.032,0,"4 1 Newgarden, Josef D/C/F 00:02.9032 232.032 0",newgardenjosef,1,newgardenjosef__1,153
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,11,SF to T1,0.187121,5,12,"Power, Will",D/C/F,00:02.9039,2.9039,231.976,3,"5 12 Power, Will D/C/F 00:02.9039 231.976 3",powerwill,12,powerwill__12,154
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,12,SF to T1,0.187121,6,4,"Leist, Matheus (R)",D/C/F,00:02.9046,2.9046,231.921,0,"6 4 Leist, Matheus (R) D/C/F 00:02.9046 231.921 0",leistmatheus,4,leistmatheus__4,155
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,13,SF to T1,0.187121,7,3,"Castroneves, Helio",D/C/F,00:02.9050,2.905,231.889,3,"7 3 Castroneves, Helio D/C/F 00:02.9050 231.889 3",castroneveshelio,3,castroneveshelio__3,156
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,14,SF to T1,0.187121,8,27,"Rossi, Alexander",D/H/F,00:02.9075,2.9075,231.689,0,"8 27 Rossi, Alexander D/H/F 00:02.9075 231.689 0",rossialexander,27,rossialexander__27,157
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,15,SF to T1,0.187121,9,9,"Dixon, Scott",D/H/F,00:02.9082,2.9082,231.633,6,"9 9 Dixon, Scott D/H/F 00:02.9082 231.633 6",dixonscott,9,dixonscott__9,158
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,16,SF to T1,0.187121,10,98,"Andretti, Marco",D/H/F,00:02.9082,2.9082,231.633,3,"10 98 Andretti, Marco D/H/F 00:02.9082 231.633 3",andrettimarco,98,andrettimarco__98,158
