year,entrant_key,driver_name,car_number,session_elapsed,session_elapsed_s,lap_number,section_count,page_count
2018,castroneveshelio__3,"Castroneves, Helio",3,00:00.3445,0.3445,2,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.3466,0.3466,3,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:00.3470,0.347,2,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.3482,0.3482,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:00.3494,0.3494,2,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.3496,0.3496,1,1,1
2018,powerwill__12,"Power, Will",12,00:00.3498,0.3498,2,1,1
2018,howardjay__7,"Howard, Jay",7,00:00.3500,0.35,3,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:00.3501,0.3501,0,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.3503,0.3503,2,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.3504,0.3504,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:00.3505,0.3505,2,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:00.3505,0.3505,8,1,1
2018,powerwill__12,"Power, Will",12,00:00.3506,0.3506,3,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:00.3511,0.3511,3,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.3511,0.3511,0,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.3511,0.3511,2,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:00.3511,0.3511,2,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.3513,0.3513,0,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.3513,0.3513,3,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:00.3513,0.3513,3,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:00.3515,0.3515,0,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:00.3515,0.3515,1,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.3515,0.3515,3,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.3517,0.3517,0,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.3517,0.3517,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.3519,0.3519,3,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:00.3521,0.3521,1,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:00.3524,0.3524,0,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.3525,0.3525,7,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:00.3525,0.3525,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:00.3525,0.3525,2,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.3525,0.3525,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.3525,0.3525,3,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:00.3526,0.3526,2,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:00.3526,0.3526,0,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:00.3526,0.3526,0,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.3528,0.3528,2,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.3528,0.3528,3,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:00.3528,0.3528,5,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:00.3528,0.3528,0,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:00.3529,0.3529,0,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:00.3530,0.353,1,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:00.3531,0.3531,2,1,1
2018,veachzach__26,"Veach, Zach",26,00:00.3532,0.3532,1,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:00.3532,0.3532,2,1,1
2018,dalyconor__17,"Daly, Conor",17,00:00.3534,0.3534,5,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:00.3534,0.3534,0,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:00.3534,0.3534,0,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.3535,0.3535,2,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:00.3535,0.3535,3,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.3537,0.3537,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:00.3537,0.3537,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:00.3537,0.3537,0,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.3538,0.3538,1,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:00.3538,0.3538,0,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.3538,0.3538,2,1,1
2018,powerwill__12,"Power, Will",12,00:00.3539,0.3539,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:00.3541,0.3541,2,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:00.3541,0.3541,0,1,1
