path,file_type,status,rows_sampled,total_columns,filename_relevant,year_columns,attempt_like_columns,time_like_columns,weather_like_columns,has_2018,has_2019,has_2025,has_2026,hits_2018,hits_2019,hits_2025,hits_2026
r5/output/r5c_same_car_physics_transitions.csv,csv,OK,27,55,False,year|before_time_utc|after_time_utc,car_number|driver_name|before_attempt_id|after_attempt_id|before_attempt_index|after_attempt_index|elapsed_minutes|speed_before|speed_after|delta_speed_mph|wind_speed_ms_before|wind_speed_ms_after|delta_wind_speed_ms,before_time_utc|after_time_utc,before_attempt_id|after_attempt_id|before_attempt_index|after_attempt_index|track_temp_c_before|track_temp_c_after|delta_track_temp_c|air_temp_c_before|air_temp_c_after|delta_air_temp_c|relative_humidity_pct_before|relative_humidity_pct_after|delta_relative_humidity_pct|wind_speed_ms_before|wind_speed_ms_after|delta_wind_speed_ms|wind_direction_deg_before|wind_direction_deg_after|delta_wind_direction_deg|gust_ms_before|gust_ms_after|delta_gust_ms|pressure_hpa_before|pressure_hpa_after|delta_pressure_hpa|cloud_cover_fraction_before|cloud_cover_fraction_after|delta_cloud_cover_fraction|delta_track_temp_centered_sq_c2,False,False,False,False,0,0,0,0
r5/output/r5b_solar_physics_features.csv,csv,OK,110,29,False,year|performance_time_utc|track_observation_time_utc|hrrr_selected_issue_time_utc,attempt_id|car_number|driver_name|car_attempt_index|four_lap_average_speed_mph|wind_speed_ms,performance_time_utc|track_observation_time_utc|hrrr_selected_issue_time_utc,attempt_id|car_attempt_index|track_temperature_c|air_temperature_c|relative_humidity_pct|wind_speed_ms|wind_direction_deg|gust_ms|pressure_hpa|cloud_cover_pct|cloud_cover_fraction,False,False,False,False,0,0,0,0
r5/output/r5f_future_physical_state_interface.csv,csv,OK,500,34,False,decision_time_utc|future_attempt_time_utc|track_observation_time_utc|track_dynamics_training_years|forecast_time_method,current_speed_mph|future_attempt_time_utc|current_wind_speed_ms|future_wind_speed_ms,decision_time_utc|future_attempt_time_utc|track_observation_time_utc|selected_hrrr_cycle_utc|forecast_time_method,future_attempt_time_utc|current_track_temp_c|future_track_temp_mean_c|future_track_temp_sd_c|current_air_temp_c|future_air_temp_c|current_wind_speed_ms|future_wind_speed_ms|current_relative_humidity_pct|future_relative_humidity_pct|current_cloud_cover_fraction|future_cloud_cover_fraction,False,False,False,False,0,0,0,0
r5/output/r5_final_thermal_response_bootstrap_v1.csv,csv,OK,5000,3,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5b_solar_geometry_qa.csv,csv,OK,4,4,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5_manual_fade_physics_predictions_v1.csv,csv,OK,110,7,False,year,driver_name|car_number,,,False,False,False,False,0,0,0,0
r5/output/r5_manual_same_car_repeat_physics_v1.csv,csv,OK,27,42,False,year|before_time_utc|after_time_utc,car_number|driver_name|before_attempt_id|after_attempt_id|before_attempt_index|after_attempt_index|elapsed_minutes|before_four_lap_average_speed_mph|after_four_lap_average_speed_mph|delta_four_lap_average_speed_mph|before_late_run_fade_mph|after_late_run_fade_mph|delta_late_run_fade_mph|before_wind_speed_10m_ms|after_wind_speed_10m_ms|delta_wind_speed_10m_ms,before_time_utc|after_time_utc,before_attempt_id|after_attempt_id|before_attempt_index|after_attempt_index|before_track_temp_c|after_track_temp_c|delta_track_temp_c|before_track_temp_slope_c_per_min|after_track_temp_slope_c_per_min|before_air_temp_c|after_air_temp_c|delta_air_temp_c|before_shortwave_radiation_wm2|after_shortwave_radiation_wm2|delta_shortwave_radiation_wm2|before_cloud_cover_pct|after_cloud_cover_pct|delta_cloud_cover_pct|before_wind_speed_10m_ms|after_wind_speed_10m_ms|delta_wind_speed_10m_ms|before_relative_humidity_pct|after_relative_humidity_pct|delta_relative_humidity_pct,False,False,False,False,0,0,0,0
r5/output/r5_final_thermal_response_parameters_v1.csv,csv,OK,1,16,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5a_physics_feature_audit.csv,csv,OK,17,9,False,decision_time_semantics,,decision_time_semantics,,False,False,False,False,0,0,0,0
r5/output/r5e_thermal_suitability_qa.csv,csv,OK,2,4,False,,,,,False,False,False,False,0,0,0,0
