year,session_id,session_name,session_type,track_type,session_date,event_name,DriverUrl,DriversID,FirstName,LastName,CarNumber,EventsSessionsDetailsID,EventsSessionsID,EventsEntrylistID,DriverOverrideID,PositionStart,PositionFinish,ElapsedTime,LapsComplete,LapsDown,BestLapTime,BestSpeed,InLap,Difference,Gap,SpeedAvg,TimesLed,LapsLed,PitStops,Status,PointsEarned,IsDeleted,QualLap1,QualLap2,QualLap3,QualLap4,DriverName,SpeedAvgFormatted,BestSpeedFormatted,TeamName,complete_four_lap_attempt,timed_lap_count,api_row_order,car_occurrence_index,car_session_record_count,is_repeat_car_record,complete_attempts_for_car,has_repeat_complete_attempt
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Scott-Dixon,3628,Scott,Dixon,9,91528,5320,31367,3628,,8,02:38.0457,,,,,,,,227.782,,,,,,False,39.4394,39.483,39.5551,39.5682,Scott Dixon,227.782,,Chip Ganassi Racing,True,4,8,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Alexander-Rossi,4587,Alexander,Rossi,27,91530,5320,31379,4587,,10,02:38.1996,,,,,,,,227.561,,,,,,False,39.4294,39.52,39.609,39.6412,Alexander Rossi,227.561,,Andretti Autosport,True,4,10,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Ryan-Hunter-Reay,3645,Ryan,Hunter-Reay,28,91534,5320,31380,3645,,14,02:38.6238,,,,,,,,226.952,,,,,,False,39.5556,39.6166,39.7279,39.7237,Ryan Hunter-Reay,226.952,,Andretti Autosport,True,4,14,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4641,Robert,Wickens,6,91540,5320,31366,4641,,20,02:39.3241,,,,,,,,225.955,,,,,,False,39.7459,39.8424,39.8592,39.8766,Robert Wickens,225.955,,Arrow McLaren,True,4,20,1,2,True,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Jack-Harvey,4505,Jack,Harvey,60,91547,5320,31394,4505,,27,02:39.4894,,,,,,,,225.72,,,,,,False,39.7996,39.8525,39.9158,39.9215,Jack Harvey,225.72,,Meyer Shank Racing,True,4,27,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Graham-Rahal,3668,Graham,Rahal,15,91550,5320,31371,3668,,30,02:39.7114,,,,,,,,225.407,,,,,,False,39.9401,39.9292,39.9339,39.9082,Graham Rahal,225.407,,Rahal Letterman Lanigan Racing,True,4,30,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,3672,Oriol,Servia,64,91551,5320,31396,3672,,31,02:39.9953,,,,,,,,225.007,,,,,,False,39.9216,39.9581,39.9219,40.1937,Oriol Servia,225.007,,Scuderia Corsa w/ RLL,True,4,31,1,3,True,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Conor-Daly,4218,Conor,Daly,17,91552,5320,31389,4218,,32,02:40.0897,,,,,,,,224.874,,,,,,False,39.9928,40.0111,40.0315,40.0543,Conor Daly,224.874,,Dale Coyne Racing dba Thom Burns Racing,True,4,32,1,3,True,3,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Scott-Dixon,3628,Scott,Dixon,9,91554,5320,31367,3628,,34,02:38.1787,,,,,,,,227.591,,,,,,False,39.5344,39.5292,39.5404,39.5747,Scott Dixon,227.591,,Chip Ganassi Racing,True,4,34,2,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Ryan-Hunter-Reay,3645,Ryan,Hunter-Reay,28,91555,5320,31380,3645,,35,02:38.6487,,,,,,,,226.916,,,,,,False,39.6541,39.6726,39.6538,39.6682,Ryan Hunter-Reay,226.916,,Andretti Autosport,True,4,35,2,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4641,Robert,Wickens,6,91556,5320,31366,4641,,36,00:39.7550,,,,,,,,226.387,,,,,,False,39.755,0.0,0.0,0.0,Robert Wickens,226.387,,Arrow McLaren,False,1,36,2,2,True,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Alexander-Rossi,4587,Alexander,Rossi,27,91557,5320,31379,4587,,37,02:39.1431,,,,,,,,226.212,,,,,,False,39.6725,39.5854,39.7919,40.0933,Alexander Rossi,226.212,,Andretti Autosport,True,4,37,2,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Jack-Harvey,4505,Jack,Harvey,60,91558,5320,31394,4505,,38,02:39.8348,,,,,,,,225.233,,,,,,False,39.9106,39.9438,39.9739,40.0065,Jack Harvey,225.233,,Meyer Shank Racing,True,4,38,2,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Graham-Rahal,3668,Graham,Rahal,15,91559,5320,31371,3668,,39,02:39.8811,,,,,,,,225.167,,,,,,False,39.9211,39.9389,39.9738,40.0473,Graham Rahal,225.167,,Rahal Letterman Lanigan Racing,True,4,39,2,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4216,James,Hinchcliffe,5,91560,5320,31365,4216,,40,02:40.1541,,,,,,,,224.784,,,,,,False,39.9378,40.0206,40.1031,40.0926,James Hinchcliffe,224.784,,Arrow McLaren,True,4,40,1,2,True,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Conor-Daly,4218,Conor,Daly,17,91561,5320,31389,4218,,41,02:40.1879,,,,,,,,224.736,,,,,,False,39.9498,40.0617,40.0995,40.0769,Conor Daly,224.736,,Dale Coyne Racing dba Thom Burns Racing,True,4,41,2,3,True,3,True
