year,session_name,total_api_records,unique_cars,complete_four_lap_records,incomplete_or_aborted_records,cars_with_multiple_records,cars_with_2plus_complete_attempts,potential_complete_repeat_transitions
2018,Qualifications - Day 1,48,35,44,4,10,7,9
2019,Qualifications - Day 1,30,30,30,0,0,0,0
2025,Qualifications - Day 1,34,34,33,1,0,0,0
2026,Combined Qualifying,33,33,31,2,0,0,0
