year,session_id,session_name,session_type,track_type,session_date,event_name,DriverUrl,DriversID,FirstName,LastName,CarNumber,EventsSessionsDetailsID,EventsSessionsID,EventsEntrylistID,DriverOverrideID,PositionStart,PositionFinish,ElapsedTime,LapsComplete,LapsDown,BestLapTime,BestSpeed,InLap,Difference,Gap,SpeedAvg,TimesLed,LapsLed,PitStops,Status,PointsEarned,IsDeleted,QualLap1,QualLap2,QualLap3,QualLap4,DriverName,SpeedAvgFormatted,BestSpeedFormatted,TeamName,complete_four_lap_attempt,timed_lap_count,api_row_order,car_occurrence_index,car_session_record_count,is_repeat_car_record,complete_attempts_for_car,has_repeat_complete_attempt
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Helio-Castroneves,3622,Helio,Castroneves,3,91521,5320,31386,3622,,1,02:37.2607,,,,,,,,228.919,,,,,,False,39.346,39.2828,39.2875,39.3444,Helio Castroneves,228.919,,Team Penske,True,4,1,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Ed-Carpenter,3620,Ed,Carpenter,20,91522,5320,31374,3620,,2,02:37.4167,,,,,,,,228.692,,,,,,False,39.2557,39.317,39.3552,39.4888,Ed Carpenter,228.692,,ECR,True,4,2,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4276,Simon,Pagenaud,22,91523,5320,31376,4276,,3,02:37.6845,,,,,,,,228.304,,,,,,False,39.4325,39.3977,39.4066,39.4477,Simon Pagenaud,228.304,,Team Penske,True,4,3,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Will-Power,3667,Will,Power,12,91524,5320,31369,3667,,4,02:37.7604,,,,,,,,228.194,,,,,,False,39.483,39.4398,39.4305,39.4071,Will Power,228.194,,Team Penske,True,4,4,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4021,Sebastien,Bourdais,18,91525,5320,31372,4021,,5,02:37.8322,,,,,,,,228.09,,,,,,False,39.4156,39.4224,39.5001,39.4941,Sebastien Bourdais,228.09,,Dale Coyne Racing with Vasser-Sullivan,True,4,5,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,4232,Spencer,Pigot,21,91526,5320,31375,4232,,6,02:37.8588,,,,,,,,228.052,,,,,,False,39.4337,39.4239,39.4618,39.5394,Spencer Pigot,228.052,,ECR,True,4,6,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Josef-Newgarden,4215,Josef,Newgarden,1,91527,5320,31363,4215,,7,02:37.8608,,,,,,,,228.049,,,,,,False,39.4263,39.4308,39.4464,39.5573,Josef Newgarden,228.049,,Team Penske,True,4,7,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Scott-Dixon,3628,Scott,Dixon,9,91528,5320,31367,3628,,8,02:38.0457,,,,,,,,227.782,,,,,,False,39.4394,39.483,39.5551,39.5682,Scott Dixon,227.782,,Chip Ganassi Racing,True,4,8,1,2,True,2,True
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,,3663,Danica,Patrick,13,91529,5320,31388,3663,,9,02:38.1654,,,,,,,,227.61,,,,,,False,39.4684,39.5436,39.5527,39.6007,Danica Patrick,227.61,,ECR,True,4,9,1,1,False,1,False
2018,5320,Qualifications - Day 1,Q,I,"Saturday, May 19, 2018",102nd Running of the Indianapolis 500,/Drivers/Alexander-Rossi,4587,Alexander,Rossi,27,91530,5320,31379,4587,,10,02:38.1996,,,,,,,,227.561,,,,,,False,39.4294,39.52,39.609,39.6412,Alexander Rossi,227.561,,Andretti Autosport,True,4,10,1,2,True,2,True
