year,lap_rows,unique_attempts,complete_4lap_attempts,timestamp_nonnull_rows,timestamp_coverage_pct
2018,0,0,0,0,0.0
2019,0,0,0,0,0.0
2025,0,0,0,0,0.0
2026,0,0,0,0,0.0
