year,car_number,driver_name,attempt_from,attempt_to,from_lower,from_upper,to_lower,to_upper,interval_lower_min,interval_upper_min,interval_midpoint_min,interval_width_min,time_quality,regime,from_constraint,to_constraint,from_status,to_status,from_source_authority,to_source_authority,from_evidence,to_evidence
2020,1,Josef Newgarden,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,15,Graham Rahal,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,20,Ed Carpenter,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,22,Simon Pagenaud,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,3,Helio Castroneves,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,45,Spencer Pigot,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,47,Conor Daly,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,5,Pato O'Ward,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,51,James Davison,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,59,Max Chilton,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,60,Jack Harvey,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,7,Oliver Askew,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,8,Marcus Ericsson,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,81,Ben Hanley,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,88,Colton Herta,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,88,Colton Herta,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,9,Scott Dixon,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,9,Scott Dixon,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2020,9,Scott Dixon,3,4,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,11,Charlie Kimball,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,12,Will Power,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,16,Simona De Silvestro,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,16,Simona De Silvestro,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,18,Ed Jones,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,2,Josef Newgarden,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,21,Rinus VeeKay,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
