feature,column,n,pearson,spearman,slope
delta_track_temp,delta_track_temp_c,38,-0.18950919347435535,-0.36405936221079155,-0.04913225026825175
delta_gust,delta_gust_ms,40,0.19049129760670117,0.34541957915949223,0.2830782798919564
delta_cloud,delta_cloud_cover_pct,40,0.23037578320572055,0.25639733705272455,0.006771451351827137
delta_wind_v,delta_wind_v_ms,40,0.021219152873706206,-0.19578779514010328,0.027899489851255916
delta_dewpoint,delta_dewpoint_c,40,0.03773606553161735,0.12242600510677279,0.030027978495572885
delta_pressure,delta_pressure_hpa,40,0.08366459439001099,0.10844786352753205,0.09195982813027583
delta_wind_speed,delta_wind_speed_ms,40,-0.0005183792517012527,0.06435573908294723,-0.0011808903220745098
delta_humidity,delta_relative_humidity_pct,40,0.05056790302678471,0.060884656945820334,0.007532446671116233
delta_air_temp,delta_air_temp_c,40,-0.02803431886094193,0.04230967686065481,-0.02119295687853686
delta_solar_elevation,delta_solar_elevation_deg,40,0.1274552071277476,0.029551104680945153,0.009879650085967659
delta_wind_u,delta_wind_u_ms,40,-0.06658548079150077,-0.018856419177365,-0.09209232420749688
delta_air_density,delta_air_density_kg_m3,40,0.043869050581837016,-0.007411229427919578,8.647101453979019
delta_shortwave,delta_shortwave_radiation_wm2,40,0.10205287981084146,-0.006942164274253782,0.0006445425084817261
