dataset,year,feature,column,n_total,n_available,coverage
FIRST_RUN,2020,track_temp,track_temperature,33,28,0.8484848484848485
FIRST_RUN,2021,track_temp,track_temperature,35,33,0.9428571428571428
FIRST_RUN,2022,track_temp,track_temperature,32,0,0.0
FIRST_RUN,2023,track_temp,track_temperature,34,16,0.47058823529411764
FIRST_RUN,2024,track_temp,track_temperature,34,5,0.14705882352941177
FIRST_RUN,2020,track_temp_trend,track_temperature_trend_c_per_min,33,28,0.8484848484848485
FIRST_RUN,2021,track_temp_trend,track_temperature_trend_c_per_min,35,33,0.9428571428571428
FIRST_RUN,2022,track_temp_trend,track_temperature_trend_c_per_min,32,0,0.0
FIRST_RUN,2023,track_temp_trend,track_temperature_trend_c_per_min,34,9,0.2647058823529412
FIRST_RUN,2024,track_temp_trend,track_temperature_trend_c_per_min,34,5,0.14705882352941177
FIRST_RUN,2020,air_temp,air_temperature_c,33,28,0.8484848484848485
FIRST_RUN,2021,air_temp,air_temperature_c,35,33,0.9428571428571428
FIRST_RUN,2022,air_temp,air_temperature_c,32,0,0.0
FIRST_RUN,2023,air_temp,air_temperature_c,34,16,0.47058823529411764
FIRST_RUN,2024,air_temp,air_temperature_c,34,6,0.17647058823529413
FIRST_RUN,2020,dewpoint,dew_point_c,33,28,0.8484848484848485
FIRST_RUN,2021,dewpoint,dew_point_c,35,33,0.9428571428571428
FIRST_RUN,2022,dewpoint,dew_point_c,32,0,0.0
FIRST_RUN,2023,dewpoint,dew_point_c,34,16,0.47058823529411764
FIRST_RUN,2024,dewpoint,dew_point_c,34,6,0.17647058823529413
FIRST_RUN,2020,humidity,humidity_pct,33,28,0.8484848484848485
FIRST_RUN,2021,humidity,humidity_pct,35,33,0.9428571428571428
FIRST_RUN,2022,humidity,humidity_pct,32,0,0.0
FIRST_RUN,2023,humidity,humidity_pct,34,16,0.47058823529411764
FIRST_RUN,2024,humidity,humidity_pct,34,6,0.17647058823529413
FIRST_RUN,2020,pressure,pressure_hpa,33,28,0.8484848484848485
FIRST_RUN,2021,pressure,pressure_hpa,35,33,0.9428571428571428
FIRST_RUN,2022,pressure,pressure_hpa,32,0,0.0
FIRST_RUN,2023,pressure,pressure_hpa,34,16,0.47058823529411764
FIRST_RUN,2024,pressure,pressure_hpa,34,6,0.17647058823529413
FIRST_RUN,2020,air_density,air_density_kg_m3,33,28,0.8484848484848485
FIRST_RUN,2021,air_density,air_density_kg_m3,35,33,0.9428571428571428
FIRST_RUN,2022,air_density,air_density_kg_m3,32,0,0.0
FIRST_RUN,2023,air_density,air_density_kg_m3,34,16,0.47058823529411764
FIRST_RUN,2024,air_density,air_density_kg_m3,34,6,0.17647058823529413
FIRST_RUN,2020,wind_speed,wind_speed_ms,33,28,0.8484848484848485
FIRST_RUN,2021,wind_speed,wind_speed_ms,35,33,0.9428571428571428
FIRST_RUN,2022,wind_speed,wind_speed_ms,32,0,0.0
FIRST_RUN,2023,wind_speed,wind_speed_ms,34,16,0.47058823529411764
FIRST_RUN,2024,wind_speed,wind_speed_ms,34,6,0.17647058823529413
FIRST_RUN,2020,wind_gust,gust_ms,33,28,0.8484848484848485
FIRST_RUN,2021,wind_gust,gust_ms,35,33,0.9428571428571428
FIRST_RUN,2022,wind_gust,gust_ms,32,0,0.0
FIRST_RUN,2023,wind_gust,gust_ms,34,16,0.47058823529411764
FIRST_RUN,2024,wind_gust,gust_ms,34,6,0.17647058823529413
FIRST_RUN,2020,wind_u,wind_u_ms,33,28,0.8484848484848485
FIRST_RUN,2021,wind_u,wind_u_ms,35,33,0.9428571428571428
FIRST_RUN,2022,wind_u,wind_u_ms,32,0,0.0
FIRST_RUN,2023,wind_u,wind_u_ms,34,16,0.47058823529411764
FIRST_RUN,2024,wind_u,wind_u_ms,34,6,0.17647058823529413
FIRST_RUN,2020,wind_v,wind_v_ms,33,28,0.8484848484848485
FIRST_RUN,2021,wind_v,wind_v_ms,35,33,0.9428571428571428
FIRST_RUN,2022,wind_v,wind_v_ms,32,0,0.0
FIRST_RUN,2023,wind_v,wind_v_ms,34,16,0.47058823529411764
FIRST_RUN,2024,wind_v,wind_v_ms,34,6,0.17647058823529413
FIRST_RUN,2020,solar_elevation,solar_elevation_deg_assembled,33,28,0.8484848484848485
FIRST_RUN,2021,solar_elevation,solar_elevation_deg_assembled,35,33,0.9428571428571428
FIRST_RUN,2022,solar_elevation,solar_elevation_deg_assembled,32,0,0.0
FIRST_RUN,2023,solar_elevation,solar_elevation_deg_assembled,34,16,0.47058823529411764
FIRST_RUN,2024,solar_elevation,solar_elevation_deg_assembled,34,6,0.17647058823529413
FIRST_RUN,2020,shortwave,shortwave_radiation_wm2,33,28,0.8484848484848485
FIRST_RUN,2021,shortwave,shortwave_radiation_wm2,35,33,0.9428571428571428
FIRST_RUN,2022,shortwave,shortwave_radiation_wm2,32,0,0.0
FIRST_RUN,2023,shortwave,shortwave_radiation_wm2,34,16,0.47058823529411764
FIRST_RUN,2024,shortwave,shortwave_radiation_wm2,34,6,0.17647058823529413
FIRST_RUN,2020,cloud,cloud_cover_pct,33,28,0.8484848484848485
FIRST_RUN,2021,cloud,cloud_cover_pct,35,33,0.9428571428571428
FIRST_RUN,2022,cloud,cloud_cover_pct,32,0,0.0
FIRST_RUN,2023,cloud,cloud_cover_pct,34,16,0.47058823529411764
FIRST_RUN,2024,cloud,cloud_cover_pct,34,6,0.17647058823529413
