year,car_number,driver_name,attempt_from,attempt_to,time_from,time_to,reattempt_interval_min,interval_status,regime,from_result_status,to_result_status,from_constraint_class,to_constraint_class,from_evidence_summary,to_evidence_summary,source_ledger
2021,2,Josef Newgarden,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,21,Rinus VeeKay,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,25,Stefan Wilson,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,25,Stefan Wilson,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,26,Colton Herta,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,30,Takuma Sato,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,4,Dalton Kellett,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,45,Santino Ferrucci,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,47,Conor Daly,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,6,Helio Castroneves,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
