feature,column,n,pearson,spearman,slope
wind_speed,wind_speed_ms,5,-0.7326630437809029,-0.8999999999999998,-0.1523383806577035
shortwave,shortwave_radiation_wm2,5,-0.3117948987343609,-0.8999999999999998,-0.0004415441063237635
dewpoint,dew_point_c,5,0.5725064469285782,0.7999999999999999,0.030984928282361948
humidity,humidity_pct,5,0.48985231586071204,0.7999999999999999,0.009581861981470598
pressure,pressure_hpa,5,-0.6172300627405984,-0.7,-0.05036331752921623
gust,gust_ms,5,-0.7001669525953028,-0.7,-0.09670623627489001
solar_elevation,solar_elevation_deg_assembled,5,-0.2538262100941541,-0.6,-0.010558880268178611
cloud,cloud_cover_pct,5,0.2530017096997913,0.6,0.0020928807770836905
wind_u,wind_u_ms,5,-0.4672708269982799,-0.3,-0.08305394120590003
air_temp,air_temperature_c,5,0.41513523425801074,0.19999999999999998,0.037711325508870276
air_density,air_density_kg_m3,5,-0.49741939994784756,-0.19999999999999998,-7.774281383930828
wind_v,wind_v_ms,5,0.438669626083967,0.09999999999999999,0.05277440516087529
track_temp,track_temperature,4,,,
track_temp_trend,track_temperature_trend_c_per_min,2,,,
