model,feature,coefficient,n
R0_TRACK_ONLY,delta_track_temp_c,0.03207347450592852,38
R1_TRACK_GUST,delta_track_temp_c,0.03805782771202016,38
R1_TRACK_GUST,delta_gust_ms,0.3931046792046391,38
R2_TRACK_CLOUD,delta_track_temp_c,0.04585056280004726,38
R2_TRACK_CLOUD,delta_cloud_cover_pct,0.005132377667723693,38
R3_TRACK_GUST_CLOUD,delta_track_temp_c,0.04279010836097847,38
R3_TRACK_GUST_CLOUD,delta_gust_ms,0.34912546684826656,38
R3_TRACK_GUST_CLOUD,delta_cloud_cover_pct,0.002012328311081382,38
R4_TRACK_WIND_VECTOR,delta_track_temp_c,0.024752852832334353,38
R4_TRACK_WIND_VECTOR,delta_wind_u_ms,-0.07951662283067769,38
R4_TRACK_WIND_VECTOR,delta_wind_v_ms,-0.1647949447499961,38
R5_TRACK_ATMOSPHERE,delta_track_temp_c,-0.030894722636023372,38
R5_TRACK_ATMOSPHERE,delta_air_density_kg_m3,-53.551835570090304,38
