year,file,car,driver_repr,static_repr,lap_repr,stint_repr
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,10,['Felix Rosenqvist'],"[None, 'Chip Ganassi Racing Teams', None]","[[1, 1558214634.373853, 0.0, 1558214874.645812, True, 0, 39.518299999999996, 4, 39.976000000000006, [[39.7456, 9], [40.1247, 9], [39.6841, 9], [41.6398, 9], [39.518299999999996, 1], [39.5561, 1], [39.615, 1], [39.694, 1]]], 1558214879.011897]","[[1, 1558214634.373853, 0.0, 1558214919.313235, False, 0, 39.518299999999996, 4, 40.023, [[39.7456, 9], [40.1247, 9], [39.6841, 9], [41.6398, 9], [39.518299999999996, 1], [39.5561, 1], [39.615, 1], [39.694, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,27,['Alexander Rossi'],"[None, 'Andretti Autosport', None]","[None, 1558212618.950001]",[]
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,25,['Conor Daly'],"[None, 'Andretti Autosport', None]","[None, 1558212613.961894]",[]
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,31,"[""Patricio O'Ward""]","[None, 'Carlin', None]","[None, 1558216149.388228]","[[1, 1558213673.95672, 0.0, 1558213748.9603, False, 0, 39.6441, 0, 39.7335, [[39.6441, 1], [39.6835, 1], [39.7585, 1], [39.7585, 1], [39.7279, 1]]], [1, 1558213803.955872, 0.0, 1558213848.956289, False, 0, 40.1098, 1, None, [[40.1098, 9]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,5T,['James Hinchcliffe'],"[None, 'Arrow Schmidt Peterson Motorsports', None]","[None, 1558215439.277668]","[[1, 1558212598.73061, 0.0, 1558212603.752905, False, 0, 51.5065, 0, None, [[51.5065, 0]]], [1, 1558212633.961743, 0.0, 1558212663.954657, False, 0, 39.6008, 1, 43.59923333333334, [[40.7163, 9], [51.5065, 1], [39.6008, 1], [39.6904, 1], [51.5065, 1]]], [1, 1558212728.949807, 0.0, 1558212758.965286, False, 0, 39.6559, 0, None, [[39.6559, 1], [51.5065, 1]]], [1, 1558212788.95505, 0.0, 1558212813.972723, False, 0, 39.6916, 1, None, [[39.9725, 1], [39.6916, 9]]], [1, 1558215204.475473, 0.0, 1558215249.593862, False, 0, 39.9725, 2, None, [[39.9725, 9], [40.6285, 9]]], [1, 1558215279.479672, 0.0, 1558215369.503024, False, 0, 39.5843, 0, 39.73363333333333, [[39.9725, 1], [39.5843, 1], [39.6441, 1], [39.9725, 1], [39.6938, 1]]], [1, 1558215394.54569, 17.0, 1558215429.285878, False, 0, 39.699, 0, None, [[39.699, 1], [39.9725, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,66,['Fernando Alonso'],"[None, 'McLaren Racing', None]","[[1, 1558197168.848399, 5.0, 1558197383.847257, True, 0, 39.6527, 0, 39.980000000000004, [[41.8546, 1], [39.6527, 1], [39.9934, 1], [40.0639, 1], [40.21, 1]]], 1558197388.845514]","[[1, 1558197168.848399, 5.0, 1558203408.9512, False, 0, 39.6527, 0, 39.903333333333336, [[41.8546, 1], [39.6527, 1], [39.9934, 1], [40.0639, 1], [40.21, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,24,[' '],"[None, '', None]","[None, 1558206573.961281]",[]
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,15,['Graham Rahal'],"[None, 'Rahal Letterman Lanigan Racing', None]","[[1, 1558201678.851655, 5.0, 1558201888.851524, True, 0, 39.6115, 0, 39.63097500000001, [[41.7591, 1], [39.6161, 1], [39.6358, 1], [39.6115, 1], [39.6605, 1]]], 1558201893.863097]","[[1, 1558201678.851655, 5.0, 1558201928.852922, False, 0, 39.6115, 0, 39.62113333333334, [[41.7591, 1], [39.6161, 1], [39.6358, 1], [39.6115, 1], [39.6605, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,10,"['Felix Rosenqvist', ' ']","[None, 'Chip Ganassi Racing Teams', None]","[[1, 1558203028.851053, 5.0, 1558203238.848245, True, 0, 39.7241, 0, 39.73716666666667, [[41.7908, 1], [39.7418, 1], [39.7241, 1], [39.7456, 1]]], 1558203243.853323]","[[1, 1558203028.851053, 5.0, 1558207003.749112, False, 0, 39.7241, 0, 39.73295, [[41.7908, 1], [39.7418, 1], [39.7241, 1], [39.7456, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,27,"['Alexander Rossi', ' ']","[None, 'Andretti Autosport', None]","[[1, 1558192283.727189, 5.0, 1558192498.733716, True, 0, 39.2116, 0, 39.831920000000004, [[41.828, 0], [41.828, 1], [39.2116, 1], [39.2801, 1], [39.3881, 1], [39.4518, 1]]], 1558192503.736357]","[[1, 1558192283.727189, 5.0, 1558192528.736719, False, 0, 39.2116, 0, 39.926950000000005, [[41.828, 0], [41.828, 1], [39.2116, 1], [39.2801, 1], [39.3881, 1], [39.4518, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,25,"['Conor Daly', ' ']","[None, 'Andretti Autosport', None]","[[1, 1558191658.73415, 5.0, 1558191873.736616, True, 0, 39.4065, 0, 39.48735, [[42.0969, 0], [39.4065, 1], [39.4404, 1], [39.528, 1], [39.5745, 1]]], 1558191878.730326]","[[1, 1558191658.73415, 5.0, 1558207003.749112, False, 0, 39.4065, 0, 39.4583, [[42.0969, 0], [39.4065, 1], [39.4404, 1], [39.528, 1], [39.5745, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,31,"[""Patricio O'Ward""]","[None, 'Carlin', None]","[[1, 1558201383.85159, 5.0, 1558201598.852298, True, 0, 39.738, 0, 39.871225, [[41.3561, 1], [39.738, 1], [39.7721, 1], [39.865, 1], [40.1098, 1]]], 1558201603.855864]","[[1, 1558201383.85159, 5.0, 1558205928.960134, False, 0, 39.738, 0, 39.7917, [[41.3561, 1], [39.738, 1], [39.7721, 1], [39.865, 1], [40.1098, 1]]]]"
