year,file,car,field,path,type,repr,looks_timestamp,timestamp_utc,timestamp_indianapolis
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][4],bool,False,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][5],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][6],float,39.6538,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][7],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][8],float,39.6538,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][0][0],float,39.6726,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][0][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][1][0],float,39.6538,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][1][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][2][0],float,39.6682,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,stint,$.stint.28[0][9][2][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,lap,$.lap.15[0],NoneType,None,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,lap,$.lap.15[1],int,1526744514,True,2018-05-19T15:41:54+00:00,2018-05-19T11:41:54-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][0],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][1],int,1526744399,True,2018-05-19T15:39:59+00:00,2018-05-19T11:39:59-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][2],float,4.0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][3],int,1526744544,True,2018-05-19T15:42:24+00:00,2018-05-19T11:42:24-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][4],bool,False,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][5],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][6],float,39.9082,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][7],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][8],float,39.9339,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][0][0],float,39.9292,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][0][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][1][0],float,39.9339,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][1][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][2][0],float,39.9082,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,stint,$.stint.15[0][9][2][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,lap,$.lap.27[0],NoneType,None,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,lap,$.lap.27[1],int,1526756314,True,2018-05-19T18:58:34+00:00,2018-05-19T14:58:34-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][0],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][1],int,1526756099,True,2018-05-19T18:54:59+00:00,2018-05-19T14:54:59-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][2],float,4.0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][3],int,1526756344,True,2018-05-19T18:59:04+00:00,2018-05-19T14:59:04-04:00
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][4],bool,False,False,,
