chronology_event_id,session_id,attempt_id,entry_key,event_type,event_time_utc,event_time_lower_utc,event_time_upper_utc,event_time_quality,time_basis,event_order_lower_bound,event_order_upper_bound,withdrawal_evidence,requeue_evidence,lane_action,lane_evidence,queue_state_evidence,queue_fact_text,event_payload_json
24bb8031-6c2e-591f-8068-ec0508fcff94,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_9|1,ATTEMPT_START,2020-08-15T19:15:00Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""9\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
7d451b68-bd8c-5378-bbb5-8dc8968e1d7b,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_9|1,ATTEMPT_START,2020-08-15T20:50:50Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""9\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
05c13d9f-a0f6-55ff-bb97-391012ba4b1b,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_45|1,ATTEMPT_START,2020-08-15T15:29:55Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""45\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
d732c6b3-993b-553b-b3dd-45bc1e67915e,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_45|1,ATTEMPT_START,2020-08-15T19:21:40Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""45\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
067a6711-1ab0-5302-a26b-149950f2d602,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_5|1,ATTEMPT_START,2020-08-15T15:34:55Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""5\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
6386d5d1-b3ca-5bad-91f0-39e865f1456e,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_5|1,ATTEMPT_START,2020-08-15T20:22:30Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""5\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
b9a8f2a7-68f0-5490-be23-3840f0c08a7e,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_1|1,ATTEMPT_START,2020-08-15T15:39:55Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""1\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
5f3b6a48-6de8-56df-9542-bb9c34eea20b,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_1|1,ATTEMPT_START,2020-08-15T18:06:35Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""1\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
ca468fcb-10b7-5240-817e-5f1436e012c1,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_12|1,ATTEMPT_START,2020-08-15T15:44:55Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""12\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP"",""WITHIN_CAR_ORDER_UNRESOLVED""],""relation_status"":""UNRESOLVED""}"
2a793a4e-182d-58e6-8588-8d4ac2502ca6,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_12|1,ATTEMPT_START,2020-08-15T18:13:15Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""12\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP"",""WITHIN_CAR_ORDER_UNRESOLVED""],""relation_status"":""UNRESOLVED""}"
