evidence_item_id,source_id,source_native_locator,captured_value_text,source_timestamp_utc,source_timestamp_basis,review_note
cc8427c7-ec92-5279-86e1-8aaa01bf932f,official_session_2020_json,records[1],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""98"", ""Difference"": null, ""DriverName"": ""Marco Andretti"", ""DriverOverrideID"": 3608, ""DriverUrl"": null, ""DriversID"": 3608, ""ElapsedTime"": ""02:35.6078"", ""EventsEntrylistID"": 33591, ""EventsSessionsDetailsID"": 99787, ""EventsSessionsID"": 5771, ""FirstName"": ""Marco"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Andretti"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.7635"", ""QualLap2"": "" 38.8670"", ""QualLap3"": "" 38.9664"", ""QualLap4"": "" 39.0109"", ""SpeedAvg"": 231.351, ""SpeedAvgFormatted"": ""231.351"", ""Status"": null, ""TeamName"": ""Andretti Herta w/ Marco & Curb-Agajanian"", ""TimesLed"": null}",,UNKNOWN,
411b1294-93df-55ce-91d0-0ab7e730b364,official_session_2020_json,records[2],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""28"", ""Difference"": null, ""DriverName"": ""Ryan Hunter-Reay"", ""DriverOverrideID"": 3645, ""DriverUrl"": ""/Drivers/Ryan-Hunter-Reay"", ""DriversID"": 3645, ""ElapsedTime"": ""02:35.6217"", ""EventsEntrylistID"": 33585, ""EventsSessionsDetailsID"": 99788, ""EventsSessionsID"": 5771, ""FirstName"": ""Ryan"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Hunter-Reay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 2, ""PositionStart"": null, ""QualLap1"": "" 38.8512"", ""QualLap2"": "" 38.8759"", ""QualLap3"": "" 38.9241"", ""QualLap4"": "" 38.9705"", ""SpeedAvg"": 231.33, ""SpeedAvgFormatted"": ""231.330"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,UNKNOWN,
0fef41fb-d5ec-5e5c-b857-221e5754bca1,official_session_2020_json,records[3],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""27"", ""Difference"": null, ""DriverName"": ""Alexander Rossi"", ""DriverOverrideID"": 4587, ""DriverUrl"": ""/Drivers/Alexander-Rossi"", ""DriversID"": 4587, ""ElapsedTime"": ""02:35.6638"", ""EventsEntrylistID"": 33584, ""EventsSessionsDetailsID"": 99789, ""EventsSessionsID"": 5771, ""FirstName"": ""Alexander"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rossi"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 3, ""PositionStart"": null, ""QualLap1"": "" 38.8122"", ""QualLap2"": "" 38.8774"", ""QualLap3"": "" 38.9814"", ""QualLap4"": "" 38.9928"", ""SpeedAvg"": 231.268, ""SpeedAvgFormatted"": ""231.268"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,UNKNOWN,
b78cdca2-b6e1-501c-a09c-880793d15430,official_session_2020_json,records[4],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""29"", ""Difference"": null, ""DriverName"": ""James Hinchcliffe"", ""DriverOverrideID"": 4216, ""DriverUrl"": null, ""DriversID"": 4216, ""ElapsedTime"": ""02:35.7126"", ""EventsEntrylistID"": 33601, ""EventsSessionsDetailsID"": 99790, ""EventsSessionsID"": 5771, ""FirstName"": ""James"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Hinchcliffe"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 4, ""PositionStart"": null, ""QualLap1"": "" 38.8282"", ""QualLap2"": "" 38.8948"", ""QualLap3"": "" 38.9530"", ""QualLap4"": "" 39.0366"", ""SpeedAvg"": 231.195, ""SpeedAvgFormatted"": ""231.195"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,UNKNOWN,
05585a98-f129-5e39-b642-b5d747cf6b77,official_session_2020_json,records[5],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""9"", ""Difference"": null, ""DriverName"": ""Scott Dixon"", ""DriverOverrideID"": 3628, ""DriverUrl"": ""/Drivers/Scott-Dixon"", ""DriversID"": 3628, ""ElapsedTime"": ""02:35.7396"", ""EventsEntrylistID"": 33574, ""EventsSessionsDetailsID"": 99791, ""EventsSessionsID"": 5771, ""FirstName"": ""Scott"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Dixon"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 5, ""PositionStart"": null, ""QualLap1"": "" 38.7626"", ""QualLap2"": "" 38.9061"", ""QualLap3"": "" 38.9957"", ""QualLap4"": "" 39.0752"", ""SpeedAvg"": 231.155, ""SpeedAvgFormatted"": ""231.155"", ""Status"": null, ""TeamName"": ""Chip Ganassi Racing"", ""TimesLed"": null}",,UNKNOWN,
69064ccb-e250-52ca-a964-3cd358021292,official_session_2020_json,records[6],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""21"", ""Difference"": null, ""DriverName"": ""Rinus VeeKay"", ""DriverOverrideID"": 4614, ""DriverUrl"": ""/Drivers/Rinus-VeeKay"", ""DriversID"": 4614, ""ElapsedTime"": ""02:35.7674"", ""EventsEntrylistID"": 33581, ""EventsSessionsDetailsID"": 99792, ""EventsSessionsID"": 5771, ""FirstName"": ""Rinus"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""VeeKay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 6, ""PositionStart"": null, ""QualLap1"": "" 38.8284"", ""QualLap2"": "" 38.9562"", ""QualLap3"": "" 38.9800"", ""QualLap4"": "" 39.0028"", ""SpeedAvg"": 231.114, ""SpeedAvgFormatted"": ""231.114"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null}",,UNKNOWN,
afed4597-5353-5523-98ee-3f34ee536d58,official_session_2020_json,records[7],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""55"", ""Difference"": null, ""DriverName"": ""Alex Palou"", ""DriverOverrideID"": 4931, ""DriverUrl"": ""/Drivers/Alex-Palou"", ""DriversID"": 4931, ""ElapsedTime"": ""02:35.8213"", ""EventsEntrylistID"": 33587, ""EventsSessionsDetailsID"": 99793, ""EventsSessionsID"": 5771, ""FirstName"": ""Alex"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Palou"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 7, ""PositionStart"": null, ""QualLap1"": "" 38.8681"", ""QualLap2"": "" 38.9254"", ""QualLap3"": "" 38.9934"", ""QualLap4"": "" 39.0344"", ""SpeedAvg"": 231.034, ""SpeedAvgFormatted"": ""231.034"", ""Status"": null, ""TeamName"": ""Dale Coyne Racing with RWR"", ""TimesLed"": null}",,UNKNOWN,
499f8522-e551-5daf-88ff-fb824620936a,official_session_2020_json,records[8],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""15"", ""Difference"": null, ""DriverName"": ""Graham Rahal"", ""DriverOverrideID"": 3668, ""DriverUrl"": ""/Drivers/Graham-Rahal"", ""DriversID"": 3668, ""ElapsedTime"": ""02:35.9641"", ""EventsEntrylistID"": 33578, ""EventsSessionsDetailsID"": 99794, ""EventsSessionsID"": 5771, ""FirstName"": ""Graham"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rahal"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 8, ""PositionStart"": null, ""QualLap1"": "" 38.9438"", ""QualLap2"": "" 38.9820"", ""QualLap3"": "" 39.0050"", ""QualLap4"": "" 39.0333"", ""SpeedAvg"": 230.822, ""SpeedAvgFormatted"": ""230.822"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null}",,UNKNOWN,
4b80fbd2-a195-5f81-ac3a-34d2bb30977a,official_session_2020_json,records[9],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""30"", ""Difference"": null, ""DriverName"": ""Takuma Sato"", ""DriverOverrideID"": 3811, ""DriverUrl"": ""/Drivers/Takuma-Sato"", ""DriversID"": 3811, ""ElapsedTime"": ""02:35.9844"", ""EventsEntrylistID"": 33586, ""EventsSessionsDetailsID"": 99795, ""EventsSessionsID"": 5771, ""FirstName"": ""Takuma"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Sato"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 9, ""PositionStart"": null, ""QualLap1"": "" 38.9200"", ""QualLap2"": "" 39.0011"", ""QualLap3"": "" 39.0100"", ""QualLap4"": "" 39.0533"", ""SpeedAvg"": 230.792, ""SpeedAvgFormatted"": ""230.792"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null}",,UNKNOWN,
14f280ce-e6b8-53b7-b284-463823146b79,official_session_2020_json,records[10],"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""88"", ""Difference"": null, ""DriverName"": ""Colton Herta"", ""DriverOverrideID"": 4511, ""DriverUrl"": null, ""DriversID"": 4511, ""ElapsedTime"": ""02:35.9962"", ""EventsEntrylistID"": 33590, ""EventsSessionsDetailsID"": 99796, ""EventsSessionsID"": 5771, ""FirstName"": ""Colton"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Herta"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 10, ""PositionStart"": null, ""QualLap1"": "" 38.8374"", ""QualLap2"": "" 38.9965"", ""QualLap3"": "" 39.0561"", ""QualLap4"": "" 39.1062"", ""SpeedAvg"": 230.775, ""SpeedAvgFormatted"": ""230.775"", ""Status"": null, ""TeamName"": ""Andretti Steinbrenner Autosport"", ""TimesLed"": null}",,UNKNOWN,
