attempt_lap_id,attempt_id,source_report_lap_index,lap_number,lap_completion_status,lap_time_seconds,lap_speed_mph,reconstruction_rule_id,reconstruction_validation_status
fc2aba8d-45e2-5504-a141-9d4f62664399,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,1,1,COMPLETE,38.7635,232.177,,PASSED
289ae5e7-419e-50c3-8e50-8ebdb7e3c88d,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2,2,COMPLETE,38.867,231.559,,PASSED
7e07b8d7-563b-5e68-b6a7-c9bae5e86c99,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,3,3,COMPLETE,38.9664,230.968,,PASSED
44fd37c6-8d7f-5d1b-b4bc-28004f2485ed,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,4,4,COMPLETE,39.0109,230.705,,PASSED
75eed572-20e2-5a38-a2ce-e02a79fef825,d155ad85-3d5c-5b55-95d6-40ba696a0bde,1,1,COMPLETE,38.8512,231.653,,PASSED
0d9f5b99-7e9e-5588-bcfa-d915065dfbf4,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2,2,COMPLETE,38.8759,231.506,,PASSED
643dfb58-0045-5678-96d6-74a1827dea13,d155ad85-3d5c-5b55-95d6-40ba696a0bde,3,3,COMPLETE,38.9241,231.219,,PASSED
3d4ca489-c260-5be7-8599-1280382b66bb,d155ad85-3d5c-5b55-95d6-40ba696a0bde,4,4,COMPLETE,38.9705,230.944,,PASSED
6a1841cd-b4d8-5f8d-a2b3-e813083227bc,81f0c457-15fb-5f7f-9649-8663a142764d,1,1,COMPLETE,38.8122,231.886,,PASSED
0bda7e7e-4ac2-568b-926e-28826d9a1169,81f0c457-15fb-5f7f-9649-8663a142764d,2,2,COMPLETE,38.8774,231.497,,PASSED
560241ce-c90d-5b6e-8ddf-0298adf254cb,81f0c457-15fb-5f7f-9649-8663a142764d,3,3,COMPLETE,38.9814,230.879,,PASSED
68f6f7d4-2996-52d7-80ea-d33c297143a2,81f0c457-15fb-5f7f-9649-8663a142764d,4,4,COMPLETE,38.9928,230.812,,PASSED
6233d1e8-08ec-538b-a3c2-7c91fc9c8c50,917d4c7e-5c5e-5976-aa32-50a7bc958440,1,1,COMPLETE,38.8282,231.79,,PASSED
d49a044b-1958-505a-8185-7e72b8264531,917d4c7e-5c5e-5976-aa32-50a7bc958440,2,2,COMPLETE,38.8948,231.393,,PASSED
8f9b168b-01ed-512f-80d8-d89dcc6cd568,917d4c7e-5c5e-5976-aa32-50a7bc958440,3,3,COMPLETE,38.953,231.048,,PASSED
f50dcccf-4be0-5dd5-b4b5-022d6a1a876a,917d4c7e-5c5e-5976-aa32-50a7bc958440,4,4,COMPLETE,39.0366,230.553,,PASSED
0d6e26af-2e89-5d9f-a5d4-cb06f56af9a8,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,11,1,COMPLETE,38.7626,232.183,,PASSED
954684ab-4987-5281-b3b9-eb7b20351175,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,12,2,COMPLETE,38.9061,231.326,,PASSED
16a03079-26ad-5b23-b089-d57ef3a0dc7c,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,13,3,COMPLETE,38.9957,230.795,,PASSED
d4b99ab6-3191-525a-8718-cd982f23a00b,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,14,4,COMPLETE,39.0752,230.325,,PASSED
f56e1bf3-5bc5-5bf2-9fc9-94cac73a6c5a,e132bf44-6808-5d6b-819c-a993af279439,1,1,COMPLETE,38.8284,231.789,,PASSED
0396b23e-d05a-5d9e-9a4e-3ae3077200dc,e132bf44-6808-5d6b-819c-a993af279439,2,2,COMPLETE,38.9562,231.029,,PASSED
4be59f78-a9e2-596b-912b-a46317d07137,e132bf44-6808-5d6b-819c-a993af279439,3,3,COMPLETE,38.98,230.888,,PASSED
c0556153-6898-5dcd-aa0d-cab6d75809e0,e132bf44-6808-5d6b-819c-a993af279439,4,4,COMPLETE,39.0028,230.753,,PASSED
8db9a73c-598a-507d-baf8-13433919a211,b3ac1729-6563-5819-a04b-0f76aeae5b0f,1,1,COMPLETE,38.8681,231.552,,PASSED
19974bb6-422d-5e4e-bbd4-5efc1f36a70b,b3ac1729-6563-5819-a04b-0f76aeae5b0f,2,2,COMPLETE,38.9254,231.211,,PASSED
6f250220-d224-5a98-b142-7550385adada,b3ac1729-6563-5819-a04b-0f76aeae5b0f,3,3,COMPLETE,38.9934,230.808,,PASSED
c8af562f-f28b-50d6-8b35-48541eb4b384,b3ac1729-6563-5819-a04b-0f76aeae5b0f,4,4,COMPLETE,39.0344,230.566,,PASSED
5aff9ecd-eecb-579d-9d52-ecba57cd0545,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,1,1,COMPLETE,38.9438,231.102,,PASSED
