year,line_no,raw_line,lap_token_count,total_token_count,speed_token_count,status
2018,5,Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status,0,0,0,Qualified
2018,6,"1 3 Castroneves, Helio D/C/F 39.3460 39.2828 39.2875 39.3444 02:37.2607 228.919 Day 1",5,1,1,
2018,7,"2 20 Carpenter, Ed D/C/F 39.2557 39.3170 39.3552 39.4888 02:37.4167 228.692 Day 1",5,1,1,
2018,8,"3 22 Pagenaud, Simon D/C/F 39.4325 39.3977 39.4066 39.4477 02:37.6845 228.304 Day 1",5,1,1,
2018,9,"4 12 Power, Will D/C/F 39.4830 39.4398 39.4305 39.4071 02:37.7604 228.194 Day 1",5,1,1,
2018,10,"5 18 Bourdais, Sebastien D/H/F 39.4156 39.4224 39.5001 39.4941 02:37.8322 228.090 Day 1",5,1,1,
2018,11,"6 21 Pigot, Spencer D/C/F 39.4337 39.4239 39.4618 39.5394 02:37.8588 228.052 Day 1",5,1,1,
2018,12,"7 1 Newgarden, Josef D/C/F 39.4263 39.4308 39.4464 39.5573 02:37.8608 228.049 Day 1",5,1,1,
2018,13,"8 9 Dixon, Scott D/H/F 39.4394 39.4830 39.5551 39.5682 02:38.0457 227.782 Day 1",5,1,1,
2018,14,"9 13 Patrick, Danica D/C/F 39.4684 39.5436 39.5527 39.6007 02:38.1654 227.610 Day 1",5,1,1,
2018,15,"10 27 Rossi, Alexander D/H/F 39.4294 39.5200 39.6090 39.6412 02:38.1996 227.561 Day 1",5,1,1,
2018,16,"11 14 Kanaan, Tony D/C/F 39.6028 39.5189 39.5403 39.5743 02:38.2363 227.508 Day 1",5,1,1,
2018,17,"12 4 Leist, Matheus D/C/F 39.5120 39.6111 39.5717 39.5878 02:38.2826 227.441 Day 1",5,1,1,
2018,18,"13 10 Jones, Ed D/H/F 39.5935 39.6425 39.6612 39.6969 02:38.5941 226.995 Day 1",5,1,1,
2018,19,"14 28 Hunter-Reay, Ryan D/H/F 39.5556 39.6166 39.7279 39.7237 02:38.6238 226.952 Day 1",5,1,1,
2018,20,"15 29 Munoz, Carlos D/H/F 39.6732 39.7171 39.7207 39.7592 02:38.8702 226.600 Day 1",5,1,1,
2018,21,"16 66 Hildebrand, JR D/C/F 39.6965 39.6848 39.7542 39.8054 02:38.9409 226.499 Day 1",5,1,1,
2018,22,"17 98 Andretti, Marco D/H/F 39.7218 39.8197 39.7832 39.8590 02:39.1837 226.154 Day 1",5,1,1,
2018,23,"18 7 Howard, Jay D/H/F 39.7591 39.7870 39.8063 39.8709 02:39.2233 226.098 Day 1",5,1,1,
