file,file_type,time_column,source_time_rows,target_rows,within_5m,within_15m,within_30m,within_60m,coverage_5m,coverage_15m,coverage_30m,coverage_60m,median_nearest_minutes
r4/output/r4p2_multi_run_transitions_v1.csv,HRRR_WEATHER,after_time_utc,40,110,36,38,44,56,0.32727272727272727,0.34545454545454546,0.4,0.509090909090909,60.0
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,HRRR_WEATHER,actual_next_attempt_time_utc,40,110,36,38,44,56,0.32727272727272727,0.34545454545454546,0.4,0.509090909090909,60.0
weather/output/attempt_performance_repeat_delta_context_v1.csv,HRRR_WEATHER,current_performance_time_utc,40,110,36,38,44,56,0.32727272727272727,0.34545454545454546,0.4,0.509090909090909,60.0
weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,HRRR_WEATHER,repeat_performance_time_utc,39,110,35,37,43,55,0.3181818181818182,0.33636363636363636,0.39090909090909093,0.5,55.833333333333336
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,HRRR_WEATHER,current_performance_time_utc,39,110,35,37,43,55,0.3181818181818182,0.33636363636363636,0.39090909090909093,0.5,55.833333333333336
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,HRRR_WEATHER,selected_hrrr_cycle_utc,40,110,11,32,69,83,0.1,0.2909090909090909,0.6272727272727273,0.7545454545454545,25.083333333333332
weather/output/hrrr_ims_20210522.csv,HRRR_WEATHER,cycle_time_utc,52,110,6,23,48,48,0.05454545454545454,0.20909090909090908,0.43636363636363634,0.43636363636363634,15.066666666666666
weather/output/hrrr_ims_20210522.csv,HRRR_WEATHER,valid_time_utc,52,110,6,23,48,48,0.05454545454545454,0.20909090909090908,0.43636363636363634,0.43636363636363634,15.066666666666666
weather/output/hrrr_ims_20210522_features.csv,HRRR_WEATHER,cycle_time_utc,52,110,6,23,48,48,0.05454545454545454,0.20909090909090908,0.43636363636363634,0.43636363636363634,15.066666666666666
weather/output/hrrr_ims_20210522_features.csv,HRRR_WEATHER,valid_time_utc,52,110,6,23,48,48,0.05454545454545454,0.20909090909090908,0.43636363636363634,0.43636363636363634,15.066666666666666
weather/output/hrrr_ims_20200815.csv,HRRR_WEATHER,cycle_time_utc,52,110,7,18,39,39,0.06363636363636363,0.16363636363636364,0.35454545454545455,0.35454545454545455,16.583333333333332
weather/output/hrrr_ims_20200815.csv,HRRR_WEATHER,valid_time_utc,52,110,7,18,39,39,0.06363636363636363,0.16363636363636364,0.35454545454545455,0.35454545454545455,16.583333333333332
weather/output/hrrr_ims_20200815_features.csv,HRRR_WEATHER,cycle_time_utc,52,110,7,18,39,39,0.06363636363636363,0.16363636363636364,0.35454545454545455,0.35454545454545455,16.583333333333332
weather/output/hrrr_ims_20200815_features.csv,HRRR_WEATHER,valid_time_utc,52,110,7,18,39,39,0.06363636363636363,0.16363636363636364,0.35454545454545455,0.35454545454545455,16.583333333333332
r4/output/r4f3b_shared_state_linkage_thermal_fixed_v1.csv,TRACK,hrrr_selected_cycle_utc,50,110,5,18,37,52,0.045454545454545456,0.16363636363636364,0.33636363636363636,0.4727272727272727,61.016666666666666
r4/output/r4f4_decision_window_residual_context_v1.csv,TRACK,hrrr_selected_cycle_utc,50,110,5,18,37,52,0.045454545454545456,0.16363636363636364,0.33636363636363636,0.4727272727272727,61.016666666666666
weather/output/hrrr_ims_20230520.csv,HRRR_WEATHER,cycle_time_utc,52,110,3,11,17,17,0.02727272727272727,0.1,0.15454545454545454,0.15454545454545454,12.5
weather/output/hrrr_ims_20230520.csv,HRRR_WEATHER,valid_time_utc,52,110,3,11,17,17,0.02727272727272727,0.1,0.15454545454545454,0.15454545454545454,12.5
weather/output/hrrr_ims_20230520_features.csv,HRRR_WEATHER,cycle_time_utc,52,110,3,11,17,17,0.02727272727272727,0.1,0.15454545454545454,0.15454545454545454,12.5
weather/output/hrrr_ims_20230520_features.csv,HRRR_WEATHER,valid_time_utc,52,110,3,11,17,17,0.02727272727272727,0.1,0.15454545454545454,0.15454545454545454,12.5
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,HRRR_WEATHER,historical_future_run_time_utc,5,110,5,9,16,23,0.045454545454545456,0.08181818181818182,0.14545454545454545,0.20909090909090908,186.05
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,HRRR_WEATHER,decision_time_utc,5,110,5,8,16,26,0.045454545454545456,0.07272727272727272,0.14545454545454545,0.23636363636363636,126.66666666666667
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,HRRR_WEATHER,selected_hrrr_cycle_utc,5,110,3,7,18,30,0.02727272727272727,0.06363636363636363,0.16363636363636364,0.2727272727272727,90.08333333333333
weather/output/hrrr_ims_20240518.csv,HRRR_WEATHER,cycle_time_utc,51,110,2,4,6,6,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,10.5
weather/output/hrrr_ims_20240518.csv,HRRR_WEATHER,valid_time_utc,51,110,2,4,6,6,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,10.5
weather/output/hrrr_ims_20240518_features.csv,HRRR_WEATHER,cycle_time_utc,51,110,2,4,6,6,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,10.5
weather/output/hrrr_ims_20240518_features.csv,HRRR_WEATHER,valid_time_utc,51,110,2,4,6,6,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,10.5
weather/output/hrrr_ims_20220521.csv,HRRR_WEATHER,cycle_time_utc,52,110,0,0,0,0,0.0,0.0,0.0,0.0,
weather/output/hrrr_ims_20220521.csv,HRRR_WEATHER,valid_time_utc,52,110,0,0,0,0,0.0,0.0,0.0,0.0,
weather/output/hrrr_ims_20220521_features.csv,HRRR_WEATHER,cycle_time_utc,52,110,0,0,0,0,0.0,0.0,0.0,0.0,
weather/output/hrrr_ims_20220521_features.csv,HRRR_WEATHER,valid_time_utc,52,110,0,0,0,0,0.0,0.0,0.0,0.0,
