horizon_min,model_name,pooled_loyo_rows,mae_c,rmse_c,direction_accuracy
15,PERSISTENCE,149,1.1272682078051208,1.4618667959327045,0.1610738255033557
15,LINEAR_RIDGE,149,1.553347814594955,2.0245625573438177,0.5100671140939598
15,RANDOM_FOREST,149,1.6446998879852914,2.1957329699430566,0.5167785234899329
30,PERSISTENCE,143,1.95027195027195,2.3551090228482994,0.06993006993006994
30,LINEAR_RIDGE,143,2.199521174095557,2.8609199882462115,0.6083916083916084
30,RANDOM_FOREST,143,2.6173284159991974,3.235812194788643,0.6083916083916084
