fused_decision_id,regime,source_decision_id,source_file,year,car_number,driver_name,decision_stage,source_attempt_id,source_attempt_id_status,source_result_context,decision_time_utc,decision_time_quality,session_remaining_seconds,session_remaining_status,protected_result_exists,current_protected_result_speed_mph,current_best_speed_mph,current_rank,current_best_rank,benchmark_type,benchmark_rank,benchmark_rank_basis,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,decision_state_leaderboard_context,leaderboard_context_quality,state_join_status,unresolved_fields,join_keys,source_numeric_interface,source_record_locator,leakage_safe
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_10_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,10,Felix Rosenqvist,POST_FIRST_ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T16:22:25+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,230.254000,230.254000,9,9,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.254000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_10_POST_FIRST_ATTEMPT;source_attempt_id=6041dd38-4b6d-5e38-81fd-8006cbe0bafd,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,14,Tony Kanaan,POST_FIRST_ATTEMPT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T17:19:05+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,229.154000,229.154000,18,18,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.539000,-1.385000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_14_POST_FIRST_ATTEMPT;source_attempt_id=cbdbf766-10d3-516e-83ad-3cb56f8c02fb,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_20_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,20,Ed Carpenter,POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T16:27:25+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,229.811000,229.811000,12,12,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.254000,-0.443000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_20_POST_FIRST_ATTEMPT;source_attempt_id=9a2e168d-3dda-5e76-8daf-588c20d91341,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_22_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,22,Simon Pagenaud,POST_FIRST_ATTEMPT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T17:09:06+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,228.836000,228.836000,18,18,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.472000,-1.636000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_22_POST_FIRST_ATTEMPT;source_attempt_id=2fb75f25-92ad-5b41-90a1-3a1457ae8012,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_24_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,24,Sage Karam,POST_FIRST_ATTEMPT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T15:49:55+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,227.099000,227.099000,9,9,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,227.099000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_24_POST_FIRST_ATTEMPT;source_attempt_id=3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,True
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,27,Alexander Rossi,POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,231.268000,231.268000,1,1,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.268|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=228.880|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_27_POST_FIRST_ATTEMPT;source_attempt_id=81f0c457-15fb-5f7f-9649-8663a142764d,True
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_28_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,28,Ryan Hunter-Reay,POST_FIRST_ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T16:04:05+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,231.330000,231.330000,1,1,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,229.861000,1.469000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=1|CURRENT_BEST_MPH=231.330|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=229.861|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_28_POST_FIRST_ATTEMPT;source_attempt_id=d155ad85-3d5c-5b55-95d6-40ba696a0bde,True
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_29_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,29,James Hinchcliffe,POST_FIRST_ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T16:32:25+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,231.195000,231.195000,3,3,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.296000,0.899000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=3|CURRENT_BEST_MPH=231.195|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.296|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_29_POST_FIRST_ATTEMPT;source_attempt_id=917d4c7e-5c5e-5976-aa32-50a7bc958440,True
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_3_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,3,Helio Castroneves,POST_FIRST_ATTEMPT,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T17:34:05+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,228.115000,228.115000,24,24,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.560000,-2.445000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=24|CURRENT_BEST_MPH=228.115|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.560|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_3_POST_FIRST_ATTEMPT;source_attempt_id=f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,True
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_47_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,2020,47,Conor Daly,POST_FIRST_ATTEMPT,a7f0ef57-a971-5870-9606-1fe1cd378e2a,RESOLVED_CANONICAL_ATTEMPT_ID,POST_FIRST_ATTEMPT,2020-08-15T16:58:15+00:00,APPROXIMATE_POINT,,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE,True,229.884000,229.884000,13,13,FAST_NINE_ADVANCEMENT,9,DIRECT_SOURCE_FIELD,230.472000,-0.588000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=13|CURRENT_BEST_MPH=229.884|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,SOURCE_DECISION_STATE,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,source_decision_id=decision_id,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,decision_id=DAY1_2020_47_POST_FIRST_ATTEMPT;source_attempt_id=a7f0ef57-a971-5870-9606-1fe1cd378e2a,True
