year,n,mean_error_actual_minus_predicted_mph,mae_mph,rmse_mph,pi90_coverage,benchmark_brier,improvement_brier,interpretation
2020,7,0.31546828706386315,0.9228855987375694,1.0790519721038803,0.8571428571428571,0.1395485801832657,0.23183070771683614,DESCRIPTIVE_SMALL_N
2021,10,-0.1511764058359944,0.5763782265201968,0.8202552600407365,0.9,0.1757270187074266,0.2646622690724788,DESCRIPTIVE_SMALL_N
2023,2,-0.03618395493400328,0.4768816045069997,0.4782523845333512,1.0,0.028656728154884962,0.1491602059179354,DESCRIPTIVE_SMALL_N
